case,seed,alg,mode,NP,dimension,peaks,change_frequency,shift_severity,environments,max_evals,realized_FE,budget_exact,environments_completed,changes_seen,reevaluation_FE,offline_error,best_error_before_change,mean_population_diversity,wall_seconds
F8,12,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,61.47175626709422,58.41337896099218,0.02801290909803808,6.645918977999827
F8,12,SGO,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,26.44713133456018,22.28879740307524,0.27983134275727994,7.759826352994423
F8,13,SGO,cold_restart,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,41.57750278139951,32.09788499850642,0.2807270585437474,6.6358778860012535
F8,12,SGO,cold_restart,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,38.14159042694775,28.968423367384798,0.28021547004303604,9.256268008000916
F8,13,SGO,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,34.879777061015,28.061897200920434,0.27670873029366766,6.599034902988933
F2,28,SGO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,50.46576879837303,48.77957975152702,0.10309496807089166,75.32839798201167
F8,13,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,39.84329600946579,37.54542905371167,0.09324222129723095,6.6938206820050254
F8,14,SGO,cold_restart,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,42.87098931785882,32.966056726611924,0.28160102943404697,6.71718371399038
F2,30,SGO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,22.64252817733598,19.585258940064197,0.2793827295059965,67.73558551899623
F2,29,SGO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,15.064875278113046,13.185312737185697,0.273476881533105,71.25840751400392
F8,14,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,24.31097250086659,22.708902551439955,0.16033408799900858,6.764908769997419
F2,29,SGO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,18.21586638069243,15.875164382361238,0.28098382851293563,72.493145016997
F8,15,SGO,cold_restart,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,43.38075664646124,33.253590612815636,0.27991480696641824,6.68331313499948
F2,28,SGO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,21.522711128789812,18.896891812734978,0.2804659505573897,80.69441465799173
F8,15,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,24.66154567703103,23.004285794196694,0.14947918639885036,6.587608700996498
F8,14,SGO,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,37.84724151716903,29.28970816781559,0.2810148796620811,8.710252279997803
F8,16,SGO,cold_restart,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,40.597145807163365,30.933817471438314,0.27917447703136583,7.731660830002511
F8,16,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,49.51677605659429,46.44461512766526,0.08247127021515492,6.5773486659891205
F8,16,SGO,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,30.93842416444855,26.798975232429825,0.27557352158233933,8.358966493004118
F8,17,SGO,cold_restart,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,44.92963414333483,34.43380602354876,0.2794447760351941,6.433541461999994
F8,15,SGO,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,27.081514566849947,24.17661622369583,0.277905184177142,9.402913270998397
F2,29,SGO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,35.37454248720315,34.612518677085006,0.04557369955513902,73.94605612599116
F8,17,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,26.033193191881775,24.803536628465853,0.22092174902121078,6.648657201993046
F8,17,SGO,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,39.362061289857756,33.55267183743652,0.2790493953189881,8.403997911998886
F2,30,SGO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,55.59108697563315,53.67799090352752,0.06622124624414093,69.03381202698802
F8,18,SGO,cold_restart,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,38.67330809215381,28.455476267655925,0.2802158546316942,7.3173598749999655
F8,18,SGO,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,29.02044556562712,23.75426361678251,0.275655091389335,6.766375702994992
F8,19,SGO,cold_restart,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,38.779350419488146,28.901171787701728,0.2794017272180567,6.725122914998792
F8,18,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,41.05356487956506,38.36901843582953,0.11295527430823597,7.79941998400318
F8,20,SGO,cold_restart,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,39.06293962783039,29.91436865258952,0.2812789720387016,6.65632027600077
F8,20,SGO,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,32.59422375320858,26.14114718075393,0.2779334390756342,6.700666365999496
F8,20,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,55.251014695785294,52.523974584542565,0.07861197879904915,6.741139509002096
F8,19,SGO,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,32.401160382002416,27.836945720450984,0.2760707612801804,8.927942091002478
F8,19,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,27.951759596724163,26.397956875146637,0.13833279445618016,8.600910578999901
F8,22,SGO,cold_restart,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,43.25909799162167,33.695141062121536,0.2814110346962346,6.748907091998262
F8,21,SGO,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,32.555561498107586,27.369173771572783,0.28052975763906873,7.485928879992571
F8,21,SGO,cold_restart,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,43.15580696535302,33.07993517036924,0.28265035716768405,8.838107764997403
F8,21,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,48.51919500220609,44.715557123806846,0.19556530094263683,9.103386733011575
F8,22,SGO,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,31.316981070307662,27.10102699977355,0.2769362094121607,7.1421910709905205
F8,23,SGO,cold_restart,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,34.941454346390486,25.478963190857215,0.2779968495135804,6.64765903200896
F8,23,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,53.54499278654258,50.69987127406896,0.01596698994995218,6.477206631985609
F8,23,SGO,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,32.56789079053782,24.701732640841197,0.27266133223817707,6.913602930988418
F8,24,SGO,cold_restart,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,46.55720440148801,35.11954944896907,0.2805389436363329,7.046382420012378
F8,22,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,34.78365019691205,32.657914904180785,0.11856790673076036,8.74235032199067
F8,24,SGO,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,38.90489774602553,33.31118071059303,0.2819829319727095,6.99982845899649
