family,case,comparison,n_pairs,median_SGO,median_other,median_diff,median_diff_ci_lo,median_diff_ci_hi,wilcoxon_stat,p_raw,cliffs_delta,delta_ci_lo,delta_ci_hi,sgo_lower_offline_error,p_holm,significant_holm
primary,F6,SGO vs PSO,31,41.76887445430968,18.43429229371593,24.390364100897592,17.45596765296155,28.61026312112647,38.0,6.109476089477539e-06,0.7939646201873048,0.5837148803329865,0.9562955254942768,False,1.8328428268432617e-05,True
primary,F6,SGO vs WOA,31,41.76887445430968,30.67245283178373,11.380527295407312,6.432297686714605,19.039487486626374,89.0,0.0012524444609880447,0.5192507804370448,0.25280957336108223,0.7502601456815817,False,0.0012524444609880447,True
primary,F7,SGO vs GWO,31,42.40632557617849,21.413537588211163,16.668349086021408,9.843215127135668,27.12640165212618,83.0,0.0007640225812792778,0.5796045785639958,0.3298647242455775,0.7939646201873048,False,0.0015280451625585556,True
primary,F7,SGO vs PSO,31,42.40632557617849,18.86499483555702,23.919093812648924,14.57746680722461,28.134874738173785,13.0,8.195638656616211e-08,0.7710718002081165,0.5920915712799167,0.9167533818938606,False,2.4586915969848633e-07,True
primary,F7,SGO vs WOA,31,42.40632557617849,38.43755928113359,7.341845899918901,-2.4227493872089525,14.8795180141678,179.0,0.1820761300623417,0.1716961498439126,-0.1279916753381894,0.4547346514047867,False,0.1820761300623417,False
primary,F8,SGO vs GWO,31,46.29318287484748,27.865188757263876,7.72911791372319,2.285844767716462,22.35653038245252,123.0,0.01319857221096754,0.3798126951092612,0.10301768990634755,0.6337148803329865,False,0.02639714442193508,True
primary,F8,SGO vs PSO,31,46.29318287484748,17.560819259480922,24.291837304659285,14.545735277791415,33.058840980641016,0.0,9.313225746154785e-10,0.858480749219563,0.7169614984391259,0.9583766909469302,False,2.7939677238464355e-09,True
primary,F8,SGO vs WOA,31,46.29318287484748,45.32688015012776,5.993872975276986,-7.7897753318275065,14.102205949092898,225.0,0.6635807873681188,0.04890738813735692,-0.24245577523413112,0.33610822060353795,False,0.6635807873681188,False
primary,F9,SGO vs GWO,31,117.11259296545524,38.97874015851185,72.66890905582133,33.761508519213876,86.76302981461465,12.0,6.51925802230835e-08,0.8459937565036421,0.704474505723205,0.9500520291363164,False,1.30385160446167e-07,True
primary,F9,SGO vs PSO,31,117.11259296545524,44.7812174857665,75.13652796830446,50.84003689459987,84.18145197784406,111.0,0.006217258051037788,0.5837669094693028,0.3090530697190427,0.8314255983350677,False,0.006217258051037788,True
primary,F9,SGO vs WOA,31,117.11259296545524,92.29336596450642,30.008093666253075,19.50860261041933,36.62143402298818,0.0,9.313225746154785e-10,0.8272632674297606,0.6628511966701353,0.9542143600416233,False,2.7939677238464355e-09,True
primary,F10,SGO vs GWO,31,229.6647460119956,180.2761217612676,56.704971737879504,47.97413652296049,69.31305158252033,0.0,9.313225746154785e-10,0.9958376690946931,0.9812695109261186,1.0,False,2.7939677238464355e-09,True
primary,F10,SGO vs PSO,31,229.6647460119956,287.1795399896644,-60.96442414609865,-107.34688751018194,-22.431511930194404,165.0,0.10662505030632019,-0.3631633714880333,-0.6608220603537981,-0.03225806451612903,True,0.10662505030632019,False
primary,F10,SGO vs WOA,31,229.6647460119956,191.2578216443715,39.2955786330852,31.475167031389475,44.13359078525443,0.0,9.313225746154785e-10,0.9521331945889698,0.8813735691987513,0.9937565036420395,False,2.7939677238464355e-09,True
primary,F11,SGO vs GWO,31,46.33328524940706,25.76718040479102,17.715792977999747,13.497479288810396,20.959819855935393,29.0,1.6195699572563171e-06,0.7523413111342352,0.562955254942768,0.9021852237252862,False,3.2391399145126343e-06,True
primary,F11,SGO vs PSO,31,46.33328524940706,20.04578205440697,20.53077133602816,13.78284610605889,26.57400968673354,86.0,0.0009815162047743797,0.6628511966701353,0.4068678459937565,0.8813735691987513,False,0.0009815162047743797,True
primary,F11,SGO vs WOA,31,46.33328524940706,31.335279937647275,12.303502822051215,7.0634161291165825,18.68965605450756,22.0,4.991888999938965e-07,0.644120707596254,0.4214360041623309,0.8355879292403746,False,1.4975666999816895e-06,True
primary,F12,SGO vs GWO,31,52.18354354872675,35.893769759221406,14.94362785651682,10.161643412832511,23.710754128357216,7.0,1.7695128917694092e-08,0.8106139438085328,0.6462018730489074,0.9375650364203955,False,3.5390257835388184e-08,True
primary,F12,SGO vs PSO,31,52.18354354872675,43.68848891381543,7.358182682302669,-8.564791414495716,24.56753279802407,203.0,0.3883800162002444,0.1841831425598335,-0.1404786680541103,0.48803329864724243,False,0.3883800162002444,False
primary,F12,SGO vs WOA,31,52.18354354872675,34.73311218165298,15.981767312459358,14.058548699997864,19.61445540977099,0.0,9.313225746154785e-10,0.8813735691987513,0.7585848074921956,0.9708636836628513,False,2.7939677238464355e-09,True
temporal,F10,cold restart vs previous-best seeded,31,168.2227093694824,158.54593260683237,3.3447162884557144,1.8731584200896805,11.478408454164992,13.0,8.195638656616211e-08,0.5046826222684704,0.24661810613943808,0.7377731529656608,False,8.195638656616211e-08,True
temporal,F10,cold restart vs population persistence,31,168.2227093694824,229.6647460119956,-65.54349355985923,-68.19842169183877,-61.96542577114525,0.0,9.313225746154785e-10,-1.0,-1.0,-1.0,True,2.7939677238464355e-09,True
temporal,F10,previous-best seeded vs population persistence,31,158.54593260683237,229.6647460119956,-70.6553517441915,-78.99053509322943,-65.96250542679019,0.0,9.313225746154785e-10,-1.0,-1.0,-1.0,True,2.7939677238464355e-09,True
temporal,F12,cold restart vs previous-best seeded,31,25.428480329851784,23.3896219648289,1.8768866420454415,1.2760927020898194,3.1636931989378887,19.0,2.859160304069519e-07,0.5941727367325702,0.3465140478668054,0.8043704474505723,False,2.859160304069519e-07,True
temporal,F12,cold restart vs population persistence,31,25.428480329851784,52.18354354872675,-26.48513914035059,-32.265605131235816,-23.154357905942323,0.0,9.313225746154785e-10,-1.0,-1.0,-1.0,True,2.7939677238464355e-09,True
temporal,F12,previous-best seeded vs population persistence,31,23.3896219648289,52.18354354872675,-28.25270891033846,-35.41158736828151,-25.56435118427758,0.0,9.313225746154785e-10,-1.0,-1.0,-1.0,True,2.7939677238464355e-09,True
temporal,F2,cold restart vs previous-best seeded,31,25.767574815118536,20.207425135770936,5.002792173052107,3.6908104349052984,6.28024172562904,0.0,9.313225746154785e-10,0.8272632674297606,0.6690946930280958,0.9479708636836629,False,2.7939677238464355e-09,True
temporal,F2,cold restart vs population persistence,31,25.767574815118536,40.03559050584953,-15.655295351490903,-24.243194902547113,-9.75669839315318,13.0,8.195638656616211e-08,-0.8272632674297606,-0.9854318418314256,-0.627471383975026,True,8.195638656616211e-08,True
temporal,F2,previous-best seeded vs population persistence,31,20.207425135770936,40.03559050584953,-20.309667209090104,-28.335921946422985,-15.265786736849702,0.0,9.313225746154785e-10,-0.9250780437044746,-1.0,-0.8085327783558793,True,2.7939677238464355e-09,True
temporal,F8,cold restart vs previous-best seeded,31,40.597145807163365,31.895955050823204,8.256840406096224,7.169619594187651,10.11583322939174,0.0,9.313225746154785e-10,0.9001040582726326,0.7814776274713839,0.9833506763787722,False,2.7939677238464355e-09,True
temporal,F8,cold restart vs population persistence,31,40.597145807163365,46.29318287484748,-4.471690608845094,-14.627226497338704,2.6244132515518928,172.0,0.14060599450021982,-0.1696149843912591,-0.4921956295525494,0.15920915712799166,True,0.14060599450021982,False
temporal,F8,previous-best seeded vs population persistence,31,31.895955050823204,46.29318287484748,-12.123997264307569,-22.62541366971913,-4.9635189484507904,62.0,0.00010677427053451538,-0.5005202913631633,-0.7585848074921956,-0.20707596253902186,True,0.00021354854106903076,True
