case,seed,GWO,PSO,SGO,WOA
F8,29,44.00733810713102,12.01201082438392,46.29318287484748,28.78148716819886
F8,30,41.14070004172368,48.17874203940178,67.62230482004367,34.47563687073686
F8,31,16.449438546510923,19.69139393193317,52.750234912574186,46.7563619372972
F9,1,90.25558708867842,117.83997949465032,102.07794923472352,94.79519057516264
F9,2,36.83716703716254,179.53040503876412,116.57268677569176,90.36720177214904
F9,3,87.31534450532887,41.97606499715077,117.11259296545524,106.80052606614356
F9,4,28.02102204098844,107.54697395363868,114.36333172226976,77.74189769928158
F9,5,122.28633943595054,30.632575630044315,150.79151849426955,115.83550330165812
F9,6,46.35632805586122,61.40159611289941,125.79939543056884,100.41009288373375
F9,7,48.783241853646366,10.20043158521672,89.72514023812111,49.40028733042419
F9,8,33.1602320017256,37.89951273648994,128.28044548843485,92.29336596450642
F9,9,106.185416479354,66.07148921651002,95.23598982373356,88.11347099921917
F9,10,20.328728155431243,23.51534273368043,113.71269140115228,94.20408879073295
F9,11,21.604886475544426,45.85694663699945,121.76875703106695,92.81238788045034
F9,12,28.12161130317237,226.10397729399324,138.16584384929203,87.71589011134398
F9,13,34.630596172992824,37.81161238148859,107.29950522881416,93.98896520637447
F9,14,25.06408025661232,187.162477444247,95.34997137770046,95.15113550722424
F9,15,25.64825985767248,234.3017029741707,133.01471665237472,103.91370755004756
F9,16,23.182532742192425,38.71876627580899,131.31064082749967,88.93583763218783
F9,17,109.45017649485855,63.03905730538392,141.76856199075448,73.61733517035506
F9,18,26.654416339177192,45.35485790226283,113.41744615379184,57.615373421900735
F9,19,38.97874015851185,36.73794817899738,131.6827950279798,91.5185441309917
F9,20,82.55718396032074,44.7812174857665,120.35451011694576,80.20094518251682
F9,21,97.39511770853365,229.4596429198593,105.45746816132096,98.70217228796368
F9,22,105.9808196012124,34.316069516261564,75.27793174722039,58.69564220850776
F9,23,55.33274265373346,15.519960480460933,130.8776218663297,49.011825356467824
F9,24,29.69984244214923,20.51478282829105,129.57673187361615,34.280777679487464
F9,25,36.94845753713967,16.28030443841775,105.3373667261388,72.78841707825168
F9,26,19.209263526832228,33.361558426166475,137.81318151255448,107.8050878463014
F9,27,96.8548782529935,20.48558250055111,104.66703447839517,92.3120140017789
F9,28,113.23962661379475,42.66811938681015,134.36686856524017,90.60772517625018
F9,29,70.08430208576195,125.46004015361598,103.84581060497582,95.74045534682836
F9,30,98.02759488262552,68.88020647837499,127.64474521982198,94.13880148686476
F9,31,19.103967584792684,56.52088004020941,107.36091693480928,95.50600107780718
F10,1,159.3390583440491,175.40442428936103,216.0440300819286,186.902440322732
F10,2,181.3347908918583,91.21342603565624,234.69290285390625,186.9722982169985
F10,3,131.3599452235209,339.30959627852707,209.3740075421872,182.9934254288204
F10,4,123.91853160814873,72.9042802446084,257.3383650465203,215.3758682385833
F10,5,203.4945223670184,62.79655657335417,242.3338468065913,195.49525927723343
F10,6,190.06985466715736,132.91609533730906,244.0190574765583,212.5438904451688
F10,7,131.32398564256215,98.32062723305584,232.8869211412805,194.96836239804864
F10,8,184.21134914112463,334.33283045744207,241.56213520399183,193.5994134385738
F10,9,198.87663618687063,143.9334425581549,246.85077270983112,216.20750426107375
F10,10,118.28693560215538,418.8615456966665,214.7394992917317,189.0614658547233
F10,11,159.7750943329489,296.9593740853312,245.9483990466552,191.2578216443715
F10,12,189.5628783869361,346.41437568843844,240.01851916285932,193.61428799499552
F10,13,200.9148412099415,109.72555411057064,234.4745775519403,190.3494096478083
F10,14,156.34997954668688,412.9892116134103,225.6630311292072,204.57768806412065
F10,15,190.14640181866747,248.4470795526801,226.0155676224857,188.67385214381784
F10,16,195.91596964031567,260.30706029732426,224.44124991337625,179.154945043522
F10,17,165.11524008500615,312.2585175693746,204.91163005919265,182.18745789992215
F10,18,169.37166056562685,333.30927989299005,217.86239749923809,161.07586177781803
F10,19,199.06024689326696,359.1665942290965,229.6647460119956,172.29928116308062
F10,20,188.4185356458212,376.5299087956022,248.5968264296696,202.0017578882957
F10,21,201.43136644094847,281.0648411006369,220.10041695453825,215.7060481616253
F10,22,145.17247333678878,190.14248037742675,244.2435906549524,200.109999869698
F10,23,29.25035357969492,481.50012672344815,229.20128435102387,192.25086460832
F10,24,174.40860547231532,337.318740511222,234.1302136976564,179.74351497487092
F10,25,74.16294581561613,235.48475914368868,211.7915339227255,190.31281581102888
F10,26,193.60226326924408,232.51527893761772,255.18018943135823,213.99013195449703
F10,27,190.14386103050091,366.2356770050752,228.2089421331098,187.64055278582453
F10,28,131.925992627779,268.2092497958656,229.20712499081404,206.48909917721664
F10,29,139.51799108387257,361.4351712609424,229.7111727016652,190.41559406858
F10,30,180.2761217612676,287.1795399896644,214.96045064864185,176.2003800446027
F10,31,210.85970614855137,384.4535276186524,228.95430186758128,202.2806080656105
F11,1,40.14731187499124,10.20563181942172,36.77964150615526,37.51912805041034
F11,2,28.437251032302715,19.343153265604336,31.97484986373397,31.335279937647275
F11,3,38.11547669260538,25.19938788924411,36.79992978993386,31.80270679976905
F11,4,20.741547152066698,22.98296189766739,40.3417771437742,24.00174666928748
F11,5,26.72973887112993,62.39494046080444,35.88971976732279,31.49637820166628
F11,6,20.243510599138297,19.12476131707028,58.456148021247934,30.53554852868623
F11,7,42.76700724183987,16.23107711824332,36.76184845427148,29.698432325154897
F11,8,14.629796574631373,113.5285542432241,54.646335599326,25.823073995419048
F11,9,19.9307549159569,20.68575018148727,46.33328524940706,43.85086206327388
F11,10,32.01318570599719,15.862900120611634,49.728978683996935,35.75718976078199
F11,11,52.77297039852065,14.897261439479363,58.45677170986538,28.65534479638037
F11,12,44.06645096641736,40.20443324692226,53.98727935298115,26.25918745743686
F11,13,28.07705841341953,113.02611223469096,49.03687826935492,35.32231381186481
F11,14,31.59316729177052,20.804986364148125,49.04763920647315,27.86079976566884
F11,15,22.581263139474785,16.86037700266968,36.07874242828518,44.00533099038034
F11,16,31.136031120208017,19.38083629362111,44.55831138965633,22.76667945476788
F11,17,17.003638539963013,17.578681610392813,56.24248567563756,54.03343073415899
F11,18,28.59441495206577,15.06387099056432,48.84178911446716,39.03898650817207
F11,19,40.71979520849708,16.63419805427872,19.65706021597425,23.02587298713762
F11,20,12.782792597354373,17.056133708236732,37.47916335464215,39.02775934624025
F11,21,25.76718040479102,24.673712686066725,51.15416472814721,47.316263848440165
F11,22,14.196419199120548,11.348000619123894,29.277816126432626,18.736225646412883
F11,23,27.945553533605075,38.53360466565923,41.80077353838766,28.19280700898175
