case,seed,alg,mode,NP,dimension,peaks,change_frequency,shift_severity,environments,max_evals,realized_FE,budget_exact,environments_completed,changes_seen,reevaluation_FE,offline_error,best_error_before_change,mean_population_diversity,wall_seconds
F1,3,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,30.126153729101954,29.066628136637863,0.0665664688929648,124.65851390900207
F1,1,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,71.69469041712613,69.43361643297276,0.08215707758860429,152.55001976698986
F1,2,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,26.015867796530898,25.33002637772435,0.13222026070126672,138.52651929498825
F1,9,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,18.026137930009753,17.543110373854308,0.0011517209923328105,13.887994506992982
F1,5,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,20.093412200329947,19.594395857408177,0.0006700036410988611,112.2641707110015
F1,10,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,14.15438021402092,13.660733575893369,0.0015661067791767598,15.217684926989023
F1,4,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,27.853650196778013,26.576850993881727,0.13526273409644388,142.47637086198665
F1,6,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,37.28739531342123,36.04645448558956,0.0005454145035391558,119.3200180290005
F1,8,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,16.4260911060661,15.190446652913579,0.0003957534446568813,60.55963870800042
F1,6,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,32.91440729891699,30.371343918912494,0.11169181276942122,142.04006589599885
F1,11,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,9.542255975615337,8.938884639280715,0.0013217822015101947,13.88301400700584
F1,9,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,49.402368420916126,47.75067664300454,0.0001352944405921459,55.60903996200068
F1,5,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,38.65548904956942,37.07089795526838,0.10547660267665249,159.36316941300174
F1,7,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,22.245199163449374,21.565393454066648,0.0006282030252550536,100.71353423899563
F1,10,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,41.056581790631896,39.84549813351296,0.00012869657475344658,61.15504944800341
F1,12,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,15.431168972533959,14.58490454511997,0.007298500022152407,11.579712370003108
F1,11,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,13.133909569035094,11.573925653096643,0.00047736675485612586,48.00544439899386
F1,13,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,14.353781247810364,13.724547714510088,0.007703210641616639,13.018970759992953
F1,7,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,69.61090132069575,66.89959657789024,0.07599732608115507,152.62390590998984
F1,8,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,45.88635524388946,44.761784204259875,0.10601761036924962,134.5655801899993
F1,8,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,26.880734638090733,26.086193951939514,0.0008386032444836531,109.82141334499465
F1,14,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,9.233059964724768,8.86096377306035,0.00207729826717523,12.196380303008482
F1,15,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,15.592933603097292,15.077111262342472,0.0008436137619782137,14.028602363003301
F1,13,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,15.27360173424423,13.091611601482281,0.0002872933695610639,51.602388903003884
