case,seed,alg,mode,environment,post_change_error,end_of_environment_error,mean_error,error_reduction,error_reduction_fraction,recovery_evals_50,recovery_success_50,recovery_evals_90,recovery_success_90
F2,5,SGO,population_persistence,19,56.17820776341337,43.347225613535954,44.4049292100028,12.830982149877414,0.22839785498165577,12,True,2039,True
F2,5,SGO,population_persistence,20,59.62138716727894,53.506535292153316,54.073181169125206,6.114851875125623,0.10256138217598433,4,True,3273,True
F2,5,SGO,population_persistence,21,100.82343538532335,51.97374356356175,52.07921276009995,48.8496918217616,0.48450731355333826,3,True,7,True
F2,5,SGO,population_persistence,22,69.55142087708967,43.69920141138348,43.898972637638416,25.85221946570619,0.37169937205728526,2,True,51,True
F2,5,SGO,population_persistence,23,81.0659343751988,26.15694609522133,26.57666156465674,54.908988279977464,0.6773373884255907,3,True,14,True
F2,5,SGO,population_persistence,24,60.57491188220075,25.297480128386866,25.42131058064492,35.277431753813886,0.5823769388623702,3,True,7,True
F2,5,SGO,population_persistence,25,30.025103062464822,16.47293796367734,16.838371653914052,13.552165098787484,0.45136115172005536,2,True,2,True
F2,5,SGO,population_persistence,26,68.81895223516791,19.577386647083024,19.605898511678813,49.24156558808489,0.7155233258974469,2,True,3,True
F2,5,SGO,population_persistence,27,71.90806598796405,34.9506168508447,34.991335961649085,36.95744913711935,0.5139541528387827,2,True,4,True
F2,5,SGO,population_persistence,28,70.14962545658591,44.1864836214431,44.28153848683244,25.963141835142807,0.37011091172840027,2,True,2,True
F2,5,SGO,population_persistence,29,59.78883447055954,29.345988717633034,30.061637424498947,30.44284575292651,0.5091727581329051,7,True,130,True
F2,5,SGO,population_persistence,30,43.06455910654522,13.794528498324226,13.803952688192657,29.270030608220992,0.6796779350696371,3,True,3,True
F2,5,SGO,population_persistence,31,52.29591691540505,22.92533533542761,23.017791196142454,29.37058157997744,0.5616228438539073,3,True,12,True
F2,5,SGO,population_persistence,32,88.84457434981485,16.03983341920732,17.494529607114785,72.80474093060752,0.8194618688131432,2,True,6,True
F2,5,SGO,population_persistence,33,40.451749112684446,29.883693195428663,32.75448031650996,10.568055917255784,0.2612509013594658,1254,True,2128,True
F2,5,SGO,population_persistence,34,66.2500566617485,39.592497811761966,39.65511232098228,26.657558849986536,0.4023779026498266,6,True,14,True
F2,5,SGO,population_persistence,35,67.53878566407207,36.869848381653846,37.1016050877121,30.66893728241822,0.4540937030606529,4,True,4,True
F2,5,SGO,population_persistence,36,39.53241902093439,24.825177428122515,24.96800459169672,14.707241592811876,0.3720298923529991,7,True,96,True
F2,5,SGO,population_persistence,37,64.26128796544717,18.270430665747483,18.544977860298967,45.990857299699684,0.7156852711142148,4,True,61,True
F2,5,SGO,population_persistence,38,143.070452982203,17.97920789239668,19.092922563988786,125.0912450898063,0.8743331867787322,8,True,13,True
F2,5,SGO,population_persistence,39,130.5402793351792,16.024998443587975,17.66028997188044,114.51528089159123,0.8772409671160447,10,True,100,True
F2,5,SGO,population_persistence,40,84.34051213088092,22.776453169682625,22.919383772847716,61.5640589611983,0.7299464682602618,3,True,3,True
F2,5,SGO,population_persistence,41,83.79909857715191,34.678757159943586,35.46678813666777,49.12034141720832,0.5861678974026714,2,True,16,True
