case,alg,mode,seed,end_error,post_change_error,recovery_frac_50,recovery_frac_90,late_half_fraction,mean_population_diversity
F10,PSO,population_persistence,25,218.58696702877552,382.86631697804165,0.057157446808510634,0.3740489361702128,0.07976684854606654,0.036009498950926075
F10,PSO,population_persistence,26,224.71985094183304,318.7088101552455,0.04496164383561644,0.44124931506849313,0.11396902857955732,0.030385359878807354
F10,PSO,population_persistence,27,356.4936297595496,436.3435283516565,0.13648571428571427,0.2768095238095238,0.029119763401845324,0.008628462556494654
F10,PSO,population_persistence,28,256.4813537119161,356.31618684665165,0.06516521739130435,0.45463478260869566,0.1043161755365307,0.029449997250911433
F10,PSO,population_persistence,29,354.65190594501996,425.5713333604217,0.08164545454545455,0.3187818181818182,0.06230731205012025,0.01183293089713266
F10,PSO,population_persistence,30,282.84757252345224,347.7539538208684,0.06477619047619047,0.4064047619047619,0.11953970576148297,0.01763211548690241
F10,PSO,population_persistence,31,379.6291817070998,438.7451206198849,0.08863589743589743,0.2586923076923077,0.01825564765664338,0.007648781624770967
F10,PSO,previous_best_seeded,1,90.3508152282484,175.68126581150622,0.2854383838383839,0.6575151515151515,0.2868211776268556,0.11747261392063577
F10,PSO,previous_best_seeded,2,58.413280282339024,94.63794900592559,0.4753858585858586,0.7909575757575757,0.5137113705051082,0.1216968382234777
F10,PSO,previous_best_seeded,3,77.76157410259584,156.0937550697035,0.3000181818181818,0.7226444444444444,0.35680224666952765,0.12179001477147104
F10,PSO,previous_best_seeded,4,66.44313594269354,109.56036101882269,0.4196727272727273,0.7904565656565656,0.42510459118657956,0.11726902297570514
F10,PSO,previous_best_seeded,5,92.01487900240717,171.0419572974632,0.297579797979798,0.6892363636363635,0.3045674756464527,0.1138731794237365
F10,PSO,previous_best_seeded,6,65.21128105051683,119.54368109044508,0.3570909090909091,0.7461959595959596,0.37143587422979923,0.11473716679612019
F10,PSO,previous_best_seeded,7,75.91138855174384,136.31688039357948,0.3297757575757576,0.6996141414141414,0.33273241485088745,0.11054600826939004
F10,PSO,previous_best_seeded,8,63.78392407221323,115.89228878822328,0.4345818181818182,0.7546565656565657,0.45100002418731233,0.12957518109780966
F10,PSO,previous_best_seeded,9,82.15835623438731,138.8053389578457,0.34713737373737374,0.7149474747474747,0.343916645677341,0.12548803084164853
F10,PSO,previous_best_seeded,10,63.629061011152054,111.4982221515754,0.3732787878787879,0.7369717171717172,0.3686519481198157,0.11008722597753892
F10,PSO,previous_best_seeded,11,73.87516397793648,129.24454241045296,0.3749030303030303,0.7219313131313131,0.36013168354041913,0.11492219367450182
F10,PSO,previous_best_seeded,12,91.98205745443889,181.42310654887314,0.288379797979798,0.6959393939393939,0.3140140912607927,0.12832864264215307
F10,PSO,previous_best_seeded,13,74.49367164107804,149.77986076878997,0.3158747474747475,0.6974727272727274,0.336393957784055,0.12651641902585822
F10,PSO,previous_best_seeded,14,76.33799196142944,157.52169146403656,0.23513939393939395,0.6536626262626262,0.2539411815121285,0.11877581505949024
F10,PSO,previous_best_seeded,15,69.6481292391188,138.2730583570293,0.38147474747474747,0.711040404040404,0.4104800918177173,0.13092602998091885
F10,PSO,previous_best_seeded,16,83.06601780807571,152.44970853991384,0.28252929292929296,0.7024242424242425,0.297840431438721,0.1165803345795911
F10,PSO,previous_best_seeded,17,89.30978811952968,191.84799966472667,0.28132929292929293,0.6980949494949495,0.28633856828785403,0.1408342708635583
F10,PSO,previous_best_seeded,18,77.73079728868271,168.97377991942568,0.21778383838383839,0.6518848484848484,0.25323882113562224,0.11780686597757681
F10,PSO,previous_best_seeded,19,52.06742627944963,91.61311400665173,0.466230303030303,0.7524686868686868,0.4896667587914383,0.11621151720486103
F10,PSO,previous_best_seeded,20,67.753730361163,118.91502094881376,0.397680808080808,0.7383272727272726,0.41562531863222096,0.13002496369430364
F10,PSO,previous_best_seeded,21,45.994230092881736,71.97850657245067,0.4990787878787879,0.7770424242424242,0.5364787840561578,0.12277097753830651
F10,PSO,previous_best_seeded,22,60.5886316724834,97.13991234759085,0.48083030303030305,0.7502868686868688,0.5147557186464923,0.12459339250733487
F10,PSO,previous_best_seeded,23,53.46795870620052,99.50609685406667,0.38374343434343433,0.7300181818181818,0.3641992511037924,0.10940064983131947
F10,PSO,previous_best_seeded,24,73.52695761809898,129.25952139496135,0.376559595959596,0.7499131313131313,0.3895992113969725,0.11994074575003115
F10,PSO,previous_best_seeded,25,72.13353019228163,146.9713846927283,0.25526464646464647,0.6813191919191919,0.30309884455721053,0.11764511273134064
F10,PSO,previous_best_seeded,26,58.9945320344086,107.42955738566152,0.4459979797979798,0.7487737373737374,0.478848887640028,0.12023631105468054
F10,PSO,previous_best_seeded,27,70.1100143515492,118.51568129830385,0.4555858585858586,0.781359595959596,0.45759588286557507,0.1216337321900562
