case,alg,effect,mode_A,mode_B,n,median_A,median_B,median_diff,diff_ci_lo,diff_ci_hi,median_log_ratio,log_ratio_ci_lo,log_ratio_ci_hi,percent_change,wilcoxon_stat,p_raw,cliffs_delta,A_better,p_holm,significant_holm
F8,PSO,E2_persist_minus_cold,population_persistence,cold_restart,31,17.560819259480922,33.26715487187051,-15.624141420902202,-17.048482890283587,-12.176618952024988,-0.63785182106776,-0.7216893304643728,-0.4691421834110645,-47.15736399678532,33.0,2.989545464515686e-06,-0.8085327783558793,True,5.979090929031372e-06,True
F8,PSO,E3_persist_minus_prevbest,population_persistence,previous_best_seeded,31,17.560819259480922,23.508781173831107,-4.828308584447338,-6.903589886221763,-2.473551007115802,-0.25304811195265164,-0.36311712980018823,-0.10914756014760571,-22.3569474663574,143.0,0.03935616556555033,-0.44849115504682624,True,0.03935616556555033,True
F8,WOA,E1_prevbest_minus_cold,previous_best_seeded,cold_restart,31,25.280606051228965,37.45547764169004,-11.237091085004714,-12.108389992194493,-9.300366642562995,-0.3571830378541345,-0.410242662489524,-0.31099200205476407,-30.035557540028325,0.0,9.313225746154785e-10,-0.8959417273673257,True,2.7939677238464355e-09,True
F8,WOA,E2_persist_minus_cold,population_persistence,cold_restart,31,45.326880150127764,37.45547764169004,5.105811431953818,1.4581959860896063,12.836714037377433,0.13878319238825418,0.043216963407258335,0.3006885481471386,14.887498815753176,115.0,0.00806064996868372,0.28407908428720086,False,0.00806064996868372,True
F8,WOA,E3_persist_minus_prevbest,population_persistence,previous_best_seeded,31,45.326880150127764,25.280606051228965,14.814310403612172,9.00592443313818,22.664062660235402,0.38102695911166584,0.2906261553811253,0.6780171289284779,46.37870672767994,16.0,1.5739351511001587e-07,0.7648283038501561,False,3.1478703022003174e-07,True
F10,SGO,E1_prevbest_minus_cold,previous_best_seeded,cold_restart,31,158.54593260683237,168.2227093694824,-3.3447162884557144,-11.478408454164992,-1.8731584200896805,-0.02152861178067026,-0.07341802425392117,-0.011031129255698893,-2.1298525323390494,13.0,8.195638656616211e-08,-0.5046826222684704,True,8.195638656616211e-08,True
F10,SGO,E2_persist_minus_cold,population_persistence,cold_restart,31,229.6647460119956,168.2227093694824,65.54349355985923,61.96542577114522,68.1984216918388,0.328560743961101,0.3114810232641109,0.34350105901791583,38.89676091600498,0.0,9.313225746154785e-10,1.0,False,2.7939677238464355e-09,True
F10,SGO,E3_persist_minus_prevbest,population_persistence,previous_best_seeded,31,229.6647460119956,158.54593260683237,70.6553517441915,65.96250542679016,78.99053509322943,0.36263269836330236,0.341765530456746,0.42150065713788437,43.71079102013438,0.0,9.313225746154785e-10,1.0,False,2.7939677238464355e-09,True
F10,GWO,E1_prevbest_minus_cold,previous_best_seeded,cold_restart,31,49.39637167481929,115.8046538934198,-66.89997386370021,-73.07269250736897,-60.60593918503172,-0.8452670059388486,-0.9917276783845113,-0.7529632409267698,-57.05573208443035,0.0,9.313225746154785e-10,-1.0,True,2.7939677238464355e-09,True
F10,GWO,E2_persist_minus_cold,population_persistence,cold_restart,31,180.27612176126758,115.8046538934198,63.04538464801945,42.56255223133448,74.07148186822197,0.45288727993186884,0.309778280011206,0.4948904617718537,57.284688511359995,34.0,3.4635886549949646e-06,0.8522372528616025,False,3.4635886549949646e-06,True
