case,seed,alg,mode,NP,dimension,peaks,change_frequency,shift_severity,environments,max_evals,realized_FE,budget_exact,environments_completed,changes_seen,initialization_FE,reevaluation_FE,offline_error,best_error_before_change,mean_population_diversity,wall_seconds
F12,15,SGO,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,24.160566258026503,21.082594910256788,0.17021485248259335,79.9886338290089
F12,17,PSO,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,16.444358040800072,10.764463267651784,0.11563326908677286,9.95492550599738
F12,15,SGO,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,49.72491744230408,47.59506481405776,0.10771520736179034,83.92443524699775
F12,17,PSO,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,14.713220818896122,9.18213279767233,0.11745375509766183,10.507400159011013
F12,17,PSO,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,43.688488913815426,41.59780051293312,0.017434810953124952,9.470660154998768
F12,17,GWO,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,16.602851695926905,11.466528992707246,0.08599359282487197,31.640901095001027
F12,17,GWO,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,41.54258908793451,39.326145104254,0.024428796336538983,33.373272177006584
F12,17,GWO,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,15.329736039925333,10.870121195294157,0.08593520949080091,37.33362586499425
F12,15,WOA,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,30.622766435842877,28.791226550140042,0.11582261807777813,65.64902724699641
F12,15,WOA,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,39.95774290863157,38.67773151441891,0.07123177052911789,65.85361257799377
F12,16,SGO,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,50.15647706719781,48.61530152133903,0.08422525076639308,71.05117116200563
F12,16,SGO,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,25.259434452559578,22.074381175874752,0.15587244905468542,74.49558524199529
F12,15,WOA,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,22.7572867375763,21.311538182988265,0.1182873607172851,75.13416827800393
F12,16,WOA,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,24.65736863086391,22.98838107077485,0.1140480784253545,61.12853562900273
F12,18,PSO,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,15.360289534534493,8.666547685351052,0.12714336972607007,11.435015225011739
F12,16,WOA,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,26.554283005911916,24.946939515383637,0.11496321420049538,63.26683353999397
F12,18,PSO,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,14.498715087692645,8.700699647469031,0.12303402359846465,9.739630370007944
F12,18,GWO,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,16.001098972801504,11.582041820139882,0.0824510362821169,29.63128575400333
F12,18,PSO,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,20.25033716605295,18.12653809917998,0.02558458065930718,9.194598492002115
F12,16,SGO,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,23.57785026475487,20.53320437274402,0.16131134871778624,90.13252325401118
F12,18,GWO,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,12.869855043675955,8.319947672589326,0.0847433350910975,34.97423113499826
F12,17,SGO,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,65.25334321629173,63.40835519373358,0.08809601485871352,78.975920441997
F12,16,WOA,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,23.461377300409147,22.36913843170997,0.06451083753311204,81.8984940169903
F12,18,GWO,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,14.284757248499005,10.089459333164278,0.04441762651420892,36.730780710990075
F12,17,SGO,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,21.592249167955014,18.47518506435592,0.20480610967940654,84.33073497698933
F12,17,SGO,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,28.864587059659943,25.231619927808648,0.17763432525951386,85.40471150999656
F12,17,WOA,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,50.77075724295096,49.251116023160876,0.06737649202059873,64.72341311300988
F12,17,WOA,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,26.154767205906186,24.79603179490217,0.11818223935137073,67.11801612999989
F12,19,PSO,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,13.935243024964608,7.669666827142359,0.12530688114938265,10.595064940003795
F12,19,PSO,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,14.307145047307882,8.556528589546485,0.12192916194250604,11.23545845800254
F12,19,PSO,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,61.60498877573283,59.393300643041314,0.0268045107455987,10.43101519299671
F12,17,WOA,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,29.239192444024486,27.564406770536685,0.11632751571370555,74.30929536899203
F12,19,GWO,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,14.132573939963473,9.84323183036276,0.08348820289078883,30.523465524995117
F12,18,SGO,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,27.107650181991218,23.947466379414813,0.15198749820226023,74.65948239101272
F12,19,GWO,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,42.162218215914585,41.02939829185659,0.013644550314407467,31.828678584992304
F12,20,PSO,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,15.443750088811733,9.728022384263525,0.12242421140494207,9.403623617006815
F12,18,SGO,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,22.281233857083716,19.011757889854202,0.15708411832663008,85.91998299000261
F12,19,GWO,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,14.421633919519216,9.96696119037116,0.08715680447504903,38.94541641000251
F12,20,PSO,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,14.612574906018956,9.181319370523532,0.12259015025853628,9.182630164999864
F12,20,PSO,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,84.9238294939859,83.0275430777533,0.015225620372092913,9.579100061004283
F12,18,SGO,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,63.08396620424623,61.58195698362219,0.0570041158953736,84.62122517199896
F12,20,GWO,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,13.650032522365265,9.74877854131218,0.08339121839757739,28.51538907199574
F12,20,GWO,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,27.65024201966979,25.607905220792997,0.03140686904905786,29.433546929998556
F12,18,WOA,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,41.502588066891235,40.599717886259874,0.07689442561675303,68.7960972150031
F12,18,WOA,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,25.164029546434772,23.46383132594372,0.11739717693549614,69.08705648999603
F12,20,GWO,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,15.219469046247292,10.847569036721106,0.08394787384111498,38.15348835400073
F12,19,SGO,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,35.933631281438345,34.77636923787889,0.0974022248499507,70.37251402898983
F12,18,WOA,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,29.282825569629857,27.465114121809314,0.11571957734873618,81.85994012799347
F12,19,SGO,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,23.642549552699705,20.833523645960916,0.12533832725470492,80.68609169399133
F12,21,PSO,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,15.621450804996007,9.619862684681872,0.11858712474740002,11.243211423003231
F12,21,PSO,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,15.231132851645434,10.546926170202005,0.11026154472477742,11.50630591699155
F12,21,PSO,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,72.49823010055303,63.903185489559135,0.006542473991172056,8.894175587003701
F12,19,WOA,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,26.489661012268183,24.84898366880663,0.11357908009472559,64.51045406800404
F12,19,SGO,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,23.91520776491185,21.4057048796087,0.12248076102830469,88.39666258300713
F12,19,WOA,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,23.774348250564262,22.146411327850018,0.11360911571012428,72.41764197300654
F12,21,GWO,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,28.16657857182829,25.906121451895565,0.0368850926324362,30.05325659699156
F12,21,GWO,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,13.152063304490868,8.829963540246625,0.08105195610696594,30.198622785988846
F12,20,SGO,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,27.36691105273628,24.10491308395352,0.15191395151215362,71.5131874820072
F12,20,SGO,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,22.879615863843274,19.662343366477646,0.16874847259277514,71.39376162100234
F12,21,GWO,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,14.909946864457575,10.215210877634108,0.0829300382612647,40.426127198006725
F12,19,WOA,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,29.722408676036665,28.905148997992537,0.06685402521700322,78.23364553699503
F12,20,SGO,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,59.63251618397209,57.445701653394934,0.05548396550778421,78.75873570601107
F12,22,PSO,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,14.967816010912884,9.134637210878502,0.11844333572172924,10.857889120001346
F12,22,PSO,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,13.463937855129608,8.054056674126794,0.11784413100560746,11.086542005999945
F12,20,WOA,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,27.863480586466885,26.3926556983746,0.11353806691649374,67.18248307099566
F12,22,PSO,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,25.752100906971826,23.812617385507878,0.025595305703363182,11.760329949000152
F12,20,WOA,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,33.04567396402131,31.73656869438159,0.06438185807669684,64.69158061199414
F12,22,GWO,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,20.791867010524772,17.74654154058559,0.03917935252435701,29.506606706010643
F12,20,WOA,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,17.41616647723805,16.32003862078971,0.11225675924283529,78.29450728200027
F12,22,GWO,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,12.718967482637293,7.7287765619227695,0.08595858965811552,33.59137698599079
F12,22,GWO,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,12.159532855653937,7.127555603602384,0.08930778336887635,36.31130422199203
F12,21,SGO,population_persistence,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,44.68572565874244,42.72962072942003,0.17263464077810928,75.38949413700902
F12,21,SGO,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,27.952691016338516,24.37507277325424,0.16626393169577425,81.33114916201157
F12,21,SGO,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,25.740676110999324,22.291168904489858,0.1805166679598805,83.96971931798907
F12,23,PSO,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,12.849415932971432,5.79931599611701,0.13435351286496372,10.207498028001282
F12,21,WOA,cold_restart,20,5,10,5000,5.0,100,500000,500000,True,100,99,20,1980,31.343987275209543,29.48876014254634,0.114558650354176,63.612953734002076
