part,mode,system,alg,trial,step,P,Nc,Q_scale,J_star,J_alg,signed_gap,abs_gap,norm_gap,below_ref,control_error,time_ms,nfe,iters,mean_metric_rmse,nrmse,Nsim
single_step,tuned,flight,PSO,38,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.02616915360619899,2.5233116021268487e-06,2.5233116021268487e-06,2.5233116021268487e-06,False,0.009965598455883979,4.291630000807345,1230.0,41.0,,,
single_step,tuned,flight,PSO,39,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171345112063912,3.3180573720537065e-07,3.3180573720537065e-07,3.3180573720537065e-07,False,0.003439956847845325,4.300991000491194,1230.0,41.0,,,
single_step,tuned,flight,PSO,40,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171106375069406,5.70542731712087e-07,5.70542731712087e-07,5.70542731712087e-07,False,0.004764185997605005,4.344726999988779,1230.0,41.0,,,
single_step,tuned,flight,PSO,41,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.02617044745153114,1.2294662699793846e-06,1.2294662699793846e-06,1.2294662699793846e-06,False,0.0082561104585007,4.269926997949369,1230.0,41.0,,,
single_step,tuned,flight,PSO,42,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171534030483355,1.4288731776251895e-07,1.4288731776251895e-07,1.4288731776251895e-07,False,0.00114556954763938,4.270613004337065,1230.0,41.0,,,
single_step,tuned,flight,PSO,43,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026170307170255994,1.3697475451240892e-06,1.3697475451240892e-06,1.3697475451240892e-06,False,0.004739537902817558,4.283261005184613,1230.0,41.0,,,
single_step,tuned,flight,PSO,44,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026170807876580656,8.69041220461636e-07,8.69041220461636e-07,8.69041220461636e-07,False,0.002998833129915135,4.298893996747211,1230.0,41.0,,,
single_step,tuned,flight,PSO,45,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.02604682626846246,0.0001248506493386585,0.0001248506493386585,0.0001248506493386585,False,0.07649959339939101,2.179850998800248,630.0,21.0,,,
single_step,tuned,flight,PSO,46,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026168266132784553,3.4107850165644715e-06,3.4107850165644715e-06,3.4107850165644715e-06,False,0.012475112086866299,4.3608410051092505,1230.0,41.0,,,
single_step,tuned,flight,PSO,47,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026159315883647775,1.2361034153342276e-05,1.2361034153342276e-05,1.2361034153342276e-05,False,0.01999661205224017,4.335510995588265,1230.0,41.0,,,
single_step,tuned,flight,PSO,48,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171650737017063,2.6180784054585793e-08,2.6180784054585793e-08,2.6180784054585793e-08,False,0.0004490356519892803,4.289743999834172,1230.0,41.0,,,
single_step,tuned,flight,PSO,49,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026170815917050665,8.610007504530892e-07,8.610007504530892e-07,8.610007504530892e-07,False,0.006367022652231712,4.344802990090102,1230.0,41.0,,,
