system,regime,alg_a,alg_b,n_a,n_b,mean_a,mean_b,median_a,median_b,std_a,std_b,mean_diff_abs,median_diff_abs,relative_diff_pct,p_raw,cliffs_delta,cliffs_delta_lo,cliffs_delta_hi,delta_ci_excludes_zero,hodges_lehmann,hl_lo,hl_hi,hl_ci_excludes_zero,better,p_holm,significant_holm,exceeds_0.5pct_descriptive,exceeds_1.0pct_descriptive,exceeds_2.0pct_descriptive,evidence,holm_family
cstr,B_common_NP,GWO,WOA,20,20,0.2941515363408936,0.2944109461959512,0.294150160170901,0.2941550085664874,4.11931810321297e-06,0.00043844176191957975,-0.00025940985505762404,-4.848395586398713e-06,0.08811148444357382,0.0007578810699193657,-0.625,-0.88,-0.32999999999999996,True,-5.750680277749609e-06,-0.0005215906416604632,-3.5824558523023242e-06,True,GWO,0.0037894053495968285,True,False,False,False,practically negligible under descriptive thresholds,6 pairwise comparisons within cstr/B_common_NP
cstr,B_common_NP,PSO,WOA,20,20,0.29415232499631405,0.2944109461959512,0.29415225218936053,0.2941550085664874,9.816182535995264e-07,0.00043844176191957975,-0.0002586211996371546,-2.756377126877929e-06,0.08784360873084655,1.5997235246344776e-05,-0.8,-0.98,-0.55,True,-2.9402409395529183e-06,-0.0005219083676731573,-2.1517461346105836e-06,True,PSO,9.598341147806866e-05,True,False,False,False,practically negligible under descriptive thresholds,6 pairwise comparisons within cstr/B_common_NP
flight,A_tuned_NP,SGO,GWO,20,20,0.018166487395812086,0.018197737855756013,0.018179544455994248,0.0181971764324344,6.880770250903884e-05,1.366249218160472e-05,-3.125045994392672e-05,-1.7631976440151548e-05,0.1717271684625465,0.04112359406047486,-0.38,-0.7451249999999999,0.014999999999999902,False,-2.3495741365850767e-05,-6.869293820230098e-05,1.473831851650162e-06,False,SGO,0.24674156436284916,False,False,False,False,numerically ordered but statistically uncertain,6 pairwise comparisons within flight/A_tuned_NP
flight,A_tuned_NP,SGO,PSO,20,20,0.018166487395812086,0.018194337678755966,0.018179544455994248,0.01819545581366645,6.880770250903884e-05,6.429856302804308e-06,-2.7850282943879534e-05,-1.5911357672201282e-05,0.15307115562880877,0.06389223492711604,-0.345,-0.73,0.05499999999999994,False,-1.7039647472700398e-05,-6.740870420210085e-05,5.301817117896131e-06,False,SGO,0.3194611746355802,False,False,False,False,numerically ordered but statistically uncertain,6 pairwise comparisons within flight/A_tuned_NP
flight,A_tuned_NP,SGO,WOA,20,20,0.018166487395812086,0.01818583388878862,0.018179544455994248,0.0181933087384146,6.880770250903884e-05,3.152654826352387e-05,-1.934649297653454e-05,-1.3764282420350438e-05,0.10638221538172882,0.14041971470550127,-0.275,-0.6599999999999999,0.125,False,-1.2041830963351041e-05,-6.348961778502014e-05,1.332359597105287e-05,False,SGO,0.4212591441165038,False,False,False,False,numerically ordered but statistically uncertain,6 pairwise comparisons within flight/A_tuned_NP
flight,A_tuned_NP,GWO,PSO,20,20,0.018197737855756013,0.018194337678755966,0.0181971764324344,0.01819545581366645,1.366249218160472e-05,6.429856302804308e-06,3.4001770000471887e-06,1.720618767950266e-06,0.018688105387959775,0.3234817459216911,0.18500000000000005,-0.18999999999999995,0.53,False,3.122313657550821e-06,-2.694547053998589e-06,9.799188014799481e-06,False,PSO,0.5953535089443607,False,False,False,False,numerically ordered but statistically uncertain,6 pairwise comparisons within flight/A_tuned_NP
flight,A_tuned_NP,GWO,WOA,20,20,0.018197737855756013,0.01818583388878862,0.0181971764324344,0.0181933087384146,1.366249218160472e-05,3.152654826352387e-05,1.1903966967392182e-05,3.86769401980111e-06,0.06545736115367717,0.0720454304673439,0.33499999999999996,-0.030000000000000027,0.665,False,5.002132395700784e-06,-4.3249341540041453e-07,1.282331972349976e-05,False,WOA,0.3194611746355802,False,False,False,False,numerically ordered but statistically uncertain,6 pairwise comparisons within flight/A_tuned_NP
flight,A_tuned_NP,PSO,WOA,20,20,0.018194337678755966,0.01818583388878862,0.01819545581366645,0.0181933087384146,6.429856302804308e-06,3.152654826352387e-05,8.503789967344993e-06,2.147075251850844e-06,0.046760517110999746,0.29767675447218034,0.19500000000000006,-0.17000000000000004,0.54,False,2.6590236395507283e-06,-1.8173094602450235e-06,6.881461272100625e-06,False,WOA,0.5953535089443607,False,False,False,False,numerically ordered but statistically uncertain,6 pairwise comparisons within flight/A_tuned_NP
flight,B_common_NP,SGO,GWO,20,20,0.018184394671842585,0.01819502688836782,0.0181809510879599,0.0181940804357028,2.3689903760885316e-05,9.749134367711855e-06,-1.0632216525235244e-05,-1.312934774290106e-05,0.05843473928599951,0.07643094557954021,-0.32999999999999996,-0.6699999999999999,0.04499999999999993,False,-1.2235750914649235e-05,-2.2981629950000193e-05,1.6110389284007542e-06,False,SGO,0.38215472789770105,False,False,False,False,numerically ordered but statistically uncertain,6 pairwise comparisons within flight/B_common_NP
flight,B_common_NP,SGO,PSO,20,20,0.018184394671842585,0.018229814155765363,0.0181809510879599,0.018197094694470048,2.3689903760885316e-05,8.181981544647105e-05,-4.541948392277825e-05,-1.6143606510147374e-05,0.24914946216505388,0.01436384760113641,-0.45499999999999996,-0.77,-0.07999999999999996,True,-2.079896750934937e-05,-3.0510895176298625e-05,-1.6524405647005969e-06,True,SGO,0.08618308560681846,False,False,False,False,numerically ordered but statistically uncertain,6 pairwise comparisons within flight/B_common_NP
