system,ic,alg,n,nrmse_mean,nrmse_median,nrmse_std,reference_nrmse,fe_exact,rank
hvac,IC4_warm_rooms_cold_walls,PSO,5,0.009060504323366098,0.00906901655251164,1.2295516847847605e-05,0.009069017298942727,True,2
hvac,IC4_warm_rooms_cold_walls,SGO,5,0.009045615659471994,0.009045097544516446,5.391992959675978e-06,0.009069017298942727,True,1
hvac,IC4_warm_rooms_cold_walls,WOA,5,0.009069090945207267,0.00906908419218926,4.401781920291304e-08,0.009069017298942727,True,4
hvac,IC5_at_room_setpoint,GWO,5,0.0007837225094977035,0.0007837550542940502,6.371544279700614e-08,0.0007839952774648286,True,1
hvac,IC5_at_room_setpoint,PSO,5,0.0007839954353382785,0.0007839949711920336,5.702254406495634e-09,0.0007839952774648286,True,3
hvac,IC5_at_room_setpoint,SGO,5,0.0007856399395565485,0.0007852429687833281,1.8103310278236314e-06,0.0007839952774648286,True,4
hvac,IC5_at_room_setpoint,WOA,5,0.0007839941681279368,0.0007839943471744832,9.42176198355649e-10,0.0007839952774648286,True,2
pendcart,IC1_submitted,GWO,5,0.21502187085803465,0.21502308890110447,2.7360420817304226e-06,0.21502249100609086,True,2
pendcart,IC1_submitted,PSO,5,0.21496485255373265,0.21494378052185428,5.306633553453726e-05,0.21502249100609086,True,1
pendcart,IC1_submitted,SGO,5,0.21502689116812954,0.2150268029843692,1.7790803998618137e-05,0.21502249100609086,True,4
pendcart,IC1_submitted,WOA,5,0.2150225014323533,0.2150224954510108,3.07090625334249e-08,0.21502249100609086,True,3
pendcart,IC2_far_cart,GWO,5,0.19923866156615605,0.19923851873569143,8.931956375851813e-07,0.19923874992587898,True,3
pendcart,IC2_far_cart,PSO,5,0.19923830807813664,0.1992381792918229,4.330396366854359e-07,0.19923874992587898,True,2
pendcart,IC2_far_cart,SGO,5,0.199236547246318,0.19923284736166053,7.269899371259127e-06,0.19923874992587898,True,1
pendcart,IC2_far_cart,WOA,5,0.19923875549244158,0.19923875367832666,1.6374136092738605e-08,0.19923874992587898,True,4
pendcart,IC3_opposite_angle,GWO,5,0.2446292508446199,0.2446295276249907,2.3866095227843806e-06,0.24462833486936347,True,4
pendcart,IC3_opposite_angle,PSO,5,0.24462919624508356,0.24462900151993702,1.444389984588302e-06,0.24462833486936347,True,3
pendcart,IC3_opposite_angle,SGO,5,0.24462645332125654,0.2446256272083886,1.096304096972353e-05,0.24462833486936347,True,1
pendcart,IC3_opposite_angle,WOA,5,0.24462833859628055,0.244628304334187,8.482216906972726e-08,0.24462833486936347,True,2
pendcart,IC4_with_velocity,GWO,5,0.1972632169823906,0.19726253435222377,2.727016553340947e-06,0.19726496235904012,True,2
pendcart,IC4_with_velocity,PSO,5,0.19726498117532848,0.19726495227439186,2.740791431212562e-06,0.19726496235904012,True,4
pendcart,IC4_with_velocity,SGO,5,0.1972407418053803,0.19724238033309505,1.7553422668242927e-05,0.19726496235904012,True,1
pendcart,IC4_with_velocity,WOA,5,0.19726494721435328,0.19726497580633284,6.960871313382484e-08,0.19726496235904012,True,3
pendcart,IC5_near_reference,GWO,5,0.26422076310431064,0.2642211383647073,9.236026613179686e-07,0.26422071066851766,True,4
pendcart,IC5_near_reference,PSO,5,0.2642168956206142,0.2642145117745235,4.993567729274443e-06,0.26422071066851766,True,2
pendcart,IC5_near_reference,SGO,5,0.2642115908402628,0.2642144250889851,1.1968173356545032e-05,0.26422071066851766,True,1
pendcart,IC5_near_reference,WOA,5,0.26422072330301516,0.26422069281830574,6.220994121607952e-08,0.26422071066851766,True,3
uav,IC1_submitted,GWO,5,0.0008693501448379728,0.0008688962144785336,1.583812583924187e-06,0.0008692986026327382,True,1
uav,IC1_submitted,PSO,5,0.0025667628464211903,0.002314727625131027,0.0018074355570125986,0.0008692986026327382,True,4
uav,IC1_submitted,SGO,5,0.000968299615251491,0.0009655524840532963,6.609220919458374e-05,0.0008692986026327382,True,2
uav,IC1_submitted,WOA,5,0.001122105586375327,0.001062995542916588,0.00027011365815108695,0.0008692986026327382,True,3
uav,IC2_offset_xy,GWO,5,0.01082806971724094,0.01082576147541228,1.2365996334146985e-05,0.01081766982445975,True,1
uav,IC2_offset_xy,PSO,5,0.010886272534846107,0.010816095172966887,0.00014225522668315338,0.01081766982445975,True,2
uav,IC2_offset_xy,SGO,5,0.01093111290614189,0.010888975688567143,6.451148866645304e-05,0.01081766982445975,True,3
uav,IC2_offset_xy,WOA,5,0.011114896645376179,0.011227609079306393,0.00019047832431642666,0.01081766982445975,True,4
