system,alg,regime,seed,trial,ic,NP,fe_budget,maxIter_derived,realized_nfe_total,realized_nfe_per_step_mean,realized_nfe_per_step_min,realized_nfe_per_step_max,nfe_exactly_on_budget,nrmse,deterministic_reference_nrmse,nrmse_minus_reference,mean_first_input_error_vs_reference,time_ms_mean,time_ms_median,time_ms_p95,time_ms_max,dt_s,p95_time_over_dt,max_time_over_dt,Nsim,P,Nc,Q_scale,termination
uav,GWO,A_tuned_NP,13001000,0,eval,30,1000,39,500000.0,1000.0,1000.0,1000.0,True,0.0008677863882173483,0.0008692986026327382,-1.5122144153899113e-06,0.0002245437571424559,19.813722523045726,19.79049750661943,20.151250557682943,21.17926999926567,0.1,0.20151250557682943,0.2117926999926567,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,GWO,A_tuned_NP,13001001,1,eval,30,1000,39,500000.0,1000.0,1000.0,1000.0,True,0.0008700608067590205,0.0008692986026327382,7.622041262822466e-07,0.00017505977089576067,19.913466081838124,19.87181499134749,20.259056355280336,26.600176002830267,0.1,0.20259056355280336,0.26600176002830267,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,GWO,A_tuned_NP,13001002,2,eval,30,1000,39,500000.0,1000.0,1000.0,1000.0,True,0.0008697998312688767,0.0008692986026327382,5.012286361385327e-07,0.00012518537642817828,19.825889216037467,19.810308498563245,20.168390845356043,20.865319995209575,0.1,0.20168390845356043,0.20865319995209575,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,GWO,A_tuned_NP,13001003,3,eval,30,1000,39,500000.0,1000.0,1000.0,1000.0,True,0.0008679617596217695,0.0008692986026327382,-1.3368430109687596e-06,0.00010151943526463917,19.785846778482664,19.78323950606864,20.08399034239119,20.564625010592863,0.1,0.2008399034239119,0.20564625010592863,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,GWO,A_tuned_NP,13001004,4,eval,30,1000,39,500000.0,1000.0,1000.0,1000.0,True,0.0008699976432429477,0.0008692986026327382,6.990406102094782e-07,0.0001338325012108739,19.82946803170489,19.80045100208372,20.1658189369482,20.80374298384413,0.1,0.201658189369482,0.2080374298384413,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,GWO,A_tuned_NP,13001005,5,eval,30,1000,39,500000.0,1000.0,1000.0,1000.0,True,0.000868878709001462,0.0008692986026327382,-4.1989363127616607e-07,0.00030868366269903294,19.760367978713475,19.744322984479368,20.09812348842388,20.36175798275508,0.1,0.2009812348842388,0.2036175798275508,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,GWO,A_tuned_NP,13001006,6,eval,30,1000,39,500000.0,1000.0,1000.0,1000.0,True,0.0008697238759568723,0.0008692986026327382,4.252733241341287e-07,0.0003376114320875231,19.742601988022216,19.708256499143317,20.11364360078005,20.895634981570765,0.1,0.2011364360078005,0.20895634981570765,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,GWO,A_tuned_NP,13001007,7,eval,30,1000,39,500000.0,1000.0,1000.0,1000.0,True,0.0008686180701423055,0.0008692986026327382,-6.805324904326886e-07,0.00017744878061189562,19.788168270431925,19.7637785167899,20.115983209689148,22.465831018052995,0.1,0.20115983209689148,0.22465831018052995,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,GWO,A_tuned_NP,13001008,8,eval,30,1000,39,500000.0,1000.0,1000.0,1000.0,True,0.00086896416051683,0.0008692986026327382,-3.3444211590817445e-07,0.00013986441219942164,19.789572094683535,19.762846495723352,20.128388599550817,20.476176985539496,0.1,0.20128388599550817,0.20476176985539496,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,GWO,A_tuned_NP,13001009,9,eval,30,1000,39,500000.0,1000.0,1000.0,1000.0,True,0.0008696266197588204,0.0008692986026327382,3.2801712608219666e-07,0.0001406673510894444,19.711686927301344,19.685811988892965,20.087159707327373,26.123557006940246,0.1,0.20087159707327373,0.26123557006940246,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
