system,ic,alg,trial,seed,NP,nrmse,deterministic_reference_nrmse,realized_nfe_mean,fe_exact,time_ms_mean
pendcart,IC5_near_reference,WOA,4,12043004,8,0.2642208299545075,0.26422071066851766,1000.0,True,33.35597105246658
cstr,IC1_submitted,SGO,0,13000000,30,0.2939095467370599,0.2941525546770811,1000.0,True,12.72842042031698
cstr,IC1_submitted,SGO,1,13000001,30,0.2941193359686816,0.2941525546770811,1000.0,True,12.71202509640716
cstr,IC1_submitted,SGO,2,13000002,30,0.294003700533162,0.2941525546770811,1000.0,True,12.527503519668244
cstr,IC1_submitted,SGO,3,13000003,30,0.2939778745098768,0.2941525546770811,1000.0,True,12.447652156697586
cstr,IC1_submitted,SGO,4,13000004,30,0.29424577054283885,0.2941525546770811,1000.0,True,12.500617909245193
cstr,IC1_submitted,GWO,0,13001000,20,0.2941485395357252,0.2941525546770811,1000.0,True,14.571633047307841
cstr,IC1_submitted,GWO,1,13001001,20,0.29416352766007065,0.2941525546770811,1000.0,True,14.64635532174725
cstr,IC1_submitted,GWO,2,13001002,20,0.2941512791628973,0.2941525546770811,1000.0,True,14.65179514954798
cstr,IC1_submitted,GWO,3,13001003,20,0.2941525018057429,0.2941525546770811,1000.0,True,14.691204064292833
cstr,IC1_submitted,GWO,4,13001004,20,0.29416112719880877,0.2941525546770811,1000.0,True,14.53772333508823
cstr,IC1_submitted,PSO,0,13002000,8,0.2941524678575137,0.2941525546770811,1000.0,True,4.816946921637282
cstr,IC1_submitted,PSO,1,13002001,8,0.2941525561883106,0.2941525546770811,1000.0,True,4.770019458956085
cstr,IC1_submitted,PSO,2,13002002,8,0.29415255488319225,0.2941525546770811,1000.0,True,4.82934768719133
cstr,IC1_submitted,PSO,3,13002003,8,0.2941524695593342,0.2941525546770811,1000.0,True,4.806759998900816
cstr,IC1_submitted,PSO,4,13002004,8,0.29415246856853117,0.2941525546770811,1000.0,True,4.840977189596742
cstr,IC1_submitted,WOA,0,13003000,10,0.2941594619489694,0.2941525546770811,1000.0,True,8.524225821020082
cstr,IC1_submitted,WOA,1,13003001,10,0.2941521279285959,0.2941525546770811,1000.0,True,8.512566632125527
cstr,IC1_submitted,WOA,2,13003002,10,0.2963964945105562,0.2941525546770811,1000.0,True,8.522565830498934
cstr,IC1_submitted,WOA,3,13003003,10,0.2941548940022904,0.2941525546770811,1000.0,True,8.53372725599911
cstr,IC1_submitted,WOA,4,13003004,10,0.29415285487288656,0.2941525546770811,1000.0,True,8.53803384816274
cstr,IC2_larger_deviation,SGO,0,13010000,30,0.7285194470417018,0.7288229751429192,1000.0,True,13.157627591281198
cstr,IC2_larger_deviation,SGO,1,13010001,30,0.7288209707589235,0.7288229751429192,1000.0,True,13.094486320624128
cstr,IC2_larger_deviation,SGO,2,13010002,30,0.7287902121586356,0.7288229751429192,1000.0,True,13.050905683776364
cstr,IC2_larger_deviation,SGO,3,13010003,30,0.7287519167282949,0.7288229751429192,1000.0,True,12.992559452541173
cstr,IC2_larger_deviation,SGO,4,13010004,30,0.7358683238325687,0.7288229751429192,1000.0,True,12.98976206977386
cstr,IC2_larger_deviation,GWO,0,13011000,20,0.7288216811924692,0.7288229751429192,1000.0,True,14.662333170417696
cstr,IC2_larger_deviation,GWO,1,13011001,20,0.7288208222187724,0.7288229751429192,1000.0,True,14.599832150852308
cstr,IC2_larger_deviation,GWO,2,13011002,20,0.728823527160479,0.7288229751429192,1000.0,True,14.687077059061266
cstr,IC2_larger_deviation,GWO,3,13011003,20,0.7288225905256771,0.7288229751429192,1000.0,True,14.61567935300991
cstr,IC2_larger_deviation,GWO,4,13011004,20,0.728822122265087,0.7288229751429192,1000.0,True,14.655076749622822
cstr,IC2_larger_deviation,PSO,0,13012000,8,0.7288229752786524,0.7288229751429192,1000.0,True,4.7802977508399636
cstr,IC2_larger_deviation,PSO,1,13012001,8,0.728822975296596,0.7288229751429192,1000.0,True,4.789219468948431
cstr,IC2_larger_deviation,PSO,2,13012002,8,0.7288229704967358,0.7288229751429192,1000.0,True,4.813981660408899
cstr,IC2_larger_deviation,PSO,3,13012003,8,0.7288229754115372,0.7288229751429192,1000.0,True,4.789707139716484
cstr,IC2_larger_deviation,PSO,4,13012004,8,0.7288229748818235,0.7288229751429192,1000.0,True,4.876006871345453
cstr,IC2_larger_deviation,WOA,0,13013000,10,0.7295709057096422,0.7288229751429192,1000.0,True,8.497478028875776
cstr,IC2_larger_deviation,WOA,1,13013001,10,0.7288230809789857,0.7288229751429192,1000.0,True,8.52943851146847
cstr,IC2_larger_deviation,WOA,2,13013002,10,0.7288232452765424,0.7288229751429192,1000.0,True,8.55687065050006
cstr,IC2_larger_deviation,WOA,3,13013003,10,0.7288230072729497,0.7288229751429192,1000.0,True,8.583364229998551
cstr,IC2_larger_deviation,WOA,4,13013004,10,0.7288231057711181,0.7288229751429192,1000.0,True,8.52532084158156
cstr,IC3_concentration_only,SGO,0,13020000,30,1.0056098730053036,1.0052659766658212,1000.0,True,13.011146607459523
cstr,IC3_concentration_only,SGO,1,13020001,30,1.005324100803986,1.0052659766658212,1000.0,True,12.871688963496126
cstr,IC3_concentration_only,SGO,2,13020002,30,1.0051271567393476,1.0052659766658212,1000.0,True,12.924278506543487
cstr,IC3_concentration_only,SGO,3,13020003,30,1.005206745916555,1.0052659766658212,1000.0,True,12.596169500029646
cstr,IC3_concentration_only,SGO,4,13020004,30,1.0091031520050224,1.0052659766658212,1000.0,True,12.726304218522273
cstr,IC3_concentration_only,GWO,0,13021000,20,1.0052813830781056,1.0052659766658212,1000.0,True,14.764450879301876
cstr,IC3_concentration_only,GWO,1,13021001,20,1.005279986999933,1.0052659766658212,1000.0,True,14.562409351929091
cstr,IC3_concentration_only,GWO,2,13021002,20,1.0052714730240562,1.0052659766658212,1000.0,True,14.709865972981788
cstr,IC3_concentration_only,GWO,3,13021003,20,1.0052554597333982,1.0052659766658212,1000.0,True,14.740528149995953
cstr,IC3_concentration_only,GWO,4,13021004,20,1.0052596752449645,1.0052659766658212,1000.0,True,14.699723680387251
cstr,IC3_concentration_only,PSO,0,13022000,8,1.0052666014028455,1.0052659766658212,1000.0,True,4.8475255514495075
cstr,IC3_concentration_only,PSO,1,13022001,8,1.0048463186993963,1.0052659766658212,1000.0,True,4.852165633928962
cstr,IC3_concentration_only,PSO,2,13022002,8,1.004846960037232,1.0052659766658212,1000.0,True,4.83200560149271
cstr,IC3_concentration_only,PSO,3,13022003,8,1.0048463191090111,1.0052659766658212,1000.0,True,4.8395249783061445
cstr,IC3_concentration_only,PSO,4,13022004,8,1.0048469601308645,1.0052659766658212,1000.0,True,4.777995377662592
cstr,IC3_concentration_only,WOA,0,13023000,10,1.0048848020206593,1.0052659766658212,1000.0,True,8.533777820994146
cstr,IC3_concentration_only,WOA,1,13023001,10,1.0048853686996466,1.0052659766658212,1000.0,True,8.515917857876047
cstr,IC3_concentration_only,WOA,2,13023002,10,1.0048848389493623,1.0052659766658212,1000.0,True,8.542948848917149
cstr,IC3_concentration_only,WOA,3,13023003,10,1.0048850286628872,1.0052659766658212,1000.0,True,8.53036773391068
cstr,IC3_concentration_only,WOA,4,13023004,10,1.0062507585811165,1.0052659766658212,1000.0,True,8.500722496537492
cstr,IC4_temperature_only,SGO,0,13030000,30,0.12244724029797374,0.12242190435811635,1000.0,True,12.979624070576392
cstr,IC4_temperature_only,SGO,1,13030001,30,0.12240931911328073,0.12242190435811635,1000.0,True,13.157181251444854
cstr,IC4_temperature_only,SGO,2,13030002,30,0.12242036785242197,0.12242190435811635,1000.0,True,13.16980026429519
cstr,IC4_temperature_only,SGO,3,13030003,30,0.12244553345749826,0.12242190435811635,1000.0,True,13.011025509913452
cstr,IC4_temperature_only,SGO,4,13030004,30,0.12252458618591298,0.12242190435811635,1000.0,True,12.874053665436804
cstr,IC4_temperature_only,GWO,0,13031000,20,0.12242268901807045,0.12242190435811635,1000.0,True,14.567390996962786
cstr,IC4_temperature_only,GWO,1,13031001,20,0.1224217251371932,0.12242190435811635,1000.0,True,14.6315635292558
cstr,IC4_temperature_only,GWO,2,13031002,20,0.1224225299229581,0.12242190435811635,1000.0,True,14.774185970891267
cstr,IC4_temperature_only,GWO,3,13031003,20,0.12242235816382566,0.12242190435811635,1000.0,True,14.69301056698896
cstr,IC4_temperature_only,GWO,4,13031004,20,0.12242157697365677,0.12242190435811635,1000.0,True,14.990938558476046
cstr,IC4_temperature_only,PSO,0,13032000,8,0.12242190275824513,0.12242190435811635,1000.0,True,5.09623488294892
cstr,IC4_temperature_only,PSO,1,13032001,8,0.1224235981949981,0.12242190435811635,1000.0,True,4.829704779549502
cstr,IC4_temperature_only,PSO,2,13032002,8,0.12242190639876155,0.12242190435811635,1000.0,True,4.794701589853503
cstr,IC4_temperature_only,PSO,3,13032003,8,0.12242190348702432,0.12242190435811635,1000.0,True,4.890825088950805
cstr,IC4_temperature_only,PSO,4,13032004,8,0.12242190438088617,0.12242190435811635,1000.0,True,4.759207860915922
cstr,IC4_temperature_only,WOA,0,13033000,10,0.12242313630797358,0.12242190435811635,1000.0,True,8.450452038669027
cstr,IC4_temperature_only,WOA,1,13033001,10,0.12242226005455263,0.12242190435811635,1000.0,True,8.440707823028788
cstr,IC4_temperature_only,WOA,2,13033002,10,0.12242419411304165,0.12242190435811635,1000.0,True,8.590606990037486
cstr,IC4_temperature_only,WOA,3,13033003,10,0.1224298464942864,0.12242190435811635,1000.0,True,8.532625517109409
cstr,IC4_temperature_only,WOA,4,13033004,10,0.12242426828731719,0.12242190435811635,1000.0,True,8.472412070841528
cstr,IC5_small_deviation,SGO,0,13040000,30,0.07090715155504468,0.07115553120106793,1000.0,True,12.912427598494105
cstr,IC5_small_deviation,SGO,1,13040001,30,0.07098448546845147,0.07115553120106793,1000.0,True,12.929506778600626
cstr,IC5_small_deviation,SGO,2,13040002,30,0.07139907971983664,0.07115553120106793,1000.0,True,13.0204661807511
cstr,IC5_small_deviation,SGO,3,13040003,30,0.0709809462762969,0.07115553120106793,1000.0,True,12.891385494731367
cstr,IC5_small_deviation,SGO,4,13040004,30,0.07194182244013915,0.07115553120106793,1000.0,True,12.873510000063106
cstr,IC5_small_deviation,GWO,0,13041000,20,0.0711256379659,0.07115553120106793,1000.0,True,14.705225579673424
cstr,IC5_small_deviation,GWO,1,13041001,20,0.07115540048180226,0.07115553120106793,1000.0,True,14.745630646357313
cstr,IC5_small_deviation,GWO,2,13041002,20,0.07332042732290665,0.07115553120106793,1000.0,True,14.647179242456332
cstr,IC5_small_deviation,GWO,3,13041003,20,0.07115348530959946,0.07115553120106793,1000.0,True,14.678877066471614
cstr,IC5_small_deviation,GWO,4,13041004,20,0.0711459006289519,0.07115553120106793,1000.0,True,14.89125655964017
cstr,IC5_small_deviation,PSO,0,13042000,8,0.07119638611312512,0.07115553120106793,1000.0,True,5.006419921992347
cstr,IC5_small_deviation,PSO,1,13042001,8,0.07115553402066807,0.07115553120106793,1000.0,True,4.815431170281954
cstr,IC5_small_deviation,PSO,2,13042002,8,0.07115553100815684,0.07115553120106793,1000.0,True,4.83042596722953
cstr,IC5_small_deviation,PSO,3,13042003,8,0.07115552942157097,0.07115553120106793,1000.0,True,4.852977559785359
cstr,IC5_small_deviation,PSO,4,13042004,8,0.07115951339914922,0.07115553120106793,1000.0,True,4.876301778131165
cstr,IC5_small_deviation,WOA,0,13043000,10,0.07115770888902004,0.07115553120106793,1000.0,True,8.57273218978662
cstr,IC5_small_deviation,WOA,1,13043001,10,0.0723339500114535,0.07115553120106793,1000.0,True,8.577381882350892
cstr,IC5_small_deviation,WOA,2,13043002,10,0.07115729853414053,0.07115553120106793,1000.0,True,8.59189988754224
cstr,IC5_small_deviation,WOA,3,13043003,10,0.07345547976329778,0.07115553120106793,1000.0,True,8.514550919062458
cstr,IC5_small_deviation,WOA,4,13043004,10,0.07326000051081577,0.07115553120106793,1000.0,True,8.549898843630217
flight,IC1_submitted,SGO,0,14000000,8,0.0181497663325524,0.018195653502689445,1000.0,True,14.775268312854072
flight,IC1_submitted,SGO,1,14000001,8,0.018080886181264088,0.018195653502689445,1000.0,True,14.878367769997567
flight,IC1_submitted,SGO,2,14000002,8,0.018194950001083784,0.018195653502689445,1000.0,True,14.772437525292238
flight,IC1_submitted,SGO,3,14000003,8,0.018149332875528786,0.018195653502689445,1000.0,True,14.7892897874893
flight,IC1_submitted,SGO,4,14000004,8,0.018217757501206317,0.018195653502689445,1000.0,True,14.588203976939743
flight,IC1_submitted,GWO,0,14001000,30,0.018195571096941303,0.018195653502689445,1000.0,True,14.410191934245328
flight,IC1_submitted,GWO,1,14001001,30,0.01817487793108196,0.018195653502689445,1000.0,True,14.360760120131696
flight,IC1_submitted,GWO,2,14001002,30,0.01819500512489973,0.018195653502689445,1000.0,True,14.40071033546701
flight,IC1_submitted,GWO,3,14001003,30,0.01818634839154099,0.018195653502689445,1000.0,True,14.35118883731775
flight,IC1_submitted,GWO,4,14001004,30,0.0181928248407549,0.018195653502689445,1000.0,True,14.181042624792704
flight,IC1_submitted,PSO,0,14002000,30,0.01819373112653456,0.018195653502689445,1000.0,True,3.755934994745379
flight,IC1_submitted,PSO,1,14002001,30,0.018179695786936536,0.018195653502689445,1000.0,True,3.7760806277704737
flight,IC1_submitted,PSO,2,14002002,30,0.018202205877050202,0.018195653502689445,1000.0,True,3.7755862526440374
flight,IC1_submitted,PSO,3,14002003,30,0.018190388734965035,0.018195653502689445,1000.0,True,3.7771300587337464
flight,IC1_submitted,PSO,4,14002004,30,0.018192827933970146,0.018195653502689445,1000.0,True,3.7897980345102646
flight,IC1_submitted,WOA,0,14003000,10,0.018191934033056998,0.018195653502689445,1000.0,True,8.349097490233058
flight,IC1_submitted,WOA,1,14003001,10,0.01818429004992951,0.018195653502689445,1000.0,True,8.339176666922867
flight,IC1_submitted,WOA,2,14003002,10,0.018194944895367327,0.018195653502689445,1000.0,True,8.433096441052234
flight,IC1_submitted,WOA,3,14003003,10,0.01819730822520517,0.018195653502689445,1000.0,True,8.337671615493795
flight,IC1_submitted,WOA,4,14003004,10,0.01819532869969438,0.018195653502689445,1000.0,True,8.317289918971559
flight,IC2_larger_alpha,SGO,0,14010000,8,0.059433197761712825,0.06479822579713684,1000.0,True,14.603071041249981
flight,IC2_larger_alpha,SGO,1,14010001,8,0.06494431365869627,0.06479822579713684,1000.0,True,14.581081666207561
flight,IC2_larger_alpha,SGO,2,14010002,8,0.06474005937611492,0.06479822579713684,1000.0,True,14.698579085525125
flight,IC2_larger_alpha,SGO,3,14010003,8,0.06828020605610369,0.06479822579713684,1000.0,True,14.619570929401865
flight,IC2_larger_alpha,SGO,4,14010004,8,0.06478950280751612,0.06479822579713684,1000.0,True,14.630122979870066
flight,IC2_larger_alpha,GWO,0,14011000,30,0.06479713406519169,0.06479822579713684,1000.0,True,14.307388466938088
flight,IC2_larger_alpha,GWO,1,14011001,30,0.06479596448995632,0.06479822579713684,1000.0,True,14.167278374079615
flight,IC2_larger_alpha,GWO,2,14011002,30,0.06479692300762414,0.06479822579713684,1000.0,True,14.249005757737905
flight,IC2_larger_alpha,GWO,3,14011003,30,0.06479702703338398,0.06479822579713684,1000.0,True,14.217833167640492
flight,IC2_larger_alpha,GWO,4,14011004,30,0.06479704506079845,0.06479822579713684,1000.0,True,14.210300823906437
flight,IC2_larger_alpha,PSO,0,14012000,30,0.06479240009923454,0.06479822579713684,1000.0,True,3.731898501282558
flight,IC2_larger_alpha,PSO,1,14012001,30,0.06479138600558318,0.06479822579713684,1000.0,True,3.747628500374655
flight,IC2_larger_alpha,PSO,2,14012002,30,0.0647864716789166,0.06479822579713684,1000.0,True,3.7242701125796884
