system,k,stratum,alg,budget_fe,n,median_gap,q1,q3,conv_rate,first_ctrl_err_median,time_ms_median,fe_exact
flight,6,High,PSO,250,30,0.0025290110975575994,0.0010902279674273926,0.006934244211033305,0.03333333333333333,0.3656361928552124,0.9722829854581505,True
flight,6,High,PSO,500,30,0.0005249458315728466,0.00023793372415353866,0.0010099965715654011,0.13333333333333333,0.14154029851961525,1.8395195074845105,True
flight,6,High,PSO,1000,30,9.348997874235732e-06,3.1972525466444314e-06,2.740989773693798e-05,1.0,0.016518763403538587,3.616813017288223,True
flight,6,High,PSO,2000,30,9.078189507489531e-09,1.7362881836726304e-09,2.6421979887314787e-08,1.0,0.000743705881417381,7.07477200194262,True
flight,6,High,PSO,5000,30,2.430247448928667e-16,1.6201649659524446e-16,9.315948554226556e-16,1.0,1.048508672665215e-07,17.55713249440305,True
flight,6,High,SGO,250,30,0.00681831716611817,0.002572478208796387,0.02480770860819211,0.0,0.5681779273107329,3.2777489977888763,True
flight,6,High,SGO,500,30,0.0017640714062668495,0.0003221191135997899,0.01189034239295704,0.06666666666666667,0.237650816999104,6.714747491059825,True
flight,6,High,SGO,1000,30,0.0014388065926930725,0.00027498036277898727,0.011216028788126959,0.06666666666666667,0.1621698371334454,13.251584488898516,True
flight,6,High,SGO,2000,30,0.00143677769199454,0.00024765617202574685,0.011216007310535044,0.06666666666666667,0.16406365909599133,26.595412491587922,True
flight,6,High,SGO,5000,30,0.0014352944960156467,0.000247489277373686,0.011213883375407081,0.06666666666666667,0.17031450740117626,66.56137554091401,True
flight,6,High,WOA,250,30,8.689862193094071e-05,2.6358199345103732e-05,0.00013890876691522296,0.5333333333333333,0.041320857693893334,1.9771854858845472,True
flight,6,High,WOA,500,30,1.3639543732328025e-05,5.09055659398253e-06,6.608150335363001e-05,0.8,0.016573189824038152,3.99491551797837,True
flight,6,High,WOA,1000,30,6.1797097994678705e-06,1.0953390795739255e-06,6.833457259317025e-05,0.8666666666666667,0.0111632895192771,7.842793973395601,True
flight,6,High,WOA,2000,30,8.204313895767187e-07,1.8573314264170586e-07,3.864881730564806e-06,0.9666666666666667,0.004063567080389463,15.677393006626517,True
