system,regime,alg,runs,NP,nrmse_mean,nrmse_std,nrmse_median,nrmse_min,nrmse_max,reference_nrmse,nfe_per_step_mean,nfe_exact,time_ms_mean,time_ms_median,time_ms_p95,time_ms_max,dt_s,p95_over_dt,max_over_dt,first_input_err,rank_in_system_regime
flight,B_common_NP,PSO,20,20,0.018229814155765404,8.181981544646786e-05,0.01819709469447011,0.018193197469066818,0.018421844587868705,0.018195653502689445,1000.0,True,3.4914588423174187,3.4870140480052214,3.553906749075395,7.590383000206202,0.1,0.03553906749075395,0.07590383000206202,0.00954480200801105,4
flight,B_common_NP,SGO,20,20,0.018184394671842644,2.3689903760894375e-05,0.01818095108795996,0.018136848769154473,0.018235247688366492,0.018195653502689445,1000.0,True,11.544811382734526,11.531815048510907,11.829784713336267,14.416560996323824,0.1,0.11829784713336267,0.14416560996323824,0.011338049840875195,1
flight,B_common_NP,WOA,20,20,0.018194999351978332,4.42305895317304e-06,0.018195742810321422,0.018186555235444636,0.01820393556003509,0.018195653502689445,1000.0,True,7.335567341399535,7.332682974811178,7.483490577869816,13.64637998631224,0.1,0.07483490577869815,0.1364637998631224,0.0024092826332484793,2
hvac,A_tuned_NP,GWO,20,30,0.020759267450351997,1.6727629259293762e-06,0.020758636766492415,0.020755938142654407,0.020761722494958817,0.020766893738445827,1000.0,True,16.118015898753463,16.10046012865496,16.441401150805177,34.18686499935575,0.1,0.16441401150805177,0.3418686499935575,0.07483097511016262,3
hvac,A_tuned_NP,PSO,20,8,0.02075368039282042,7.799451924296497e-06,0.020754672870491125,0.020738363623378758,0.02076492406939789,0.020766893738445827,1000.0,True,4.271829861551911,4.26997682734509,4.369397950431448,10.145887004910037,0.1,0.04369397950431449,0.10145887004910037,0.0440268740975895,2
hvac,A_tuned_NP,SGO,20,30,0.020752250076395015,1.8882182499351701e-06,0.02075229222093808,0.020748400622451448,0.02075616783201754,0.020766893738445827,1000.0,True,11.248656305440818,11.239106950961286,11.553238277556375,19.798138004262,0.1,0.11553238277556374,0.19798138004262,0.1320004133524894,1
hvac,A_tuned_NP,WOA,20,30,0.020766876159184,4.3319862241358666e-08,0.02076687679300697,0.02076679354391965,0.02076693651982535,0.020766893738445827,1000.0,True,7.33335233021644,7.331216350576142,7.500760900438763,12.896439991891384,0.1,0.07500760900438763,0.12896439991891384,0.020106182519754705,4
hvac,B_common_NP,GWO,20,20,0.020761559202038753,1.5855983757629406e-06,0.020761431594885037,0.02075880354362836,0.020764353534697855,0.020766893738445827,1000.0,True,16.21501225058552,16.199573800258804,16.560059853363782,24.592592992121354,0.1,0.16560059853363782,0.24592592992121354,0.060210660448078546,2
hvac,B_common_NP,PSO,20,20,0.0207619809927492,2.905457348893486e-06,0.02076296526673748,0.020753929202711813,0.020765564710076612,0.020766893738445827,1000.0,True,3.5193506195015893,3.517692973400699,3.596806740242755,11.768274009227753,0.1,0.03596806740242755,0.11768274009227753,0.03548942710416403,3
hvac,B_common_NP,SGO,20,20,0.020760057653516448,1.2853206555666359e-06,0.020760348661556703,0.02075735380981022,0.020762672375085087,0.020766893738445827,1000.0,True,11.54128289804988,11.527244872559095,11.887624531882466,17.32380999601446,0.1,0.11887624531882465,0.1732380999601446,0.08025105973720933,1
