system,Nc,source,k,max_cart_over_box,min_cart_over_box,worst_abs_cart_over_box,limit,penalty_can_activate,margin
pendcart,1,SGO,22,2.963216455748663,0.07009957968530897,2.963216455748663,10.0,False,7.036783544251337
pendcart,1,SGO,23,2.955490319538311,0.10599478373118702,2.955490319538311,10.0,False,7.0445096804616885
pendcart,1,SGO,24,2.9433478721882036,0.13756927855658568,2.9433478721882036,10.0,False,7.056652127811796
pendcart,1,SGO,25,2.9273014294992215,0.16507068903694563,2.9273014294992215,10.0,False,7.072698570500778
pendcart,1,SGO,26,2.9087985447023836,0.18885713680870495,2.9087985447023836,10.0,False,7.091201455297616
pendcart,1,SGO,27,2.8924441236414835,0.20947121476172972,2.8924441236414835,10.0,False,7.107555876358516
pendcart,1,SGO,28,2.877585330857616,0.22729440435060633,2.877585330857616,10.0,False,7.122414669142384
pendcart,1,SGO,29,2.863814709134721,0.24280398828202931,2.863814709134721,10.0,False,7.13618529086528
pendcart,1,SGO,30,2.852232139818248,0.2564914939421594,2.852232139818248,10.0,False,7.147767860181752
pendcart,1,SGO,31,2.843113859821928,0.268776494314689,2.843113859821928,10.0,False,7.156886140178072
pendcart,1,SGO,32,2.836711351142894,0.2800381842588976,2.836711351142894,10.0,False,7.163288648857106
pendcart,1,SGO,33,2.8331576511711734,0.2906065747171033,2.8331576511711734,10.0,False,7.166842348828826
pendcart,1,SGO,34,2.8323824040780394,0.3007497980679861,2.8323824040780394,10.0,False,7.167617595921961
pendcart,1,SGO,35,2.8342383153194812,0.3106799478678502,2.8342383153194812,10.0,False,7.165761684680518
pendcart,1,SGO,36,2.838461118457941,0.3205503424294637,2.838461118457941,10.0,False,7.161538881542059
pendcart,1,SGO,37,2.8446042117263537,0.3304480937686916,2.8446042117263537,10.0,False,7.155395788273646
pendcart,1,SGO,38,2.8523140120745483,0.34041938547320677,2.8523140120745483,10.0,False,7.147685987925452
pendcart,1,SGO,39,2.8609841521491526,0.3504460200845584,2.8609841521491526,10.0,False,7.139015847850848
pendcart,1,SGO,40,2.870226946174203,0.36048669575307235,2.870226946174203,10.0,False,7.129773053825797
pendcart,1,SGO,41,2.8795756609772374,0.3704658812377776,2.8795756609772374,10.0,False,7.120424339022763
pendcart,1,SGO,42,2.8886007071298927,0.3802865261156609,2.8886007071298927,10.0,False,7.111399292870107
pendcart,1,SGO,43,2.8969379149077996,0.38984015040209175,2.8969379149077996,10.0,False,7.1030620850922
pendcart,1,SGO,44,2.904288952447683,0.3990146581470999,2.904288952447683,10.0,False,7.095711047552317
pendcart,1,SGO,45,2.910389635042815,0.40769761123254233,2.910389635042815,10.0,False,7.089610364957185
pendcart,1,SGO,46,2.915062190878366,0.41578542514939426,2.915062190878366,10.0,False,7.084937809121634
pendcart,1,SGO,47,2.9182982513072258,0.42319821267495306,2.9182982513072258,10.0,False,7.081701748692774
pendcart,1,SGO,48,2.920135043961105,0.42987670036068776,2.920135043961105,10.0,False,7.079864956038895
pendcart,1,SGO,49,2.9203645867331556,0.4357525064065127,2.9203645867331556,10.0,False,7.079635413266844
pendcart,1,SGO,50,2.9193811897895787,0.4408213195878011,2.9193811897895787,10.0,False,7.080618810210421
pendcart,1,SGO,51,2.917130591673366,0.4450669637948315,2.917130591673366,10.0,False,7.0828694083266335
pendcart,1,SGO,52,2.9140128063650246,0.4485258451228822,2.9140128063650246,10.0,False,7.085987193634976
pendcart,1,SGO,53,2.9100893087430157,0.451228701390216,2.9100893087430157,10.0,False,7.089910691256984
pendcart,1,SGO,54,2.905611830736455,0.45323221206518444,2.905611830736455,10.0,False,7.094388169263545
pendcart,1,SGO,55,2.9007667453296486,0.45460155778863903,2.9007667453296486,10.0,False,7.099233254670351
pendcart,1,SGO,56,2.8958031264862107,0.45541737403220034,2.8958031264862107,10.0,False,7.104196873513789
pendcart,1,SGO,57,2.8908609823332405,0.45575929569872053,2.8908609823332405,10.0,False,7.1091390176667595
