system,alg,start,stratum,n,instances,start_gap_median,final_gap_median,final_gap_q1,final_gap_q3,final_gap_median_lo,final_gap_median_hi,conv_rate,conv_rate_lo,conv_rate_hi,trivial_start_rate,incumbent_return_rate,improvement_median,first_ctrl_err_median,time_ms_median
cstr,WOA,cold,High,180,9,1.0,6.781896069743113e-10,1.6259772677564453e-11,0.6824328185716647,1.599141331307106e-10,9.404508867140665e-05,0.5722222222222222,0.5,0.6444444444444445,0.0,0.0,0.9999999992957231,2.0147586851093635e-06,8.446777996141464
cstr,WOA,cold,Severe,40,2,1.0,3.7629891952737934e-13,0.0,0.011361601605713425,0.0,8.529664419196201e-10,0.725,0.575,0.85,0.0,0.0,0.9999999999996236,2.45961055966859e-07,8.406025503063574
cstr,WOA,optimizer_warm,Benign,520,26,1.3367970494394914e-11,1.2951766761612472e-11,1.2330301350408448e-11,1.3072959567099968e-11,1.2916448678279442e-11,1.2975408614617765e-11,0.9673076923076923,0.9519230769230769,0.9826923076923076,0.9038461538461539,0.0,0.0378300825214179,1.4740612926290215e-05,8.40457399317529
cstr,WOA,optimizer_warm,Moderate,80,4,0.00858543413936025,5.98562310827333e-11,2.612521310396687e-12,6.166162279495965e-05,1.1357470519612887e-11,2.03004557608466e-10,0.75,0.65,0.8375,0.0,0.0,0.9999999895532171,3.5413290275232434e-07,8.38052001199685
cstr,WOA,optimizer_warm,High,180,9,0.02423688440226105,2.5181226550644803e-11,4.190642306916278e-12,2.445143377886107e-10,1.5624706995240306e-11,4.089757783694472e-11,0.9222222222222223,0.8777777777777778,0.955694444444445,0.0,0.0,0.9999999993112364,4.1030325347718444e-07,8.405023996601813
cstr,WOA,optimizer_warm,Severe,40,2,0.3561024783738303,3.0656585213344405e-13,0.0,5.900015610948053e-10,0.0,1.6397007502569947e-10,0.825,0.7,0.925,0.5,0.5,0.9999999991007681,2.219784425161464e-07,8.500868003466167
cstr,WOA,reference_warm,Benign,520,26,7.788132850453367e-16,2.4844164447378348e-17,1.276671624509645e-18,1.1346294810315115e-15,1.909551035577299e-17,3.1446692898367216e-17,0.975,0.9615384615384616,0.9865384615384616,0.9230769230769231,0.6923076923076923,0.8169737278473164,1.9839998207450105e-08,8.40497600438539
cstr,WOA,reference_warm,Moderate,80,4,0.00812232067606355,9.434916736772436e-11,7.435552173973292e-12,1.9178551552554075e-06,4.0355330188646115e-11,3.518590974138647e-10,0.7625,0.6625,0.85,0.0,0.0,0.9999999794593915,4.4475310552113956e-07,8.378228492802009
cstr,WOA,reference_warm,High,180,9,0.0237709115076089,3.149477180068006e-11,3.6996860126295265e-12,5.982548238831771e-10,1.950693168262068e-11,5.987639480011936e-11,0.9111111111111111,0.8666666666666667,0.95,0.0,0.0,0.9999999990177889,4.802246795637677e-07,8.446418505627662
cstr,WOA,reference_warm,Severe,40,2,0.3561024783738303,9.273014281108411e-17,0.0,4.901543798229705e-10,0.0,4.483966055629972e-12,0.8,0.675,0.925,0.5,0.5,0.9999999990616756,5.343762043974466e-09,8.552111015887931
flight,GWO,cold,Benign,480,24,4.365997068311799e-06,2.1521013683385777e-10,9.634647296636374e-12,6.17121996813826e-09,1.4318180567133135e-10,4.386248289623007e-10,1.0,1.0,1.0,0.6666666666666666,0.0,0.9999638465050074,8.273984711936148e-05,14.19099599297624
flight,GWO,cold,Moderate,220,11,0.0387304996146472,1.0237772316689514e-06,3.1291468350486134e-07,4.571904746326558e-06,7.487295010395051e-07,1.406093557965865e-06,0.9863636363636363,0.9681818181818181,1.0,0.09090909090909091,0.0,0.9999686174243181,0.00541024791454275,14.073958504013715
flight,GWO,cold,High,100,5,1.0,3.008204328621016e-05,3.63095202554853e-06,6.421055808767802e-05,1.780545128936366e-05,4.348556505237577e-05,0.84,0.77,0.91,0.0,0.0,0.9999699179567139,0.036299776778256104,13.960473996121436
flight,GWO,cold,Severe,20,1,1.0,9.155918859045787e-09,4.085912375121801e-09,3.0402853781618175e-08,4.642333522849724e-09,2.3963213410747438e-08,1.0,1.0,1.0,0.0,0.0,0.9999999908440811,0.00081191350271295,14.11658500728663
flight,GWO,optimizer_warm,Benign,480,24,9.851250069419159e-08,2.9170404147708437e-10,1.6675941004653554e-11,8.498077790216216e-09,1.6410583452749615e-10,5.296883773950517e-10,1.0,1.0,1.0,0.9979166666666667,0.010416666666666666,0.9959198001165082,0.0001019624685915,14.087421004660428
flight,GWO,optimizer_warm,Moderate,220,11,0.00087899061360645,1.479639961493931e-06,2.967077525368057e-07,5.2216715948436715e-06,9.904485533569762e-07,2.0821950275418766e-06,0.9818181818181818,0.9636363636363636,0.9954545454545455,0.004545454545454545,0.0,0.9989750327857294,0.0058991114904864,13.99127149488777
flight,GWO,optimizer_warm,High,100,5,0.01361588374144525,3.662504080259876e-05,1.2628067178588394e-05,9.781557170546254e-05,2.6904156266689576e-05,5.150441996000867e-05,0.75,0.66,0.83,0.0,0.0,0.9981939817278973,0.0397344321506777,13.95793299889192
flight,GWO,optimizer_warm,Severe,20,1,1.0,3.699567084537892e-09,3.5605230915248747e-10,1.3716673758161564e-08,3.9629658128333524e-10,1.1354472751044108e-08,1.0,1.0,1.0,0.0,0.0,0.9999999963004329,0.0005173862734125,14.123429005849175
flight,GWO,reference_warm,Benign,480,24,1.0219835058372238e-07,2.442493663486471e-10,9.424406226079191e-12,6.6789820845792745e-09,1.4331398764391102e-10,4.89774924429101e-10,1.0,1.0,1.0,1.0,0.00625,0.9964568637661682,8.234511366327492e-05,14.084049500524998
flight,GWO,reference_warm,Moderate,220,11,0.0009047544157472,1.3346540929555506e-06,2.430763346627976e-07,5.567651967693099e-06,9.873020972942653e-07,1.8650545770340643e-06,0.9818181818181818,0.9636363636363636,0.9954545454545455,0.0,0.0,0.9988576266783863,0.0062327220614262005,14.008495985763147
flight,GWO,reference_warm,High,100,5,0.014239254547644,2.5627729680186682e-05,3.3744996784302524e-06,6.731672515790804e-05,1.819024685063774e-05,3.679735097662711e-05,0.86,0.79,0.92,0.0,0.0,0.9984320797250588,0.0317804551633481,14.07576100609731
flight,GWO,reference_warm,Severe,20,1,1.0,6.282334357297526e-10,1.4741748300979027e-10,2.6786304480869596e-09,2.1158479438559153e-10,2.4780802822977417e-09,1.0,1.0,1.0,0.0,0.0,0.9999999993717665,0.00021349060364045,14.111946496996097
flight,PSO,cold,Benign,480,24,4.365997068311799e-06,2.863487306869641e-06,2.0679639138463815e-07,1.479437971378875e-05,2.3794333115013434e-06,3.455185274665508e-06,0.9791666666666666,0.9666666666666667,0.9916666666666667,0.6666666666666666,0.5270833333333333,0.0,0.0100752998180282,3.789265494560823
flight,PSO,cold,Moderate,220,11,0.0387304996146472,1.7079571549568514e-05,5.29975229961871e-06,4.52840973979914e-05,1.4065551823785971e-05,2.039585330924215e-05,0.9363636363636364,0.9045454545454545,0.9636363636363636,0.09090909090909091,0.00909090909090909,0.9993876846554244,0.023259989975064302,3.7893234984949227
flight,PSO,cold,High,100,5,1.0,2.109529456666277e-06,5.004141923814647e-07,9.797282289743314e-06,1.2658844447403027e-06,4.575040898516492e-06,0.98,0.95,1.0,0.0,0.0,0.9999978904705433,0.0095955183416203,3.812926996033639
flight,PSO,cold,Severe,20,1,1.0,1.6123703520235549e-09,6.289786367667206e-10,8.112607387630032e-09,7.643332649055183e-10,6.9537704074654136e-09,1.0,1.0,1.0,0.0,0.0,0.9999999983876295,0.00034186299509725,3.8080764934420586
flight,PSO,optimizer_warm,Benign,480,24,9.312739422635949e-06,3.57690969570086e-06,1.0677835015326888e-06,1.0173057873222367e-05,2.9201568247756684e-06,4.292958299569322e-06,1.0,1.0,1.0,0.9354166666666667,0.5041666666666667,8.190053474555233e-13,0.01022563687100655,3.792979012359865
flight,PSO,optimizer_warm,Moderate,220,11,0.0009299602270666999,1.4706436070446426e-05,4.086463844169496e-06,3.4002638915925365e-05,1.1487398486012546e-05,1.7730502361049116e-05,0.9363636363636364,0.9,0.9681818181818181,0.045454545454545456,0.00909090909090909,0.991186243333444,0.01807569818030605,3.7879760056966916
flight,PSO,optimizer_warm,High,100,5,0.014109228750471,3.479968994864734e-06,3.7300930996249535e-07,1.2286311267471546e-05,1.6742112137658284e-06,5.678948497639155e-06,0.96,0.92,0.99,0.0,0.0,0.9998532146539988,0.012431084401289351,3.738298997632228
flight,PSO,optimizer_warm,Severe,20,1,1.0,1.5581015898571557e-08,1.4748245607545566e-09,7.087555748029835e-08,2.2213427745656733e-09,4.712620310262245e-08,1.0,1.0,1.0,0.0,0.0,0.9999999844189841,0.0010635733594639,3.7419785076053813
flight,PSO,reference_warm,Benign,480,24,1.0219835058372238e-07,9.728285193006298e-08,6.562819310445767e-09,2.937708783178372e-06,2.3287507095194752e-08,1.1830263992451882e-07,1.0,1.0,1.0,1.0,0.8083333333333333,4.619773690213953e-13,0.0018500511232703,3.788560497923754
flight,PSO,reference_warm,Moderate,220,11,0.0009047544157472,2.0858160573535706e-05,6.4741137758795794e-06,4.514239790169572e-05,1.593215789419812e-05,2.4046479299052697e-05,0.9227272727272727,0.8863636363636364,0.9545454545454546,0.0,0.004545454545454545,0.986252922091333,0.0215382298411286,3.7902449985267594
flight,PSO,reference_warm,High,100,5,0.014239254547644,2.53296549818109e-06,3.9307947667512266e-07,9.111703363721509e-06,1.5599673432566308e-06,4.641065851262808e-06,0.97,0.93,1.0,0.0,0.0,0.9998780440717538,0.0111881950101877,3.7534239963861182
flight,PSO,reference_warm,Severe,20,1,1.0,1.5122553588689566e-09,2.685872320833599e-10,8.595524353805053e-09,4.07238792858613e-10,6.086066482465209e-09,1.0,1.0,1.0,0.0,0.0,0.9999999984877447,0.000330847331695,3.7391520017990842
flight,SGO,cold,Benign,480,24,4.365997068311799e-06,2.9028127660007356e-09,1.256009670596703e-10,7.612734064758937e-08,1.7629663714012327e-09,4.911169194989939e-09,0.9875,0.9770833333333333,0.9958333333333333,0.6666666666666666,0.0,0.9996660343941326,0.00024210733908780003,14.485731502645649
flight,SGO,cold,Moderate,220,11,0.0387304996146472,9.792634545577328e-06,1.004687825962615e-06,0.00014409179959885002,6.88498289725184e-06,1.7015863158012495e-05,0.7136363636363636,0.65,0.7727272727272727,0.09090909090909091,0.0,0.9996307835171857,0.012782143833035251,14.439050501096062
flight,SGO,cold,High,100,5,1.0,0.0006732411650965,5.119607168152537e-05,0.011947412577825925,0.00022432892713880002,0.0018428701277036,0.33,0.24,0.42,0.0,0.0,0.9993267588349034,0.12271238709304061,14.510067994706333
flight,SGO,cold,Severe,20,1,1.0,2.1057348558691708e-05,3.9145010418390285e-07,0.023535872450761875,7.682106423386445e-07,0.0167371574953311,0.6,0.4,0.8,0.0,0.0,0.9999789426514414,0.0373543822545252,14.39394851331599
flight,SGO,optimizer_warm,Benign,480,24,1.109923063546706e-07,9.503247499439688e-10,6.309114571861612e-11,2.641543679318787e-08,6.232325380938126e-10,1.7991187405313718e-09,0.9979166666666667,0.99375,1.0,0.9833333333333333,0.016666666666666666,0.984425307397599,0.0001356898617463,14.461754501098767
flight,SGO,optimizer_warm,Moderate,220,11,0.0009402912643185,5.5370112178217135e-06,7.129686915401112e-07,5.116864701576289e-05,3.39855591242888e-06,1.0803085106126646e-05,0.8,0.7454545454545455,0.8545454545454545,0.00909090909090909,0.0,0.994725353100268,0.0102011790053171,14.445712004089728
flight,SGO,optimizer_warm,High,100,5,0.0195312923266755,0.0001612995393849,4.632293024737373e-05,0.000692205238262125,0.000117467270027,0.00023978609028279998,0.39,0.29,0.49,0.01,0.02,0.9912009270857409,0.06942531221534975,14.548439998179674
flight,SGO,optimizer_warm,Severe,20,1,1.0,2.1706646840997328e-05,1.4926449571926236e-06,0.049430389216769476,1.7276100720330558e-06,0.029372085224200248,0.55,0.35,0.75,0.0,0.0,0.9999782933531589,0.0372230566248631,14.49958750163205
flight,SGO,reference_warm,Benign,480,24,1.0219835058372238e-07,1.046228563061818e-09,7.063254658337575e-11,3.4073419197647675e-08,7.322205592570692e-10,2.351545389577621e-09,1.0,1.0,1.0,1.0,0.016666666666666666,0.9793231600527548,0.000152881818684,14.464214502368122
flight,SGO,reference_warm,Moderate,220,11,0.0009047544157472,5.682035452436035e-06,1.2056205056475144e-06,4.1838793267941564e-05,3.6937696997196845e-06,8.68629986863767e-06,0.8636363636363636,0.8181818181818182,0.9090909090909091,0.0,0.0,0.9940310456115633,0.01063719027773625,14.456687509664334
flight,SGO,reference_warm,High,100,5,0.014239254547644,0.00014069562500435,3.981678566321005e-05,0.000335641758915375,8.129953861593924e-05,0.0002055166359853,0.45,0.35,0.55,0.0,0.0,0.990791766429626,0.05874045445647915,14.50829098757822
flight,SGO,reference_warm,Severe,20,1,1.0,2.622082818583871e-06,5.729440560785192e-07,0.029735284034084077,7.675661381260342e-07,0.0243193830918133,0.6,0.4,0.8,0.0,0.0,0.9999973779171814,0.0137914886125587,14.50919100898318
flight,WOA,cold,Benign,480,24,4.365997068311799e-06,3.2813489158443486e-09,8.101828260053877e-11,1.2075962961280563e-07,2.0055474793147486e-09,6.476716118450412e-09,0.99375,0.9854166666666667,1.0,0.6666666666666666,0.0,0.9996131623571043,0.00025099634360785004,8.43169649306219
flight,WOA,cold,Moderate,220,11,0.0387304996146472,5.894867347987914e-06,5.075368129572183e-07,5.2335813286796123e-05,4.14476911846564e-06,9.680247072250004e-06,0.8090909090909091,0.7545454545454545,0.8590909090909091,0.09090909090909091,0.0,0.9998523462451392,0.009534539419482499,8.383407490327954
flight,WOA,cold,High,100,5,1.0,1.7260173305942635e-06,1.7338276424320855e-08,1.8854069356306152e-05,5.830453898576458e-07,3.1736299418073415e-06,0.88,0.81,0.94,0.0,0.0,0.9999982739826694,0.0064187936073356,8.40295800298918
flight,WOA,cold,Severe,20,1,1.0,4.1773581861359104e-13,1.7274153043552318e-13,1.1644423732953086e-11,1.809644384296538e-13,6.328918340335452e-12,1.0,1.0,1.0,0.0,0.0,0.9999999999995823,5.4980306026797265e-06,8.464749495033175
flight,WOA,optimizer_warm,Benign,480,24,1.1500253433532579e-07,4.1431121140349823e-10,1.3404123138246444e-11,1.1387084426601958e-08,2.192509835360497e-10,7.655139223136377e-10,1.0,1.0,1.0,0.9916666666666667,0.0,0.9939275550138049,7.922367702179031e-05,8.408406501985155
flight,WOA,optimizer_warm,Moderate,220,11,0.00097192659891335,1.6975666176574644e-06,1.7320663958490543e-07,1.252293797766868e-05,1.0859077580905457e-06,2.9182517842685853e-06,0.9454545454545454,0.9136363636363637,0.9727272727272728,0.0,0.0,0.9982890816225214,0.00468513810703275,8.415793985477649
flight,WOA,optimizer_warm,High,100,5,0.0142596334055394,1.2940001313534776e-06,6.038450475350771e-08,7.995697640512192e-06,5.356930316272205e-07,2.40182251993114e-06,0.96,0.92,0.99,0.0,0.0,0.9999351252775708,0.0050007984384779994,8.405934000620618
flight,WOA,optimizer_warm,Severe,20,1,1.0,3.7474693932074645e-13,1.2754576774719502e-13,2.0651591577023904e-12,1.5423998744872934e-13,1.4484410581425947e-12,1.0,1.0,1.0,0.0,0.0,0.9999999999996252,5.212755120775903e-06,8.559120004065335
flight,WOA,reference_warm,Benign,480,24,1.0219835058372238e-07,3.627749932608924e-10,1.2674072932226909e-11,1.4669314102781848e-08,2.0212407600079474e-10,5.8052319635178e-10,1.0,1.0,1.0,1.0,0.0,0.9926328982930501,7.319143888993168e-05,8.420278987614438
flight,WOA,reference_warm,Moderate,220,11,0.0009047544157472,1.3262078500438784e-06,1.3928566335887334e-07,9.48737588221671e-06,7.2949961630632e-07,2.0562195811868467e-06,0.9590909090909091,0.9318181818181818,0.9818181818181818,0.0,0.0,0.9989699594379751,0.0040305107691965,8.405227505136281
flight,WOA,reference_warm,High,100,5,0.014239254547644,2.813418883126429e-07,4.05021126032973e-09,4.2226557012777535e-06,9.42785671237039e-08,6.256621517542183e-07,0.97,0.93,1.0,0.0,0.0,0.9999886835392934,0.0026192158198681,8.443600992904976
flight,WOA,reference_warm,Severe,20,1,1.0,1.1554394982929112e-13,1.5810959121067312e-14,8.85020704147697e-13,1.7473679487527545e-14,7.709580870085249e-13,1.0,1.0,1.0,0.0,0.0,0.9999999999998844,2.861219561722805e-06,8.61779299157206
hvac,GWO,cold,Benign,640,32,0.029149533538306252,4.256522095534565e-06,1.6056804363739213e-06,2.2372789816690886e-05,3.7835588198915093e-06,4.768355967320337e-06,0.8703125,0.84375,0.8953125,0.0,0.0,0.9998721535311106,0.0205493512973682,18.277115013916045
hvac,GWO,optimizer_warm,Benign,640,32,1.1016922619906666e-06,7.91659268308334e-07,2.3373592968100115e-07,1.3370377299655456e-05,6.924271782789149e-07,9.654608632619563e-07,0.925,0.9046875,0.9453125,0.8421875,0.7078125,0.0,0.00886215885853825,18.239523502415977
hvac,GWO,reference_warm,Benign,640,32,7.526054117759641e-08,2.979337801987947e-08,6.143845011734317e-10,5.498241475748733e-06,7.372965550589416e-09,1.0802985453764459e-07,1.0,1.0,1.0,0.96875,0.903125,0.0,0.0016777319563890999,18.230139001389038
hvac,PSO,cold,Benign,640,32,0.029149533538306252,1.5875906271903273e-08,2.5297197132206906e-09,1.0845936996000533e-07,1.3880894583068182e-08,2.0919387042073193e-08,0.9921875,0.984375,0.9984375,0.0,0.0,0.9999995843467349,0.0014618833552641499,4.800763010280207
hvac,PSO,optimizer_warm,Benign,640,32,3.819382756245493e-08,6.112909241295926e-10,9.570491897807539e-11,3.6558062271874192e-09,4.45541544630279e-10,8.188668253041679e-10,1.0,1.0,1.0,0.96875,0.1140625,0.9672118345534808,0.00028143442505895,4.781909985467792
hvac,PSO,reference_warm,Benign,640,32,7.526054117759641e-08,5.816378297794653e-10,1.4915394440373484e-10,4.852186349761645e-09,4.5415587048728984e-10,7.398417893079991e-10,1.0,1.0,1.0,0.96875,0.128125,0.9583445928469282,0.00027156607011435,4.771031497512013
hvac,SGO,cold,Benign,640,32,0.029149533538306252,0.0001480441646314,5.357726349094995e-05,0.00042268804947297504,0.0001242623608794,0.00016620256389555,0.403125,0.3655859375,0.440625,0.0,0.0,0.9966385185376734,0.12840765582620975,12.404091001371853
hvac,SGO,optimizer_warm,Benign,640,32,1.2190334311150408e-05,9.75242396267749e-06,3.0562838741086604e-06,6.12869509554034e-05,7.919333581903748e-06,1.1454903997391295e-05,0.796875,0.765625,0.8265625,0.746875,0.8375,0.0,0.031524861299474696,12.347934985882603
hvac,SGO,reference_warm,Benign,640,32,7.526054117759641e-08,2.979337801987947e-08,6.143845011734317e-10,7.244898063562586e-06,7.372965550589416e-09,1.0802985453764459e-07,1.0,1.0,1.0,0.96875,0.9390625,0.0,0.0016777319563890999,12.38113598083146
hvac,WOA,cold,Benign,640,32,0.029149533538306252,5.2998051647497324e-05,1.2162349546654232e-05,0.00020869212523347503,4.213649860787538e-05,6.3143086401307e-05,0.6375,0.5984375,0.6734375,0.0,0.0,0.9987180317278104,0.07657277370185735,8.199450996471569
