system,k,stratum,warm_gap_norm,cold_gap_norm_drift,df_over_max,dU_shift,alg,start,trial,seed,NP,J_star,J_start,J_final,start_gap_norm,final_gap_norm,final_gap_abs,trivial_start,converged_1e4,control_error,first_control_error,returned_incumbent,improvement_fraction,time_ms,requested_fe,realized_fe,fe_exact,warm_start_provenance
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,reference_warm,3,11012003,30,-7.961303237069256e-07,-3.632403487027142e-08,-7.94924143446708e-07,7.598062888366542e-07,1.2061802602175828e-09,1.2061802602175828e-09,True,True,9.746672371157292e-05,9.746672371157292e-05,False,0.9984125160874039,25.451774010434747,1000,1000,True,previous OSQP optimum (identity shift at Nc=1)
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,reference_warm,4,11012004,30,-7.961303237069256e-07,-3.632403487027142e-08,-7.936917011147294e-07,7.598062888366542e-07,2.4386225921961945e-09,2.4386225921961945e-09,True,True,0.00013858701984000412,0.00013858701984000412,False,0.9967904680074049,25.26562800630927,1000,1000,True,previous OSQP optimum (identity shift at Nc=1)
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,reference_warm,5,11012005,30,-7.961303237069256e-07,-3.632403487027142e-08,-7.863163946582547e-07,7.598062888366542e-07,9.813929048670955e-09,9.813929048670955e-09,True,True,0.0002780172327793667,0.0002780172327793667,False,0.9870836433011141,25.246503995731473,1000,1000,True,previous OSQP optimum (identity shift at Nc=1)
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,reference_warm,6,11012006,30,-7.961303237069256e-07,-3.632403487027142e-08,-6.363745153280553e-07,7.598062888366542e-07,1.5975580837887036e-07,1.5975580837887036e-07,True,True,0.0011217048248931467,0.0011217048248931467,False,0.7897413976087592,24.79557998594828,1000,1000,True,previous OSQP optimum (identity shift at Nc=1)
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,reference_warm,7,11012007,30,-7.961303237069256e-07,-3.632403487027142e-08,-7.961296706235384e-07,7.598062888366542e-07,6.530833872566964e-13,6.530833872566964e-13,True,True,2.26795575464624e-06,2.26795575464624e-06,False,0.9999991404606715,25.476971990428865,1000,1000,True,previous OSQP optimum (identity shift at Nc=1)
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,reference_warm,8,11012008,30,-7.961303237069256e-07,-3.632403487027142e-08,-7.943631569726361e-07,7.598062888366542e-07,1.767166734289512e-09,1.767166734289512e-09,True,True,0.00011797473845488998,0.00011797473845488998,False,0.9976741878025316,25.167982996208593,1000,1000,True,previous OSQP optimum (identity shift at Nc=1)
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,reference_warm,9,11012009,30,-7.961303237069256e-07,-3.632403487027142e-08,-7.889976101055907e-07,7.598062888366542e-07,7.132713601334927e-09,7.132713601334927e-09,True,True,0.000237015993457052,0.000237015993457052,False,0.9906124577986108,25.289032026194036,1000,1000,True,previous OSQP optimum (identity shift at Nc=1)
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,reference_warm,10,11012010,30,-7.961303237069256e-07,-3.632403487027142e-08,-6.703829361336198e-07,7.598062888366542e-07,1.2574738757330585e-07,1.2574738757330585e-07,True,True,0.0009951756588800404,0.0009951756588800404,False,0.8345007281186909,24.921203003032133,1000,1000,True,previous OSQP optimum (identity shift at Nc=1)
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,reference_warm,11,11012011,30,-7.961303237069256e-07,-3.632403487027142e-08,-7.940013262915556e-07,7.598062888366542e-07,2.128997415370023e-09,2.128997415370023e-09,True,True,0.0001294904757515804,0.0001294904757515804,False,0.9971979734221077,25.287232972914353,1000,1000,True,previous OSQP optimum (identity shift at Nc=1)
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,reference_warm,12,11012012,30,-7.961303237069256e-07,-3.632403487027142e-08,-7.945744134083029e-07,7.598062888366542e-07,1.5559102986226917e-09,1.5559102986226917e-09,True,True,0.00011069870416976482,0.00011069870416976482,False,0.9979522276644947,25.197331997333094,1000,1000,True,previous OSQP optimum (identity shift at Nc=1)
