system,tail,alg,trial,seed,NP,nrmse,reference_nrmse,mean_norm_gap,median_norm_gap,mean_first_input_error,realized_fe_mean,fe_exact,time_ms_mean
flight,hold_last,WOA,3,19003003,10,0.020430218711576117,0.020441952497158578,1.3690252336343026e-05,3.587337588823714e-07,0.006861951329029148,1000.0,True,10.848098694114015
flight,hold_last,WOA,4,19003004,10,0.020429550304555656,0.020441952497158578,1.3237459268047369e-05,4.105930960371121e-07,0.006631964773611262,1000.0,True,10.534120054993158
flight,hold_last,WOA,5,19003005,10,0.020443536726562257,0.020441952497158578,1.3704761404368546e-05,5.839194862172625e-07,0.006697773076473767,1000.0,True,10.608664227960011
flight,hold_last,WOA,6,19003006,10,0.020444448264800328,0.020441952497158578,7.673831515905777e-06,5.823898614104229e-07,0.0058944202033054775,1000.0,True,10.731667428044602
flight,hold_last,WOA,7,19003007,10,0.020440247451395086,0.020441952497158578,1.0750405014818945e-05,3.084347237913531e-07,0.006063553221081306,1000.0,True,10.334449327007556
flight,hold_last,WOA,8,19003008,10,0.020437391930092468,0.020441952497158578,1.3618972472554221e-05,2.6411290729147564e-07,0.006190196210872687,1000.0,True,9.644325687550008
flight,hold_last,WOA,9,19003009,10,0.020433315328675497,0.020441952497158578,1.0984643554165706e-05,6.35162038540845e-07,0.007072530012390702,1000.0,True,9.459759348537773
uav,zero,SGO,0,21000000,20,0.0009875043288372703,0.0008692984220871418,0.007023227770389402,0.00041440079021025654,0.006414726431813927,1000.0,True,14.909630477661267
uav,zero,SGO,1,21000001,20,0.00097799688192713,0.0008692984220871418,0.005528450733511416,0.00045311212167058483,0.006560353253350702,1000.0,True,15.004302085959353
uav,zero,SGO,2,21000002,20,0.0010010193129739978,0.0008692984220871418,0.006885117113068002,0.0004418837143600633,0.006374608878159048,1000.0,True,14.788321954081766
uav,zero,SGO,3,21000003,20,0.000995663294226213,0.0008692984220871418,0.004497302363800051,0.0003955457998584239,0.005408895698428048,1000.0,True,14.619248727569357
uav,zero,SGO,4,21000004,20,0.000875939079766394,0.0008692984220871418,0.0029620968995810524,0.00041790790815867177,0.001735535912137266,1000.0,True,15.589486014680006
uav,zero,SGO,5,21000005,20,0.0008757766660293896,0.0008692984220871418,0.004683429144725706,0.00043522991022312466,0.0035779088352312733,1000.0,True,16.397680253488943
uav,zero,SGO,6,21000006,20,0.0009671718372732519,0.0008692984220871418,0.004626350613876133,0.000427804491113096,0.004973606544429991,1000.0,True,16.8475993021857
uav,zero,SGO,7,21000007,20,0.000899050030954866,0.0008692984220871418,0.0033604774351273445,0.0004005710054922889,0.003302893213053822,1000.0,True,15.621192773454823
uav,zero,SGO,8,21000008,20,0.0009714497124691636,0.0008692984220871418,0.004376506148968765,0.00041985505081051396,0.005024435544077032,1000.0,True,15.05875675054267
uav,zero,SGO,9,21000009,20,0.0009731663936367605,0.0008692984220871418,0.004844729075802905,0.0003778762247261026,0.00544651973009364,1000.0,True,14.938657817197964
uav,zero,GWO,0,21001000,30,0.0008707073125674144,0.0008692984220871418,7.795533377067315e-05,1.370084879043568e-17,0.00021130262171709758,1000.0,True,25.374485591077246
uav,zero,GWO,1,21001001,30,0.0008691729481282803,0.0008692984220871418,5.0094480502848114e-05,1.0976752008300065e-17,9.40843069574727e-05,1000.0,True,25.187048703897744
uav,zero,GWO,2,21001002,30,0.0008688186960396872,0.0008692984220871418,3.3924712643300385e-05,6.541123558011272e-18,8.558938626007961e-05,1000.0,True,25.484107953379862
uav,zero,GWO,3,21001003,30,0.0008670980700902173,0.0008692984220871418,5.02403504889132e-05,3.079178923534009e-18,9.395213655594965e-05,1000.0,True,25.37590520118829
uav,zero,GWO,4,21001004,30,0.0008693640205218183,0.0008692984220871418,5.17223697311288e-05,2.2214883140289533e-17,0.00013341995288338715,1000.0,True,25.489859413472004
uav,zero,GWO,5,21001005,30,0.0008691226100717783,0.0008692984220871418,0.000123211976024384,4.063287560759596e-17,0.0003206578137541429,1000.0,True,25.310897983494215
uav,zero,GWO,6,21001006,30,0.0008704475333593469,0.0008692984220871418,4.5593391403820645e-05,3.6726194544431646e-18,0.00013374327141004323,1000.0,True,25.22208236705046
uav,zero,GWO,7,21001007,30,0.0008703468798978839,0.0008692984220871418,5.722079469489189e-05,2.355080695510065e-18,0.00010846829214719393,1000.0,True,24.67878103349358
uav,zero,GWO,8,21001008,30,0.00087150361933911,0.0008692984220871418,5.052484985154481e-05,3.591907066063962e-17,0.00011657945382805034,1000.0,True,25.215703787398525
uav,zero,GWO,9,21001009,30,0.0008678415017391037,0.0008692984220871418,6.822133011356627e-05,4.259775164974161e-17,0.00013649328067388342,1000.0,True,25.158100823988207
uav,zero,PSO,0,21002000,10,0.00259844191371528,0.0008692984220871418,0.05444541474569006,0.0075617486456721755,0.02501367709372781,1000.0,True,5.083700013929047
uav,zero,PSO,1,21002001,10,0.0008585220153792863,0.0008692984220871418,0.017170952675642528,0.0068469307366483345,0.004007007195072255,1000.0,True,5.156669778400101
uav,zero,PSO,2,21002002,10,0.0037128043497577866,0.0008692984220871418,1.3037930318198427,0.004488506370381092,0.09648011624759821,1000.0,True,5.199604030698538
uav,zero,PSO,3,21002003,10,0.0024774840081638896,0.0008692984220871418,0.06889355060436493,0.0066145332357629046,0.02968529161539712,1000.0,True,5.198745842906646
uav,zero,PSO,4,21002004,10,0.00661582232744399,0.0008692984220871418,3.190678375703014,0.006636848283968834,0.146124104740246,1000.0,True,5.079165394417942
uav,zero,PSO,5,21002005,10,0.0021885172630379747,0.0008692984220871418,0.2340428417040986,0.006567047140728081,0.02919469112872796,1000.0,True,5.166941199102439
uav,zero,PSO,6,21002006,10,0.0008608668150253788,0.0008692984220871418,0.01468130481825418,0.005874028247738158,0.003920812667623884,1000.0,True,5.054007311468013
uav,zero,PSO,7,21002007,10,0.0032267287842058633,0.0008692984220871418,0.27097804757109895,0.004608995104499354,0.040647809205740175,1000.0,True,5.0214833478676155
uav,zero,PSO,8,21002008,10,0.0024560561744867327,0.0008692984220871418,0.06365634351613073,0.007069020357118571,0.02758439122897026,1000.0,True,5.033026795485057
uav,zero,PSO,9,21002009,10,0.0008619681244970527,0.0008692984220871418,0.019287989258668377,0.007474453353298517,0.0049430318066089,1000.0,True,5.086362316738814
uav,zero,WOA,0,21003000,30,0.001174580232937324,0.0008692984220871418,0.051996599937506376,1.1353009704523367e-09,0.013912691994050356,1000.0,True,9.164249718538485
uav,zero,WOA,1,21003001,30,0.0015301217082933133,0.0008692984220871418,0.0445565216417521,1.0837983678292588e-08,0.027837505751475117,1000.0,True,9.283497274620458
uav,zero,WOA,2,21003002,30,0.0012871733566306093,0.0008692984220871418,0.10426475976021919,1.766094474645393e-08,0.0367905580414693,1000.0,True,9.214367322972976
uav,zero,WOA,3,21003003,30,0.001099818472248211,0.0008692984220871418,0.03930779172511379,2.2177932758857658e-08,0.022116716411427942,1000.0,True,9.154906775336713
uav,zero,WOA,4,21003004,30,0.0010278397617273546,0.0008692984220871418,0.05796437573764017,9.778647268873151e-08,0.010648128027306976,1000.0,True,9.158630643156357
uav,zero,WOA,5,21003005,30,0.0011919667283485085,0.0008692984220871418,0.04561244663230297,4.207052017619583e-09,0.020341310176452104,1000.0,True,9.256136580370367
uav,zero,WOA,6,21003006,30,0.001777903958573639,0.0008692984220871418,0.06539550477303634,4.1543331922917835e-08,0.027941827363821184,1000.0,True,9.133392624324188
uav,zero,WOA,7,21003007,30,0.0014214851258771827,0.0008692984220871418,0.051356455857344566,6.597633164954901e-09,0.019648390573559202,1000.0,True,9.079395669861697
uav,zero,WOA,8,21003008,30,0.0013950134409510945,0.0008692984220871418,0.04325015027610332,2.461086266343173e-09,0.029945367279137585,1000.0,True,9.215631411760114
uav,zero,WOA,9,21003009,30,0.0011985907528067774,0.0008692984220871418,0.08657411770818416,5.215792955763111e-07,0.019249517855460724,1000.0,True,9.203246764838696
uav,hold_last,SGO,0,21000000,20,0.0013124666997841906,0.0012114650953275877,0.01455214966181826,0.00629688997541368,0.002557979622126953,1000.0,True,15.1305941818282
uav,hold_last,SGO,1,21000001,20,0.0013457436534243903,0.0012114650953275877,0.013621131848578463,0.006429701051550274,0.0022666389073152868,1000.0,True,15.105428255628794
uav,hold_last,SGO,2,21000002,20,0.0012463758622024274,0.0012114650953275877,0.011950435928367562,0.00652855883382876,0.001277815907379806,1000.0,True,14.737616450060159
uav,hold_last,SGO,3,21000003,20,0.0012683455613548501,0.0012114650953275877,0.01416131137347527,0.005240973665956795,0.0020066427374734555,1000.0,True,15.14739835250657
uav,hold_last,SGO,4,21000004,20,0.0012497182146095622,0.0012114650953275877,0.010675282021931954,0.005343481769689937,0.0013265309685004886,1000.0,True,14.92280845332425
uav,hold_last,SGO,5,21000005,20,0.0012398097582147396,0.0012114650953275877,0.011478667616829483,0.005578877804583566,0.0012451112842985976,1000.0,True,14.7124740696745
uav,hold_last,SGO,6,21000006,20,0.0012854667110607013,0.0012114650953275877,0.011019413901935693,0.005721304375945349,0.0015803532947097007,1000.0,True,14.757952391169965
uav,hold_last,SGO,7,21000007,20,0.0012498140601046495,0.0012114650953275877,0.01238298773617711,0.005472193204404644,0.001171073816471735,1000.0,True,16.32694461895153
uav,hold_last,SGO,8,21000008,20,0.0012314846075522684,0.0012114650953275877,0.01089968281177476,0.005100372347208243,0.0011540999284386292,1000.0,True,15.827613485627808
uav,hold_last,SGO,9,21000009,20,0.0012983088348099314,0.0012114650953275877,0.01267406311052909,0.005988830729916561,0.001840110664487718,1000.0,True,15.114174789516255
uav,hold_last,GWO,0,21001000,30,0.0012123831365034316,0.0012114650953275877,0.00017209020752211016,1.1885559479786554e-07,0.00016361699870853793,1000.0,True,26.48384999204427
uav,hold_last,GWO,1,21001001,30,0.0012075634578847863,0.0012114650953275877,0.00020522644708358817,8.610682957137879e-08,0.0002403048188450823,1000.0,True,25.910655032726936
uav,hold_last,GWO,2,21001002,30,0.0012140047500151564,0.0012114650953275877,0.00019016900990087557,8.931606896584582e-08,0.00024115138056434718,1000.0,True,25.1486790709896
uav,hold_last,GWO,3,21001003,30,0.0012125534200272314,0.0012114650953275877,0.00014550939421619942,7.921320329956395e-08,0.00017319271885708312,1000.0,True,24.84861880040262
uav,hold_last,GWO,4,21001004,30,0.0012111791191496332,0.0012114650953275877,0.00016536989760134737,6.73238438156262e-08,0.00018677934554113448,1000.0,True,24.831160211469978
uav,hold_last,GWO,5,21001005,30,0.0012126375842112895,0.0012114650953275877,0.000149539086074919,9.04729212104061e-08,0.00016799926455979088,1000.0,True,25.069119845167734
uav,hold_last,GWO,6,21001006,30,0.001210498494023877,0.0012114650953275877,0.00015999641322535436,9.622974755468084e-08,0.00018660202411752464,1000.0,True,24.96003358915914
uav,hold_last,GWO,7,21001007,30,0.0012110139773971907,0.0012114650953275877,0.00013299471801587304,8.064993416615038e-08,0.0001559682540884493,1000.0,True,24.763374289148487
uav,hold_last,GWO,8,21001008,30,0.0012137160395584636,0.0012114650953275877,0.00024016805790478315,1.1462557949665805e-07,0.00019139943535113017,1000.0,True,24.9646911888849
uav,hold_last,GWO,9,21001009,30,0.0012081138590356842,0.0012114650953275877,0.0001596666820404682,1.1522097665560354e-07,0.0001724807151118281,1000.0,True,25.077814266900532
uav,hold_last,PSO,0,21002000,10,0.0012071686305822945,0.0012114650953275877,0.026405606673696385,0.009392595392820478,0.0009588307575193549,1000.0,True,5.072351201088168
uav,hold_last,PSO,1,21002001,10,0.001214895948996788,0.0012114650953275877,0.02663137458503339,0.009939023630692287,0.0009729339075129888,1000.0,True,5.134896327857859
uav,hold_last,PSO,2,21002002,10,0.0012190812351876197,0.0012114650953275877,0.02446828633378353,0.008350065586834526,0.0008359888744693327,1000.0,True,5.179084086790681
uav,hold_last,PSO,3,21002003,10,0.0012097986941712602,0.0012114650953275877,0.02468792869000734,0.01060765112993869,0.0009113757511578398,1000.0,True,5.053155291243456
uav,hold_last,PSO,4,21002004,10,0.0012142642139765702,0.0012114650953275877,0.02711003050577836,0.011955322697584803,0.0009218510644838179,1000.0,True,5.0504059252562
uav,hold_last,PSO,5,21002005,10,0.0012129143337713739,0.0012114650953275877,0.022959911455926317,0.00873425378146088,0.000839951904110517,1000.0,True,4.954697635024786
uav,hold_last,PSO,6,21002006,10,0.001202586960332013,0.0012114650953275877,0.030242708709919883,0.01237527643089768,0.001056409415678103,1000.0,True,5.002724567311816
uav,hold_last,PSO,7,21002007,10,0.0012137021131665377,0.0012114650953275877,0.029533986275443392,0.012912690544300953,0.0010277611964027754,1000.0,True,5.01803103229031
