lambda_min,lambda_max,cond_H,J_lbfgsb,lbfgsb_multistart_spread,lbfgsb_success,osqp_status,J_osqp,osqp_iterations,osqp_primal_residual,osqp_dual_residual,obj_abs_diff,obj_rel_diff,sol_inf_diff,osqp_minus_lbfgsb,proj_grad_norm,subopt_bound_abs,n_free,n_active,subopt_bound_norm,reference_solver,J_reference,system,Nc,P,dim,step,role
0.11920134987966657,954.5075242631683,8007.522777441203,-1.3182670805560638e-11,1.2872209678173766e-11,True,solved,-1.3246125312711794e-11,25,,,6.34545071511556e-14,6.34545071511556e-14,9.30517385433534e-07,-6.34545071511556e-14,2.3604945801588614e-13,2.3371944481267252e-25,2,0,2.3371944481267252e-25,OSQP,-1.3246125312711794e-11,cstr,1,20,2,90,near_settled
0.021445503460923172,1889.9485597545352,88127.96413002364,-5709.944724700124,0.0,True,solved,-5709.944724700124,75,,,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0,4,0.0,OSQP,-5709.944724700124,cstr,2,20,4,0,k0
0.021445503460923172,1889.9485597545352,88127.96413002364,-54.54581718370039,9.058239668305966,True,solved,-54.545817183700336,100,,,5.684341886080802e-14,1.0421224173683147e-15,1.6972048211272295e-09,5.684341886080802e-14,1.6184643527594744e-06,6.10717035840665e-11,1,3,1.1196404552596234e-12,L-BFGS-B,-54.54581718370039,cstr,2,20,4,5,early_transient
0.021445503460923172,1889.9485597545352,88127.96413002364,-1.3416669701479145e-11,1.2560032249400737e-11,True,solved,-1.3889600443152457e-11,75,,,4.729307416733121e-13,4.729307416733121e-13,5.798530566678902e-06,-4.729307416733121e-13,2.315674226846228e-14,1.2502264483207057e-26,4,0,1.2502264483207057e-26,OSQP,-1.3889600443152457e-11,cstr,2,20,4,50,mid_trajectory
0.021445503460923172,1889.9485597545352,88127.96413002364,-75.62160726969537,8.526512829121202e-14,True,solved,-75.62160726969532,100,,,5.684341886080802e-14,7.516822362434429e-16,3.6928948787817717e-10,5.684341886080802e-14,3.5215654747844383e-07,2.8913808005932208e-12,1,3,3.823484986614287e-14,L-BFGS-B,-75.62160726969537,cstr,2,20,4,4,high_drift_phase1
0.021445503460923172,1889.9485597545352,88127.96413002364,-1.3504542773496672e-11,1.2738803620888182e-11,True,solved,-1.3795027160822697e-11,75,,,2.904843873260258e-13,2.904843873260258e-13,4.301858207003342e-06,-2.904843873260258e-13,2.1673588852738903e-14,1.0952050032621309e-26,4,0,1.0952050032621309e-26,OSQP,-1.3795027160822697e-11,cstr,2,20,4,90,near_settled
0.02135629115282952,2794.824348935617,130866.55959760725,-6889.408092026945,0.0,True,solved,-6889.408092026945,75,,,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0,6,0.0,OSQP,-6889.408092026945,cstr,3,20,6,0,k0
0.02135629115282952,2794.824348935617,130866.55959760725,-70.1059749310467,4.664720033259982,True,solved,-70.10597493104662,125,,,8.526512829121202e-14,1.2162319741659e-15,1.4181786411882058e-08,8.526512829121202e-14,2.2475323528438533e-06,1.1826495623540328e-10,2,4,1.6869454615205584e-12,L-BFGS-B,-70.1059749310467,cstr,3,20,6,5,early_transient
0.02135629115282952,2794.824348935617,130866.55959760725,-1.3337880109528244e-11,1.5964075463355763e-10,True,solved,-1.3890675789005197e-11,75,,,5.527956794769533e-13,5.527956794769533e-13,5.022504214841047e-06,-5.527956794769533e-13,1.3248625099991344e-13,4.109469799414703e-25,6,0,4.109469799414703e-25,OSQP,-1.3890675789005197e-11,cstr,3,20,6,50,mid_trajectory
0.02135629115282952,2794.824348935617,130866.55959760725,-108.6669227276421,16.49056578812464,True,solved,-108.66692272764206,150,,,4.263256414560601e-14,3.923232854624802e-16,2.9954316804747805e-11,4.263256414560601e-14,2.8373591476338333e-08,1.8848326413630953e-14,1,5,1.734504478503689e-16,L-BFGS-B,-108.6669227276421,cstr,3,20,6,4,high_drift_phase1
