system,alg,NP,maxIter_derived,fe_budget,seed,trial,nrmse,mean_nfe_per_step,mean_time_ms,P,Nc,Q_scale,ic
pendcart,GWO,30,39,1000,8041001,1,0.29605938974773655,1000.0,32.581152000154056,20,1,1.0,tune
pendcart,GWO,30,39,1000,8041002,2,0.2960501931760883,1000.0,34.1513706673868,20,1,1.0,tune
pendcart,PSO,8,130,1000,8002000,0,0.29605582034057,1000.0,25.645146558914956,20,1,1.0,tune
pendcart,PSO,8,130,1000,8002001,1,0.29605581512553086,1000.0,25.595016126753762,20,1,1.0,tune
pendcart,PSO,8,130,1000,8002002,2,0.2960558213264675,1000.0,25.442419241104897,20,1,1.0,tune
pendcart,PSO,10,105,1000,8012000,0,0.2960558195759572,1000.0,25.283047074335627,20,1,1.0,tune
pendcart,PSO,10,105,1000,8012001,1,0.2960558384692977,1000.0,26.006038733564008,20,1,1.0,tune
pendcart,PSO,10,105,1000,8012002,2,0.2960558246602449,1000.0,25.59881404042244,20,1,1.0,tune
pendcart,PSO,14,77,1000,8022000,0,0.29605590665998,1000.0,25.91550339362584,20,1,1.0,tune
pendcart,PSO,14,77,1000,8022001,1,0.29605583332924607,1000.0,25.293468665719654,20,1,1.0,tune
pendcart,PSO,14,77,1000,8022002,2,0.2960554410751219,1000.0,24.840653848756727,20,1,1.0,tune
pendcart,PSO,20,55,1000,8032000,0,0.29605592562458394,1000.0,23.60574931294347,20,1,1.0,tune
pendcart,PSO,20,55,1000,8032001,1,0.2960554291411986,1000.0,23.78547655903579,20,1,1.0,tune
pendcart,PSO,20,55,1000,8032002,2,0.2960571035060788,1000.0,24.78894947251926,20,1,1.0,tune
pendcart,PSO,30,39,1000,8042000,0,0.29605497989192886,1000.0,23.585732593395125,20,1,1.0,tune
pendcart,PSO,30,39,1000,8042001,1,0.296052318544707,1000.0,23.60538262000773,20,1,1.0,tune
pendcart,PSO,30,39,1000,8042002,2,0.29604574586289234,1000.0,23.587538425733026,20,1,1.0,tune
pendcart,WOA,8,130,1000,8003000,0,0.29605550915553663,1000.0,32.22243133253263,20,1,1.0,tune
pendcart,WOA,8,130,1000,8003001,1,0.296055923715247,1000.0,31.71558298752643,20,1,1.0,tune
pendcart,WOA,8,130,1000,8003002,2,0.296055780465653,1000.0,31.148788860300556,20,1,1.0,tune
pendcart,WOA,10,105,1000,8013000,0,0.2960563898953779,1000.0,31.580589533162613,20,1,1.0,tune
pendcart,WOA,10,105,1000,8013001,1,0.29605564293320763,1000.0,31.142688747495413,20,1,1.0,tune
pendcart,WOA,10,105,1000,8013002,2,0.2960556383720116,1000.0,30.375155326716293,20,1,1.0,tune
pendcart,WOA,14,77,1000,8023000,0,0.2960559819787481,1000.0,30.072417799383402,20,1,1.0,tune
pendcart,WOA,14,77,1000,8023001,1,0.2960560218177993,1000.0,30.09182291959102,20,1,1.0,tune
pendcart,WOA,14,77,1000,8023002,2,0.29605581826344196,1000.0,30.202709586398367,20,1,1.0,tune
pendcart,WOA,20,55,1000,8033000,0,0.29605599872330746,1000.0,30.28068308039413,20,1,1.0,tune
pendcart,WOA,20,55,1000,8033001,1,0.29605599890914897,1000.0,29.916241819931503,20,1,1.0,tune
pendcart,WOA,20,55,1000,8033002,2,0.2960554990473166,1000.0,30.052283920813352,20,1,1.0,tune
pendcart,WOA,30,39,1000,8043000,0,0.29605611357291006,1000.0,29.857895907674294,20,1,1.0,tune
pendcart,WOA,30,39,1000,8043001,1,0.29605594489303394,1000.0,29.70998787942032,20,1,1.0,tune
pendcart,WOA,30,39,1000,8043002,2,0.29605562719598166,1000.0,30.21019310030776,20,1,1.0,tune
cstr,SGO,8,255,1000,9000000,0,0.19695999966388222,1000.0,12.982850529660936,20,1,1.0,tune
cstr,SGO,8,255,1000,9000001,1,0.19645902380496344,1000.0,13.141722849104553,20,1,1.0,tune
cstr,SGO,8,255,1000,9000002,2,0.202104318914774,1000.0,13.04436188103864,20,1,1.0,tune
cstr,SGO,10,205,1000,9010000,0,0.19657674808416165,1000.0,12.604958530282602,20,1,1.0,tune
cstr,SGO,10,205,1000,9010001,1,0.19710238275839362,1000.0,12.645263079029974,20,1,1.0,tune
cstr,SGO,10,205,1000,9010002,2,0.1982574937930917,1000.0,12.62132954027038,20,1,1.0,tune
cstr,SGO,14,148,1000,9020000,0,0.19674961398976465,1000.0,12.562062369834166,20,1,1.0,tune
cstr,SGO,14,148,1000,9020001,1,0.201362142601324,1000.0,12.452084519609343,20,1,1.0,tune
cstr,SGO,14,148,1000,9020002,2,0.1969958130091529,1000.0,12.131750681146514,20,1,1.0,tune
cstr,SGO,20,105,1000,9030000,0,0.19667274148080888,1000.0,11.64761215011822,20,1,1.0,tune
cstr,SGO,20,105,1000,9030001,1,0.19673403438064324,1000.0,12.167568680015393,20,1,1.0,tune
cstr,SGO,20,105,1000,9030002,2,0.20076115734201042,1000.0,12.458983651304152,20,1,1.0,tune
cstr,SGO,30,72,1000,9040000,0,0.19681805852090473,1000.0,12.214685788203496,20,1,1.0,tune
cstr,SGO,30,72,1000,9040001,1,0.19665042308562097,1000.0,12.053211540915072,20,1,1.0,tune
cstr,SGO,30,72,1000,9040002,2,0.19668937273739054,1000.0,11.469086520955898,20,1,1.0,tune
cstr,GWO,8,130,1000,9001000,0,0.1966796058211297,1000.0,13.48464307753602,20,1,1.0,tune
cstr,GWO,8,130,1000,9001001,1,0.19670429889136992,1000.0,13.590269030537456,20,1,1.0,tune
cstr,GWO,8,130,1000,9001002,2,0.19668958853643426,1000.0,13.30170379835181,20,1,1.0,tune
cstr,GWO,10,105,1000,9011000,0,0.19669945787940857,1000.0,13.31552201823797,20,1,1.0,tune
cstr,GWO,10,105,1000,9011001,1,0.1966879855203948,1000.0,13.14075153117301,20,1,1.0,tune
cstr,GWO,10,105,1000,9011002,2,0.19668478549037322,1000.0,13.269379620614927,20,1,1.0,tune
