system,condition,alg,n,nrmse_mean,nrmse_median,nrmse_std,reference_nrmse,fe_exact,median_drift,p90_drift,max_drift,frac_non_benign,rank,relative_excess_vs_reference
hvac,process_disturbance,SGO,10,0.04434287448847979,0.043535880436763146,0.006382034967775727,0.03636963376125622,True,0.008521355430073183,0.05963370276975721,0.45410583590441456,0.8671679197994987,4,0.21922796307388953
hvac,process_disturbance,WOA,10,0.04314684788288518,0.04394605717291631,0.0062038623937564034,0.03636963376125622,True,0.008521355430073183,0.05963370276975721,0.45410583590441456,0.8671679197994987,3,0.18634265514239443
hvac,reference_event,GWO,10,0.04126477214686194,0.04126403644252999,2.181954186307292e-06,0.0412631911061791,True,5.923393338026096e-05,6.222075759717533e-05,0.43237808911309433,0.002506265664160401,3,3.8316006117199755e-05
hvac,reference_event,PSO,10,0.041252169653068035,0.04125460167449023,9.51801934023762e-06,0.0412631911061791,True,5.923393338026096e-05,6.222075759717533e-05,0.43237808911309433,0.002506265664160401,1,-0.0002671013272507676
hvac,reference_event,SGO,10,0.041269044962871176,0.04126869023335261,3.944363165734826e-06,0.0412631911061791,True,5.923393338026096e-05,6.222075759717533e-05,0.43237808911309433,0.002506265664160401,4,0.0001418663107517608
hvac,reference_event,WOA,10,0.04126318845043675,0.0412631949926897,5.7895596116132434e-08,0.0412631911061791,True,5.923393338026096e-05,6.222075759717533e-05,0.43237808911309433,0.002506265664160401,2,-6.436105102542112e-08
uav,measurement_noise,GWO,10,0.0014608709175097604,0.0014651809288801366,4.476270315247136e-05,0.001432390048719209,True,2.9580397816204878,7.1637265989301016,183.71602078934706,1.0,1,0.01988345898941283
uav,measurement_noise,PSO,10,0.004939769667856081,0.00345610372586198,0.0037139938304627776,0.001432390048719209,True,2.9580397816204878,7.1637265989301016,183.71602078934706,1.0,4,2.448620487326789
uav,measurement_noise,SGO,10,0.0015810551083011645,0.0015925420802003873,6.030925654784104e-05,0.001432390048719209,True,2.9580397816204878,7.1637265989301016,183.71602078934706,1.0,2,0.1037881125430091
uav,measurement_noise,WOA,10,0.0025410936602259905,0.002528157828887021,0.00024802122704417064,0.001432390048719209,True,2.9580397816204878,7.1637265989301016,183.71602078934706,1.0,3,0.7740235367441598
uav,nominal,GWO,10,0.0011365612716659702,0.001136420680467628,1.4418549245943508e-06,0.0011383115947594536,True,1.1645837515077677e-17,0.0011481534237691995,12.449478188524942,0.12781954887218044,1,-0.001537648480030885
uav,nominal,PSO,10,0.0033926044793244894,0.0014640180097449718,0.0035724383762282858,0.0011383115947594536,True,1.1645837515077677e-17,0.0011481534237691995,12.449478188524942,0.12781954887218044,4,1.9803829592383353
uav,nominal,SGO,10,0.0012968881329583613,0.0013079261121978604,6.665978555011877e-05,0.0011383115947594536,True,1.1645837515077677e-17,0.0011481534237691995,12.449478188524942,0.12781954887218044,2,0.13930855042587686
uav,nominal,WOA,10,0.0015998969720047267,0.001608441539514877,0.00019425026928063165,0.0011383115947594536,True,1.1645837515077677e-17,0.0011481534237691995,12.449478188524942,0.12781954887218044,3,0.40550002246337
uav,process_disturbance,GWO,10,0.0066566737165153714,0.006532493584097527,0.0003474450133581816,0.006728507719622423,True,2.1444973056154866,6.727090729495545,42.94451085002764,1.0,2,-0.01067606757699949
uav,process_disturbance,PSO,10,0.009055776114680057,0.007442031658267268,0.004016956249041368,0.006728507719622423,True,2.1444973056154866,6.727090729495545,42.94451085002764,1.0,4,0.3458818050056767
uav,process_disturbance,SGO,10,0.006514864306224985,0.006535235884849912,0.00030156558009299854,0.006728507719622423,True,2.1444973056154866,6.727090729495545,42.94451085002764,1.0,1,-0.031751975668302714
uav,process_disturbance,WOA,10,0.0070986019839160515,0.007080305408832451,0.00042233897270949343,0.006728507719622423,True,2.1444973056154866,6.727090729495545,42.94451085002764,1.0,3,0.055003914644300426
uav,reference_event,GWO,10,0.029418316159187545,0.029416628293470214,5.847355530312063e-06,0.02941726141456163,True,3.8002211251962625e-08,0.07249178384891972,12.449478188524942,0.2957393483709273,1,3.58546164800794e-05
uav,reference_event,PSO,10,0.03411947802503139,0.030877867422828213,0.0062995962518821134,0.02941726141456163,True,3.8002211251962625e-08,0.07249178384891972,12.449478188524942,0.2957393483709273,4,0.15984549153654887
uav,reference_event,SGO,10,0.02955544049215586,0.029545346351933552,5.956479947368426e-05,0.02941726141456163,True,3.8002211251962625e-08,0.07249178384891972,12.449478188524942,0.2957393483709273,2,0.004697210785427813
uav,reference_event,WOA,10,0.02989829478533084,0.029777115021495645,0.0003290011600360492,0.02941726141456163,True,3.8002211251962625e-08,0.07249178384891972,12.449478188524942,0.2957393483709273,3,0.016352078597333206
