system,Nc,dim,alg,n,median_gap,q1,q3,conv_rate,first_ctrl_err,cond_H,lambda_min,n_active_reference,time_ms,fe_exact
flight,8,16,WOA,80,0.0049241380220773874,1.9797183580135604e-05,0.0683419231596353,0.5,0.3061032418381763,62.750618383560585,0.02002156762322977,0.0,7.922674994915724,True
hvac,1,3,GWO,80,2.346292989468049e-06,2.538030653715523e-07,9.140636602178504e-06,1.0,0.01525665154492104,1.0000000025254252,0.02015975703252567,0.75,17.116468981839716,True
hvac,1,3,PSO,80,1.9194245120396358e-08,1.214443910019236e-10,8.651014426344517e-06,1.0,0.0013793828524874315,1.0000000025254252,0.02015975703252567,0.75,4.439083015313372,True
hvac,1,3,SGO,80,2.301246209425164e-05,7.432515854539131e-06,0.00012178334885976517,0.725,0.11256672451511887,1.0000000025254252,0.02015975703252567,0.75,11.513301025843248,True
hvac,1,3,WOA,80,1.505407956747484e-06,8.031239006715542e-15,3.212713252331422e-05,0.8625,0.027462281221150547,1.0000000025254252,0.02015975703252567,0.75,7.679474510950968,True
hvac,2,6,GWO,80,2.970464243279465e-05,8.521458826782173e-06,0.00010284595688912197,0.7375,0.03563414688666486,1.0151791644297803,0.020003947617365566,1.5,29.175596486311406,True
hvac,2,6,PSO,80,0.00011749964314279257,2.9909197217055025e-06,0.000752850962234938,0.475,0.05247442662128522,1.0151791644297803,0.020003947617365566,1.5,4.637574485968798,True
hvac,2,6,SGO,80,0.002133444082842712,0.0009569572379752827,0.005060700790982796,0.15,0.35655781914363077,1.0151791644297803,0.020003947617365566,1.5,11.879515514010563,True
hvac,2,6,WOA,80,0.00030722771443932213,1.6691234950457398e-05,0.0006111379675823226,0.2875,0.13863167396270426,1.0151791644297803,0.020003947617365566,1.5,7.864114973926917,True
hvac,3,9,GWO,80,0.00011722722885004061,5.455912116431906e-05,0.0006787525857607868,0.4375,0.05024378992384525,1.0221092883013188,0.02000265849588253,2.25,40.69913650164381,True
hvac,3,9,PSO,80,0.0021749877215901624,0.0004640809169599233,0.004772751486575943,0.2375,0.2024185738162595,1.0221092883013188,0.02000265849588253,2.25,4.680870479205623,True
hvac,3,9,SGO,80,0.019321287929800788,0.010511923163344958,0.11138267269133126,0.0625,0.8911427649672514,1.0221092883013188,0.02000265849588253,2.25,12.020752008538693,True
hvac,3,9,WOA,80,0.0009008245853151103,0.000122506398215292,0.0017484060688266509,0.25,0.15309735582484446,1.0221092883013188,0.02000265849588253,2.25,7.851585978642106,True
hvac,5,15,GWO,80,0.0022638461777564523,0.0011679546243175522,0.0035697874754124998,0.0,0.09983539084143588,1.03429955735392,0.02000220982308542,3.75,64.10765700275078,True
hvac,5,15,PSO,80,0.01844859916575104,0.0069573250939528025,0.02470932672823025,0.225,0.762705180174876,1.03429955735392,0.02000220982308542,3.75,4.739215481095016,True
hvac,5,15,SGO,80,0.0858179824951393,0.03714199679757979,0.3506375892126319,0.0,1.236657522152416,1.03429955735392,0.02000220982308542,3.75,12.024402531096712,True
hvac,5,15,WOA,80,0.0017920354046455783,0.0006034578201011831,0.005052094028415008,0.25,0.18441519689565616,1.03429955735392,0.02000220982308542,3.75,7.817348989192396,True
hvac,8,24,GWO,80,0.009455000035645266,0.006144520073496753,0.02063578761969275,0.0,0.4402268749039351,1.0487318514720991,0.02000207888848934,3.0,99.05702900141478,True
hvac,8,24,PSO,80,0.05342605907432357,0.033282648789298895,0.07685032792656438,0.0,0.8755412544715659,1.0487318514720991,0.02000207888848934,3.0,5.001374025596306,True
hvac,8,24,SGO,80,0.1935322573786022,0.06789935903678215,0.5247105923485743,0.0,3.471072703263552,1.0487318514720991,0.02000207888848934,3.0,12.139614002080634,True
hvac,8,24,WOA,80,0.006159594743244828,0.003688416141681697,0.013303945274127909,0.0,0.2681947862510323,1.0487318514720991,0.02000207888848934,3.0,7.909698964795098,True
pendcart,1,1,GWO,80,1.2743340542524695e-15,4.355030238065642e-18,1.0467200336802926e-11,1.0,1.001066487148726e-07,1.0,0.253939042026306,0.25,34.42948151496239,True
pendcart,1,1,PSO,80,3.1176046226763586e-09,4.756369960116094e-12,1.6505416911642e-08,1.0,0.00015668233268877535,1.0,0.253939042026306,0.25,24.387284996919334,True
pendcart,1,1,SGO,80,1.3704885368447555e-12,1.4277958121948548e-16,3.304950109013133e-09,1.0,3.247426762101926e-06,1.0,0.253939042026306,0.25,40.10423200088553,True
pendcart,1,1,WOA,80,7.576794499202503e-18,1.8096643851128863e-21,2.2674512956252432e-14,1.0,7.725354373938165e-09,1.0,0.253939042026306,0.25,32.288536516716704,True
pendcart,2,2,GWO,80,7.371765626003459e-10,1.552815477409228e-10,1.9834418888529084e-09,1.0,0.0003378038146151785,1.4982015758236493,0.20097742880377573,1.0,39.057601476088166,True
pendcart,2,2,PSO,80,2.2432121663664898e-10,5.5564317225439336e-11,1.4188135881182204e-09,1.0,0.0001819794255703,1.4982015758236493,0.20097742880377573,1.0,24.406350508797914,True
pendcart,2,2,SGO,80,1.4698492400259355e-06,2.0440682519091944e-07,6.337518386574071e-06,0.9375,0.016197326381678534,1.4982015758236493,0.20097742880377573,1.0,40.43413698673248,True
pendcart,2,2,WOA,80,6.17382372409948e-13,1.3933738864800147e-14,1.828033137891501e-11,0.825,8.921166882558396e-06,1.4982015758236493,0.20097742880377573,1.0,32.488643017131835,True
pendcart,3,3,GWO,80,2.9193004844650388e-09,2.1891504088789943e-10,1.0702411809908106e-08,1.0,0.001088684002807594,1.705632068644134,0.2003501482014924,2.0,43.702638475224376,True
pendcart,3,3,PSO,80,1.3630185464400827e-10,2.335849530668244e-11,8.479337004136539e-10,1.0,0.00023526182922573025,1.705632068644134,0.2003501482014924,2.0,24.837446020683274,True
pendcart,3,3,SGO,80,7.0122645261577896e-06,4.529791596169965e-07,0.0032877773592897954,0.6625,0.054694265971519274,1.705632068644134,0.2003501482014924,2.0,40.86349651333876,True
pendcart,3,3,WOA,80,0.006490615633871608,7.350108861873698e-14,0.07063930501597612,0.45,1.7808863418837122,1.705632068644134,0.2003501482014924,2.0,32.56042202701792,True
pendcart,5,5,GWO,80,4.0090375992035254e-08,5.762871482562041e-09,1.0704969894748299e-06,0.7875,0.00680169352796689,2.020082780264502,0.20028676612631413,4.0,51.05743947206065,True
pendcart,5,5,PSO,80,9.612643035882705e-11,8.827218445691058e-12,4.333837811008721e-10,0.9375,0.00034855655510546146,2.020082780264502,0.20028676612631413,4.0,25.072657503187656,True
