system,k,stratum,role,plateau,budget_fe,variant,n,median_gap,q1,q3,conv_rate,incumbent_return,improvement_median,first_ctrl_err,time_ms,fe_exact
flight,7,High,plateau,True,5000,A_no_greedy,30,0.0005683439277313902,0.00023274512449609588,0.0009069794716105159,0.06666666666666667,0.0,0.9496135643217014,0.10383444903212848,68.76099848886952,True
flight,7,High,plateau,True,5000,B_no_bridge,30,0.0001221936565554976,5.9468166788611257e-05,0.0018276212282874443,0.4666666666666667,0.0,0.9891669418534905,0.06539725922827519,75.36365848500282,True
flight,7,High,plateau,True,5000,C_fitness_group,30,1.3621419620063974e-05,5.367456553397164e-06,2.921385679888883e-05,0.9666666666666667,0.0,0.9987923953260607,0.020811126270850216,88.02043547620997,True
flight,7,High,plateau,True,5000,D_no_warm_slot,30,0.00022105519355530026,4.0167135675325416e-05,0.0015586692340357475,0.4,0.0,0.9804023888565374,0.059874738623092845,67.70660349866375,True
flight,7,High,plateau,True,5000,baseline,30,0.00018497170240588256,3.713920399121108e-05,0.0006392277227710072,0.43333333333333335,0.0,0.9836013647180476,0.05548667898790692,67.57378901238553,True
flight,130,Benign,benign_reliable,False,1000,A_no_greedy,30,2.1871779318559203e-09,6.480497411340412e-10,8.37774250455261e-09,1.0,0.3333333333333333,0.7389299169002458,0.00021244322408888594,13.702468480914831,True
flight,130,Benign,benign_reliable,False,1000,B_no_bridge,30,3.3405956779607752e-09,4.96574603681141e-10,6.960790242971616e-09,1.0,0.03333333333333333,0.6012534789486204,0.00028914094311973076,14.853306522127241,True
flight,130,Benign,benign_reliable,False,1000,C_fitness_group,30,8.37774250455261e-09,8.37774250455261e-09,8.37774250455261e-09,1.0,1.0,1.8412196429381906e-12,0.0006475243912628444,17.340284975944087,True
flight,130,Benign,benign_reliable,False,1000,D_no_warm_slot,30,7.884990735102875e-12,1.3903671377618578e-12,6.107589131494343e-11,1.0,0.0,0.9990588167718447,1.4031918106993542e-05,13.405664474703372,True
flight,130,Benign,benign_reliable,False,1000,baseline,30,2.0147063913579156e-11,3.2030338043018684e-12,6.759018183846738e-11,1.0,0.0,0.997595167922314,2.765589586165627e-05,13.38823846890591,True
hvac,0,Benign,benign_reliable,False,1000,A_no_greedy,30,0.0,0.0,0.0,0.8666666666666667,0.0,1.0,0.0,11.846869980217889,True
hvac,0,Benign,benign_reliable,False,1000,B_no_bridge,30,0.281125316429144,0.1992402616475999,0.3762522520914528,0.0,0.0,0.7188746835708559,35.85885318412851,12.723594496492296,True
