system,k,stratum,drift_warm_gap,alg,NP,budget_fe,trial,seed,J_star,J,norm_gap,converged_1e4,first_control_error,realized_fe,fe_exact,time_ms
uav,0,Severe,12.449478195019829,GWO,30,2000,27,21001027,-1866.5028362955595,-1865.363662411863,0.0006103252893830965,False,0.00934989608891755,2000,True,43.85053500300273
uav,0,Severe,12.449478195019829,GWO,30,2000,28,21001028,-1866.5028362955595,-1866.4700323205966,1.757510051686977e-05,True,0.0010586876672860313,2000,True,43.51834504632279
uav,0,Severe,12.449478195019829,GWO,30,2000,29,21001029,-1866.5028362955595,-1865.9478113684079,0.00029736088065807103,False,0.006818182386966918,2000,True,43.736883031670004
uav,0,Severe,12.449478195019829,GWO,30,5000,0,21001000,-1866.5028362955595,-1866.4364478633763,3.556835322841713e-05,True,0.002353316663333418,5000,True,110.43554096249864
uav,0,Severe,12.449478195019829,GWO,30,5000,1,21001001,-1866.5028362955595,-1866.3085177869182,0.00010410833825841282,False,0.0038994715939749585,5000,True,111.55498103471473
uav,0,Severe,12.449478195019829,GWO,30,5000,2,21001002,-1866.5028362955595,-1866.476487739765,1.4116536702873724e-05,True,0.001467205622631363,5000,True,110.63062801258639
uav,0,Severe,12.449478195019829,GWO,30,5000,3,21001003,-1866.5028362955595,-1866.230316955391,0.000146005318003961,False,0.004771578177519556,5000,True,109.9167590145953
uav,0,Severe,12.449478195019829,GWO,30,5000,4,21001004,-1866.5028362955595,-1866.402939289443,5.352095061086136e-05,True,0.002903544162653692,5000,True,110.97720800898969
uav,0,Severe,12.449478195019829,GWO,30,5000,5,21001005,-1866.5028362955595,-1866.4892403182691,7.284198569643082e-06,True,0.0009780049790249843,5000,True,110.91312201460823
uav,0,Severe,12.449478195019829,GWO,30,5000,6,21001006,-1866.5028362955595,-1866.3075658201874,0.00010461836519877939,False,0.003944675134627336,5000,True,111.1011549946852
uav,0,Severe,12.449478195019829,GWO,30,5000,7,21001007,-1866.5028362955595,-1866.4977220296437,2.740025793899205e-06,True,0.00013341721568371125,5000,True,110.68271403200924
uav,0,Severe,12.449478195019829,GWO,30,5000,8,21001008,-1866.5028362955595,-1866.4794700689015,1.2518720145318206e-05,True,0.0014022805917534146,5000,True,110.58519600192085
