system,alg,start,n,start_gap_median,start_gap_p90,frac_start_within_1e4,incumbent_return_rate,improvement_median,final_gap_median,conv_rate
flight,GWO,cold,820,0.000363555560388,1.0,0.4146341463414634,0.0,0.9999665410967905,1.0707380704635548e-08,0.9768292682926829
flight,GWO,optimizer_warm,820,1.3155759127017313e-05,0.012660265123953312,0.5853658536585366,0.006097560975609756,0.997812205927463,1.222029346059022e-08,0.9646341463414634
flight,GWO,reference_warm,820,1.3567183821879892e-05,0.0112797009766693,0.5853658536585366,0.003658536585365854,0.9981481626752512,7.631215629055908e-09,0.9780487804878049
flight,PSO,cold,820,0.000363555560388,1.0,0.4146341463414634,0.31097560975609756,0.971945749905117,4.197073316167423e-06,0.9682926829268292
flight,PSO,optimizer_warm,820,5.060133216460761e-05,0.01262903198758542,0.5597560975609757,0.2975609756097561,0.8457146858577747,4.743076216606216e-06,0.9780487804878049
flight,PSO,reference_warm,820,1.3567183821879892e-05,0.0112797009766693,0.5853658536585366,0.474390243902439,0.3256060894787417,1.7164915078650343e-06,0.975609756097561
flight,SGO,cold,820,0.000363555560388,1.0,0.4146341463414634,0.0,0.9996485597247768,1.2803925981779134e-07,0.824390243902439
flight,SGO,optimizer_warm,820,1.4456784950061911e-05,0.01596516468287407,0.5792682926829268,0.012195121951219513,0.9893773521019864,6.194590422328367e-08,0.8597560975609756
flight,SGO,reference_warm,820,1.3567183821879892e-05,0.0112797009766693,0.5853658536585366,0.00975609756097561,0.9885700425346455,1.028377558011525e-07,0.8865853658536585
flight,WOA,cold,820,0.000363555560388,1.0,0.4146341463414634,0.0,0.9998643316034691,3.7752820731065206e-08,0.9304878048780488
flight,WOA,optimizer_warm,820,1.3498897989608344e-05,0.012230971144384433,0.5804878048780487,0.0,0.9977310905368386,6.676591371382204e-09,0.9804878048780488
flight,WOA,reference_warm,820,1.3567183821879892e-05,0.0112797009766693,0.5853658536585366,0.0,0.9979993559416953,8.325385629373919e-09,0.9853658536585366
hvac,GWO,cold,640,0.029149533538306252,1.0,0.0,0.0,0.9998721535311106,4.256522095534565e-06,0.8703125
hvac,GWO,optimizer_warm,640,1.1016922619906666e-06,0.00018276483679515002,0.8421875,0.7078125,0.0,7.91659268308334e-07,0.925
hvac,GWO,reference_warm,640,7.526054117759641e-08,5.770813334890035e-05,0.96875,0.903125,0.0,2.979337801987947e-08,1.0
hvac,PSO,cold,640,0.029149533538306252,1.0,0.0,0.0,0.9999995843467349,1.5875906271903273e-08,0.9921875
hvac,PSO,optimizer_warm,640,3.819382756245493e-08,3.621624608517326e-05,0.96875,0.1140625,0.9672118345534808,6.112909241295926e-10,1.0
hvac,PSO,reference_warm,640,7.526054117759641e-08,5.770813334890035e-05,0.96875,0.128125,0.9583445928469282,5.816378297794653e-10,1.0
hvac,SGO,cold,640,0.029149533538306252,1.0,0.0,0.0,0.9966385185376734,0.0001480441646314,0.403125
hvac,SGO,optimizer_warm,640,1.2190334311150408e-05,0.0004826098994697001,0.746875,0.8375,0.0,9.75242396267749e-06,0.796875
hvac,SGO,reference_warm,640,7.526054117759641e-08,5.770813334890035e-05,0.96875,0.9390625,0.0,2.979337801987947e-08,1.0
hvac,WOA,cold,640,0.029149533538306252,1.0,0.0,0.0,0.9987180317278104,5.2998051647497324e-05,0.6375
hvac,WOA,optimizer_warm,640,9.675901426441091e-08,6.881585715289537e-05,0.9609375,0.03125,0.8195144007394362,3.5507070807877517e-09,1.0
hvac,WOA,reference_warm,640,7.526054117759641e-08,5.770813334890035e-05,0.96875,0.03125,0.9657902673199668,2.555449723357084e-10,1.0
