system,stratum,alg,start,n,instances,start_gap_median,final_gap_median,final_gap_iqr,conv_rate,trivial_start_rate,incumbent_return_rate,improvement_median,first_ctrl_err_median,time_ms_median,fe_exact
cstr,High,SGO,reference_warm,180,9,0.023770911507608912,6.784394544628495e-05,0.0002487280678508589,0.5444444444444444,0.0,0.0,0.996943407566764,0.0010076869556991108,12.649748503463343,True
cstr,High,WOA,cold,180,9,1.0,6.781896069743113e-10,0.6824328185554049,0.5722222222222222,0.0,0.0,0.9999999992957231,2.0147586851093635e-06,8.446777996141464,True
cstr,High,WOA,optimizer_warm,180,9,0.024236884402261107,2.5181226550644806e-11,2.4032369548169444e-10,0.9222222222222223,0.0,0.0,0.9999999993112363,4.1030325347718444e-07,8.405023996601813,True
cstr,High,WOA,reference_warm,180,9,0.023770911507608912,3.1494771800680066e-11,5.945551378705477e-10,0.9111111111111111,0.0,0.0,0.9999999990177889,4.802246795637677e-07,8.446418505627662,True
cstr,Moderate,GWO,cold,80,4,0.2801878602701604,6.79108223847159e-08,2.1723218811969813e-07,1.0,0.0,0.0,0.9999993857808704,1.8919378705052614e-05,14.2955159972189,True
cstr,Moderate,GWO,optimizer_warm,80,4,0.00797808860388019,7.8955771818821e-08,1.8472609209847128e-07,1.0,0.0,0.0,0.9999951136987977,1.6630186988764867e-05,14.315573498606682,True
cstr,Moderate,GWO,reference_warm,80,4,0.00812232067606361,4.755708806684737e-08,1.7147101850911728e-07,1.0,0.0,0.0,0.9999962298514644,1.549850079624049e-05,14.31291400513146,True
cstr,Moderate,PSO,cold,80,4,0.2801878602701604,1.0186296250935811e-14,6.467194835213519e-11,1.0,0.0,0.0,0.9999999999999676,4.597195478461824e-09,4.81092999689281,True
cstr,Moderate,PSO,optimizer_warm,80,4,0.009364009052813593,3.780309398848658e-14,6.241835032779613e-11,0.9875,0.0,0.0,0.999999999993517,8.893338891702296e-09,4.7063144884305075,True
cstr,Moderate,PSO,reference_warm,80,4,0.00812232067606361,1.124100812432971e-14,2.7905975165214147e-11,1.0,0.0,0.0,0.9999999999988458,4.847424184273308e-09,4.794984502950683,True
cstr,Moderate,SGO,cold,80,4,0.2801878602701604,6.77014384498631e-05,0.0008129937124456775,0.55,0.0,0.0,0.9989724867843941,0.0012507387614251095,12.648652511416003,True
cstr,Moderate,SGO,optimizer_warm,80,4,0.009049092073639936,1.2539409059930673e-05,9.678016877158035e-05,0.75,0.0375,0.025,0.9979817663253533,0.0004486329826627612,12.718825004412793,True
cstr,Moderate,SGO,reference_warm,80,4,0.00812232067606361,1.597036190914558e-05,0.00016395594737730185,0.6875,0.0,0.0125,0.9979915033667328,0.0004596706529395797,12.628237993340008,True
cstr,Moderate,WOA,cold,80,4,0.2801878602701604,0.00093345750998008,0.18255259501993323,0.3375,0.0,0.0,0.667167890677989,0.10405619379055776,8.399197002290748,True
cstr,Moderate,WOA,optimizer_warm,80,4,0.008585434139360304,5.98562310827333e-11,6.166162018245055e-05,0.75,0.0,0.0,0.9999999895532171,3.5413290275232434e-07,8.38052001199685,True
cstr,Moderate,WOA,reference_warm,80,4,0.00812232067606361,9.434916736772436e-11,1.9178477197032335e-06,0.7625,0.0,0.0,0.9999999794593912,4.4475310552113956e-07,8.378228492802009,True
cstr,Severe,GWO,cold,40,2,1.0,3.191771515557515e-13,5.8548098286054e-08,1.0,0.0,0.0,0.9999999999996808,2.2649915776273843e-07,14.036955020856112,True
cstr,Severe,GWO,optimizer_warm,40,2,0.3561024783738303,9.983058257627163e-11,9.487480620312986e-08,1.0,0.5,0.5,0.9999998604312996,4.005413444363448e-06,14.343776521855034,True
cstr,Severe,GWO,reference_warm,40,2,0.3561024783738303,2.091806561532435e-12,6.773871112494327e-08,1.0,0.5,0.5,0.999999897773969,5.797932252082916e-07,14.27605701610446,True
cstr,Severe,PSO,cold,40,2,1.0,0.0,1.8546028562216822e-16,1.0,0.0,0.0,1.0,9.002587564310716e-11,4.7499984939349815,True
cstr,Severe,PSO,optimizer_warm,40,2,0.3561024783738303,0.0,1.8546028562216822e-16,1.0,0.5,0.5,1.0,1.4334139430971504e-10,4.778032991453074,True
cstr,Severe,PSO,reference_warm,40,2,0.3561024783738303,0.0,1.8546028562216822e-16,1.0,0.5,0.5,1.0,4.6193826541696126e-11,4.7695749963168055,True
cstr,Severe,SGO,cold,40,2,1.0,2.066720763758304e-07,9.50164976324872e-05,0.75,0.0,0.0,0.9999997933279237,0.00018224518133325152,12.552964501082897,True
cstr,Severe,SGO,optimizer_warm,40,2,0.3561024783738303,7.363530944466845e-10,6.959675886234085e-05,0.775,0.5,0.5,0.9998937894823099,1.0878229826649655e-05,12.504698504926637,True
cstr,Severe,SGO,reference_warm,40,2,0.3561024783738303,4.9337675506755997e-08,9.811895037916063e-05,0.75,0.5,0.5,0.9998495006758652,8.904396595743602e-05,12.52982699952554,True
cstr,Severe,WOA,cold,40,2,1.0,3.762989195273793e-13,0.011361601605713482,0.725,0.0,0.0,0.9999999999996236,2.45961055966859e-07,8.406025503063574,True
cstr,Severe,WOA,optimizer_warm,40,2,0.3561024783738303,3.0656585213344405e-13,5.900015610948053e-10,0.825,0.5,0.5,0.9999999991007682,2.219784425161464e-07,8.500868003466167,True
cstr,Severe,WOA,reference_warm,40,2,0.3561024783738303,9.273014281108411e-17,4.901543798229706e-10,0.8,0.5,0.5,0.9999999990616757,5.343762043974465e-09,8.552111015887931,True
flight,Benign,GWO,cold,480,24,4.365997068311799e-06,2.1521013683385777e-10,6.161585320841624e-09,1.0,0.6666666666666666,0.0,0.9999638465050074,8.273984711936148e-05,14.19099599297624,True
flight,Benign,GWO,optimizer_warm,480,24,9.851250069419159e-08,2.9170404147708437e-10,8.481401849211563e-09,1.0,0.9979166666666667,0.010416666666666666,0.9959198001165082,0.00010196246859154726,14.087421004660428,True
flight,Benign,GWO,reference_warm,480,24,1.0219835058372238e-07,2.442493663486471e-10,6.669557678353195e-09,1.0,1.0,0.00625,0.9964568637661682,8.234511366327492e-05,14.084049500524998,True
flight,Benign,PSO,cold,480,24,4.365997068311799e-06,2.863487306869641e-06,1.4587583322404112e-05,0.9791666666666666,0.6666666666666666,0.5270833333333333,0.0,0.01007529981802829,3.789265494560823,True
