system,alg,NP,mean_nrmse,std_nrmse,mean_nfe_per_step,mean_time_ms,maxIter_derived,n,selected
flight,PSO,30,0.021349585042683843,3.3131054166927046e-06,1000.0,3.5105217269544178,39,3,True
flight,SGO,8,0.0213013253066392,9.992537545788076e-05,1000.0,12.951389345625001,255,3,True
flight,SGO,10,0.021329373966009632,3.077396277890509e-05,1000.0,12.576436714282154,205,3,False
flight,SGO,14,0.02133216558390243,2.415484294085384e-05,1000.0,12.039680433873501,148,3,False
flight,SGO,20,0.021360968750737373,3.3515386803664375e-05,1000.0,11.733865553073379,105,3,False
flight,SGO,30,0.021326342416100336,3.433366262609669e-05,1000.0,11.659965318006774,72,3,False
flight,WOA,8,0.021348398319573525,2.052285803362763e-06,1000.0,7.773929648748081,130,3,False
flight,WOA,10,0.021282228211003267,0.00012802857536400847,1000.0,7.610217811112913,105,3,True
flight,WOA,14,0.02135595789224261,6.567756969385775e-06,1000.0,7.435006924853142,77,3,False
flight,WOA,20,0.021354545758510677,5.680251063110345e-06,1000.0,7.3660299361735175,55,3,False
flight,WOA,30,0.021358943508576863,9.93299209156375e-07,1000.0,7.349594546507838,39,3,False
hvac,GWO,8,0.056063874578076406,2.1558875815790445e-07,1000.0,17.39281337759975,130,3,False
hvac,GWO,10,0.05606374210562918,3.2837827311644306e-07,1000.0,17.047069343841738,105,3,False
hvac,GWO,14,0.056062628646336043,5.550542747312893e-07,1000.0,16.959990636128676,77,3,False
hvac,GWO,20,0.05606276787537553,2.6695711819327887e-07,1000.0,16.884211928628954,55,3,False
hvac,GWO,30,0.05606101209007022,7.993878320408918e-07,1000.0,16.717509260815053,39,3,True
hvac,PSO,8,0.05606066380670669,2.901980299843214e-07,1000.0,4.372802791547858,130,3,True
hvac,PSO,10,0.05606251183067951,1.1992564120625292e-06,1000.0,4.099711762282014,105,3,False
hvac,PSO,14,0.05606197207108265,7.579548886571476e-07,1000.0,3.793244755102529,77,3,False
hvac,PSO,20,0.056062408531547335,4.0280169305833985e-07,1000.0,3.567564133244256,55,3,False
hvac,PSO,30,0.05606162045705057,3.738442498341406e-07,1000.0,3.418294206203427,39,3,False
hvac,SGO,8,0.05606359380974526,4.152338264499122e-07,1000.0,12.910190355330188,255,3,False
hvac,SGO,10,0.05606366365516002,1.0321578397992306e-07,1000.0,12.374098409549333,205,3,False
hvac,SGO,14,0.0560632934511914,2.5181633369450595e-07,1000.0,12.118134618348753,148,3,False
hvac,SGO,20,0.05606216618851768,3.8275201373592727e-07,1000.0,11.707445194608427,105,3,False
hvac,SGO,30,0.056059934680169565,2.4333067900026917e-07,1000.0,11.402856637135201,72,3,True
hvac,WOA,8,0.05606454938408376,1.3643414692006139e-09,1000.0,7.542075762027203,130,3,False
hvac,WOA,10,0.05606454676066872,4.369273059236273e-09,1000.0,7.4779290972445684,105,3,False
hvac,WOA,14,0.05606455818202514,2.052358533686232e-08,1000.0,7.406805377537643,77,3,False
hvac,WOA,20,0.056064539862259066,3.273638511789598e-09,1000.0,7.360289502513802,55,3,False
hvac,WOA,30,0.056064529003537644,9.038289998211335e-09,1000.0,7.314416687987332,39,3,True
pendcart,GWO,8,0.2960568186111461,2.794726762001401e-06,1000.0,33.73728578651531,130,3,False
pendcart,GWO,10,0.29605596575553483,1.423127306350733e-07,1000.0,33.927059745247895,105,3,False
pendcart,GWO,14,0.29605781921745356,4.5543682839129145e-06,1000.0,33.4353109624418,77,3,False
pendcart,GWO,20,0.2960541275624124,1.1201075074621546e-06,1000.0,33.547458780230954,55,3,True
pendcart,GWO,30,0.2960548108257151,4.598408136608941e-06,1000.0,33.39819856867608,39,3,False
pendcart,PSO,8,0.29605581893085614,3.332172524608394e-09,1000.0,25.560860642257875,130,3,False
pendcart,PSO,10,0.29605582756849996,9.776657879525062e-09,1000.0,25.629299949440693,105,3,False
pendcart,PSO,14,0.2960557270214493,2.503364251704717e-07,1000.0,25.34987530270074,77,3,False
pendcart,PSO,20,0.2960561527572871,8.599804571061976e-07,1000.0,24.060058448166174,55,3,False
pendcart,PSO,30,0.2960510147665094,4.7530728221801785e-06,1000.0,23.592884546378627,39,3,True
pendcart,SGO,8,0.296071281449368,1.3229080864767775e-05,1000.0,39.1814371909196,255,3,False
pendcart,SGO,10,0.29606065140598137,4.26798884837402e-05,1000.0,39.02405842304385,205,3,False
pendcart,SGO,14,0.29606588837872233,2.120258246121949e-05,1000.0,38.26909045973379,148,3,False
pendcart,SGO,20,0.29604027026009083,1.924813951095192e-05,1000.0,39.2596780111651,105,3,True
pendcart,SGO,30,0.29605387645996467,1.612935682951377e-05,1000.0,38.49825493667999,72,3,False
pendcart,WOA,8,0.2960557377788122,2.1055061896395757e-07,1000.0,31.695601060119873,130,3,True
pendcart,WOA,10,0.29605589040019903,4.3258152576289023e-07,1000.0,31.032811202458106,105,3,False
pendcart,WOA,14,0.29605594068666313,1.0787664858226352e-07,1000.0,30.122316768457598,77,3,False
pendcart,WOA,20,0.296055832226591,2.88541730640017e-07,1000.0,30.083069607046326,55,3,False
pendcart,WOA,30,0.29605589522064185,2.469638415408394e-07,1000.0,29.926025629134127,39,3,False
uav,GWO,8,0.008058103422426832,4.577140455879405e-06,1000.0,20.649314238321193,130,3,False
uav,GWO,10,0.008087044197794425,5.4484764260502075e-05,1000.0,20.585513332257204,105,3,False
uav,GWO,14,0.008088027767757659,5.552354072161285e-05,1000.0,20.558216612863664,77,3,False
uav,GWO,20,0.008056112683381812,1.0296109918157573e-06,1000.0,20.699226010008715,55,3,False
uav,GWO,30,0.008054360282792864,2.378970211338375e-06,1000.0,20.282864943651173,39,3,True
uav,PSO,8,0.012557185608318469,0.003488767691593198,1000.0,4.307680716233638,130,3,False
uav,PSO,10,0.009322613958547695,0.0023048309894625556,1000.0,4.024442561921508,105,3,True
uav,PSO,14,0.009419301058166631,0.0023972040689784614,1000.0,3.789514275481148,77,3,False
uav,PSO,20,0.00954156780251774,0.00259540564921007,1000.0,3.5465456333089,55,3,False
uav,PSO,30,0.014641565162062832,0.0008087891075107213,1000.0,3.4270223886705935,39,3,False
uav,SGO,8,0.008456029103847596,2.5526719735992457e-05,1000.0,12.810012005191917,255,3,False
uav,SGO,10,0.008275940704158423,0.00010424628756460554,1000.0,12.369062429041756,205,3,False
uav,SGO,14,0.008242265133178363,0.000129653918224301,1000.0,11.942612891512303,148,3,False
uav,SGO,20,0.008142189362688254,5.057793135247048e-05,1000.0,11.520120030307831,105,3,True
