system,k,role,stratum,drift_warm_gap,plateau,variant,budget_fe,trial,seed,NP,J_star,J_start,J,norm_gap,converged_1e4,first_control_error,returned_incumbent,improvement_fraction,realized_fe,fe_exact,time_ms
flight,7,plateau,High,0.0101959682201341,True,baseline,5000,19,15010019,8,-1.120334473155334,-1.1076974353042874,-1.1131595935024334,0.006404230008823213,False,0.349730950817543,False,0.4322340616945805,5000,True,66.97015900863335
flight,7,plateau,High,0.0101959682201341,True,baseline,5000,20,15010020,8,-1.120334473155334,-1.1076974353042874,-1.1201292871808664,0.000183147068472975,False,0.05497028022839254,False,0.9837631273336241,5000,True,68.42909404076636
flight,7,plateau,High,0.0101959682201341,True,baseline,5000,21,15010021,8,-1.120334473155334,-1.1076974353042874,-1.1142929811154936,0.005392578899071992,False,0.3187384992716475,False,0.5219218213119408,5000,True,68.61920998198912
flight,7,plateau,High,0.0101959682201341,True,baseline,5000,22,15010022,8,-1.120334473155334,-1.1076974353042874,-1.1203331450657652,1.1854402418087675e-06,True,0.0037246081093442076,False,0.9998949049940011,5000,True,68.69228195864707
flight,7,plateau,High,0.0101959682201341,True,baseline,5000,23,15010023,8,-1.120334473155334,-1.1076974353042874,-1.1198866580787445,0.0003997155200698088,False,0.07520449761040403,False,0.9645632875466671,5000,True,67.34209501883015
flight,7,plateau,High,0.0101959682201341,True,baseline,5000,24,15010024,8,-1.120334473155334,-1.1076974353042874,-1.1202890953734077,4.0503780802581324e-05,True,0.021346202839041872,False,0.9964091440999758,5000,True,67.64461199054495
flight,7,plateau,High,0.0101959682201341,True,baseline,5000,25,15010025,8,-1.120334473155334,-1.1076974353042874,-1.1203328621684965,1.4379516796877825e-06,True,0.003864631067049622,False,0.9998725186347881,5000,True,65.60792401432991
flight,7,plateau,High,0.0101959682201341,True,baseline,5000,26,15010026,8,-1.120334473155334,-1.1076974353042874,-1.1203115414982372,2.0468581165930285e-05,True,0.016554089484186213,False,0.9981853613665587,5000,True,67.32953200116754
flight,7,plateau,High,0.0101959682201341,True,baseline,5000,27,15010027,8,-1.120334473155334,-1.1076974353042874,-1.1201311521729778,0.00018148239407787359,False,0.05614382868867784,False,0.9839107087631802,5000,True,66.83603598503396
flight,7,plateau,High,0.0101959682201341,True,baseline,5000,28,15010028,8,-1.120334473155334,-1.1076974353042874,-1.1190698856671708,0.001128758882694691,False,0.13713490048462368,False,0.8999300703955371,5000,True,67.02903797850013
flight,7,plateau,High,0.0101959682201341,True,baseline,5000,29,15010029,8,-1.120334473155334,-1.1076974353042874,-1.1202356976177263,8.816611465094611e-05,True,0.03641324457295768,False,0.9921836478792029,5000,True,68.2202159659937
flight,7,plateau,High,0.0101959682201341,True,A_no_greedy,5000,0,15011000,8,-1.120334473155334,-1.1076974353042874,-1.1192935128198727,0.0009291513921994404,False,0.11172953347745129,False,0.9176262390181019,5000,True,69.13133995840326
flight,7,plateau,High,0.0101959682201341,True,A_no_greedy,5000,1,15011001,8,-1.120334473155334,-1.1076974353042874,-1.1177776767497907,0.002282172392983925,False,0.3319009961655484,False,0.7976743889129402,5000,True,68.37191298836842
flight,7,plateau,High,0.0101959682201341,True,A_no_greedy,5000,2,15011002,8,-1.120334473155334,-1.1076974353042874,-1.1161398590597098,0.0037440730390187493,False,0.31725528505810474,False,0.6680698321025614,5000,True,68.22361302329227
flight,7,plateau,High,0.0101959682201341,True,A_no_greedy,5000,3,15011003,8,-1.120334473155334,-1.1076974353042874,-1.1200877066577386,0.00022026145183265202,False,0.044058691184970265,False,0.9804727578959552,5000,True,68.02763900486752
flight,7,plateau,High,0.0101959682201341,True,A_no_greedy,5000,4,15011004,8,-1.120334473155334,-1.1076974353042874,-1.1201526090030616,0.00016233022961454258,False,0.058471783220496856,False,0.9856086406944383,5000,True,67.87261500721797
flight,7,plateau,High,0.0101959682201341,True,A_no_greedy,5000,5,15011005,8,-1.120334473155334,-1.1076974353042874,-1.1199678748941218,0.00032722215552264414,False,0.08535887287274745,False,0.9709901746332227,5000,True,68.75239597866312
flight,7,plateau,High,0.0101959682201341,True,A_no_greedy,5000,6,15011006,8,-1.120334473155334,-1.1076974353042874,-1.1196473034995613,0.0006133611633294534,False,0.11800562290405353,False,0.9456225688430823,5000,True,69.16680099675432
flight,7,plateau,High,0.0101959682201341,True,A_no_greedy,5000,7,15011007,8,-1.120334473155334,-1.1076974353042874,-1.1194125205368937,0.0008229262247404524,False,0.08502980803701546,False,0.9270436134395251,5000,True,68.87919403379783
flight,7,plateau,High,0.0101959682201341,True,A_no_greedy,5000,8,15011008,8,-1.120334473155334,-1.1076974353042874,-1.1201978840085927,0.0001219181860543963,False,0.03452143377805821,False,0.9891913636446065,5000,True,68.4253639774397
flight,7,plateau,High,0.0101959682201341,True,A_no_greedy,5000,9,15011009,8,-1.120334473155334,-1.1076974353042874,-1.1201846563986735,0.0001337250260973709,False,0.03476704986852001,False,0.9881446302190133,5000,True,68.71063797734678
flight,7,plateau,High,0.0101959682201341,True,A_no_greedy,5000,10,15011010,8,-1.120334473155334,-1.1076974353042874,-1.1195230230949726,0.0007242926820558624,False,0.08642219158312556,False,0.9357879536386671,5000,True,67.96294497326016
