system,k,Nc,P,J_zero,J_hold,J_abs_diff,J_rel_diff,U_inf_diff,U_norm_diff,first_control_diff,first_control_diff_rel_range,osqp_status_zero,osqp_status_hold,lbfgsb_rel_zero,lbfgsb_rel_hold,spread_zero,spread_hold,worst_cart_zero,worst_cart_hold,n_active_zero,n_active_hold
cstr,28,1,20,-8.304928138510402e-25,-3.8139596712993874e-25,4.490968467211015e-25,4.490968467211015e-25,3.255801040541475e-12,3.2574676868828677e-12,3.2574676868828677e-12,1.6287338434414338e-12,solved,solved,8.304928138510402e-25,3.8139596712993874e-25,9.582120383268872e-14,1.2478712840173977e-10,,,0,0
cstr,33,1,20,-1.3872357087398231e-33,-6.347823758506982e-34,7.524533328891249e-34,7.524533328891249e-34,1.3443606505601543e-16,1.3450503126290766e-16,1.3450503126290766e-16,6.725251563145383e-17,solved,solved,1.3872357087398231e-33,6.347823758506982e-34,9.590688456981656e-14,1.2478766293475785e-10,,,0,0
cstr,37,1,20,-1.3194768160670224e-40,-6.037767215088483e-41,7.157000945581741e-41,7.157000945581741e-41,4.14611691431781e-20,4.148243887885454e-20,4.148243887885454e-20,2.074121943942727e-20,solved,solved,1.3194768160670224e-40,6.037767215088483e-41,9.58162597436277e-14,1.2478818614619786e-10,,,0,0
cstr,41,1,20,-1.2550275754651074e-47,-5.742855241490152e-48,6.807420513160922e-48,6.807420513160922e-48,1.2786959704622092e-23,1.2793519463033231e-23,1.2793519463033231e-23,6.3967597315166154e-24,solved,solved,1.2550275754651074e-47,5.742855241490152e-48,9.581628974620839e-14,1.2478712316802382e-10,,,0,0
cstr,45,1,20,-1.193726328494915e-54,-5.462348108137161e-55,6.474915176811989e-55,6.474915176811989e-55,3.943601733057567e-27,3.945624815575709e-27,3.945624815575709e-27,1.9728124077878544e-27,solved,solved,1.193726328494915e-54,5.462348108137161e-55,9.595600614562568e-14,1.2478822202001473e-10,,,0,0
cstr,49,1,20,-1.1354193128496453e-61,-5.195542217206857e-62,6.158650911289596e-62,6.158650911289596e-62,1.2162386515813511e-30,1.2168625865830215e-30,1.2168625865830215e-30,6.084312932915107e-31,solved,solved,1.1354193128496453e-61,5.195542217206857e-62,9.597454526690244e-14,1.247871937501099e-10,,,0,0
cstr,53,1,20,-1.0799602766719454e-68,-4.941768337789861e-69,5.857834428929593e-69,5.857834428929593e-69,3.7509783130497096e-34,3.7529025790290676e-34,3.7529025790290676e-34,1.8764512895145338e-34,solved,solved,1.0799602766719454e-68,4.941768337789861e-69,9.604898863299104e-14,1.2478776295709422e-10,,,0,0
cstr,57,1,20,-1.0272101117094279e-75,-4.70038992725396e-76,5.571711189840319e-76,5.571711189840319e-76,1.1568320318282582e-37,1.1574254910106091e-37,1.1574254910106091e-37,5.787127455053046e-38,solved,solved,1.0272101117094279e-75,4.70038992725396e-76,9.607442953661452e-14,1.2478921993646804e-10,,,0,0
cstr,61,1,20,-9.770365043886097e-83,-4.4708015346004985e-83,5.299563509285599e-83,5.299563509285599e-83,3.567763495747435e-41,3.5695937718365764e-41,3.5695937718365764e-41,1.7847968859182882e-41,solved,solved,9.770365043886097e-83,4.4708015346004985e-83,9.584390814971333e-14,1.2478748978794762e-10,,,0,0
cstr,66,1,20,-1.6320188507655534e-91,-7.46792197602217e-92,8.852266531633364e-92,8.852266531633364e-92,1.4581535109122716e-45,1.4589015491464487e-45,1.4589015491464487e-45,7.294507745732244e-46,solved,solved,1.6320188507655534e-91,7.46792197602217e-92,9.581677342130705e-14,1.2478702593066052e-10,,,0,0
cstr,70,1,20,-1.552303637660603e-98,-7.103154748308783e-99,8.419881628297249e-99,8.419881628297249e-99,4.497063293801596e-49,4.499370304181575e-49,4.499370304181575e-49,2.2496851520907874e-49,solved,solved,1.552303637660603e-98,7.103154748308783e-99,9.583276142103269e-14,1.2478739636294401e-10,,,0,0
cstr,74,1,20,-1.4764820776206033e-105,-6.756204408725699e-106,8.008616367480335e-106,8.008616367480335e-106,1.3869306706812341e-52,1.3876421713305541e-52,1.3876421713305541e-52,6.938210856652771e-53,solved,solved,1.4764820776206033e-105,6.756204408725699e-106,9.581678665935357e-14,1.2478723496475864e-10,,,0,0
cstr,78,1,20,-1.4043639869453607e-112,-6.426200699534635e-113,7.617439169918972e-113,7.617439169918972e-113,4.2774062974110205e-56,4.279600622925877e-56,4.279600622925877e-56,2.1398003114629386e-56,solved,solved,1.4043639869453607e-112,6.426200699534635e-113,9.581625973000567e-14,1.247889175944634e-10,,,0,0
cstr,82,1,20,-1.3357684713704137e-119,-6.112315870337719e-120,7.245368843366418e-120,7.245368843366418e-120,1.3191866774526505e-59,1.3198634251787073e-59,1.3198634251787073e-59,6.599317125893537e-60,solved,solved,1.3357684713704137e-119,6.112315870337719e-120,9.583172087770859e-14,1.2478699277318662e-10,,,0,0
cstr,86,1,20,-1.270523472328731e-126,-5.813762601825919e-127,6.891472121461391e-127,6.891472121461391e-127,4.068478346379853e-63,4.070565491070201e-63,4.070565491070201e-63,2.0352827455351006e-63,solved,solved,1.270523472328731e-126,5.813762601825919e-127,9.595768992844599e-14,1.2478779155681615e-10,,,0,0
cstr,90,1,20,-1.2084653353752014e-133,-5.529792030941378e-134,6.554861322810636e-134,6.554861322810636e-134,1.2547516085384312e-66,1.2553953008318403e-66,1.2553953008318403e-66,6.276976504159201e-67,solved,solved,1.2084653353752014e-133,5.529792030941378e-134,9.582260480175695e-14,1.2478844474407587e-10,,,0,0
cstr,94,1,20,-1.1494383996910888e-140,-5.259691872499072e-141,6.234692124411816e-141,6.234692124411816e-141,3.869755385402727e-70,3.8717405844668385e-70,3.8717405844668385e-70,1.9358702922334193e-70,solved,solved,1.1494383996910888e-140,5.259691872499072e-141,9.582136098308961e-14,1.2478854063831276e-10,,,0,0
cstr,99,1,20,-1.919994931267711e-149,-8.785665885133266e-150,1.0414283427543844e-149,1.0414283427543844e-149,1.5815783216355091e-74,1.5823896772617001e-74,1.5823896772617001e-74,7.9119483863085005e-75,solved,solved,1.919994931267711e-149,8.785665885133266e-150,9.581712597263326e-14,1.2478731895762974e-10,,,0,0
flight,0,1,20,-7.344862983109915,-19.594605829218175,12.249742846108258,1.6677973264140524,4.774816653674952,5.782073196558765,5.782073196558765,0.2891036598279383,solved,solved,1.2092511756074425e-16,7.252432041277259e-16,1.7763568394002505e-14,1.7912782368512126e-11,,,1,0
flight,6,1,20,-1.3705061514015333,-4.841309079818119,3.4708029284165858,2.532497154330323,3.5011975933144583,4.093724337895686,4.093724337895686,0.20468621689478428,solved,solved,0.0,0.0,1.7319479184152442e-14,7.238654120556021e-13,,,0,0
flight,12,1,20,-0.33530274203147536,-0.9335862610593207,0.5982835190278454,0.5982835190278454,2.0512660437363577,2.3757073521408487,2.3757073521408487,0.11878536760704243,solved,solved,5.551115123125783e-17,1.3322676295501878e-15,2.4980018054066022e-15,3.4638958368304884e-14,,,0,0
flight,18,1,20,-0.00943811182981002,-0.0015624688061006478,0.007875643023709373,0.007875643023709373,0.6672449101312043,0.7577316671388437,0.7577316671388437,0.037886583356942186,solved,solved,1.734723475976807e-18,2.1571286423771596e-15,1.734723475976807e-17,4.9164231713527684e-15,,,0,0
flight,24,1,20,-0.03873049791193491,-0.23174790202235385,0.19301740411041893,0.19301740411041893,0.2927458775347467,0.35703850503488216,0.35703850503488216,0.01785192525174411,solved,solved,6.938893903907228e-18,8.326672684688674e-16,1.5265566588595902e-16,1.074140776324839e-14,,,0,0
flight,31,1,20,-0.06168881429849579,-0.25157720640505854,0.18988839210656275,0.18988839210656275,0.6609050237826646,0.7748930053632465,0.7748930053632465,0.038744650268162324,solved,solved,2.0816681711721685e-17,2.9976021664879227e-15,1.457167719820518e-16,1.0769163338864018e-14,,,0,0
flight,37,1,20,-0.026171673645625445,-0.08415389413471745,0.057982220489092004,0.057982220489092004,0.523767488642337,0.6087031258596803,0.6087031258596803,0.030435156292984017,solved,solved,3.469446951953614e-18,5.509481759702339e-15,3.0531133177191805e-16,5.676015213396113e-15,,,0,0
flight,43,1,20,-0.0028289667290329274,-0.004398601946383433,0.0015696352173505054,0.0015696352173505054,0.2408429994034304,0.27660126673873897,0.27660126673873897,0.013830063336936949,solved,solved,9.540979117872439e-18,4.8606951796870135e-15,1.431146867680866e-17,2.230854390106174e-15,,,0,0
flight,49,1,20,-0.000622196054550367,-0.005367857187935608,0.004745661133385241,0.004745661133385241,0.006503971507435022,0.006600994711883148,0.006600994711883148,0.0003300497355941574,solved,solved,9.215718466126788e-18,6.539907504432563e-15,8.348356728138384e-17,7.303185833862358e-16,,,0,0
flight,55,1,20,-0.0027018353138991043,-0.01261127897651428,0.009909443662615175,0.009909443662615175,0.11885005983490704,0.14048314834707779,0.14048314834707779,0.007024157417353889,solved,solved,8.239936510889834e-18,6.38378239159465e-16,1.951563910473908e-17,6.7584826624056404e-15,,,0,0
flight,62,1,20,-0.0017216276111931533,-0.006126216865718812,0.004404589254525659,0.004404589254525659,0.12462243090761703,0.14529324651423872,0.14529324651423872,0.0072646623257119364,solved,solved,4.336808689942018e-19,8.8557633448616e-16,2.8796409701215e-16,6.2536781308963896e-15,,,0,0
flight,68,1,20,-0.00036355598145809096,-0.0008901773727468549,0.0005266213912887639,0.0005266213912887639,0.07231930223286834,0.08354197407660627,0.08354197407660627,0.004177098703830313,solved,solved,2.222614453595284e-18,4.347650711666873e-17,1.315137235224917e-16,7.0435194135520796e-15,,,0,0
flight,74,1,20,-3.455217198648043e-06,-4.578699350369774e-05,4.2331776305049695e-05,4.2331776305049695e-05,0.01661812668723226,0.01857647297809862,0.01857647297809862,0.0009288236489049309,solved,solved,5.4671741580528815e-18,3.883815469750418e-15,4.115792383014953e-16,3.1801276022258573e-15,,,0,0
flight,80,1,20,-9.117579877171902e-05,-0.0004857052669091278,0.00039452946813740874,0.00039452946813740874,0.01796030470327836,0.021496162120846662,0.021496162120846662,0.0010748081060423331,solved,solved,5.271933063710765e-18,2.609674629172609e-16,5.011724542314244e-17,6.81388539341965e-15,,,0,0
flight,86,1,20,-0.0001065308747976983,-0.0004284221683633911,0.00032189129356569284,0.00032189129356569284,0.02784310154108996,0.03262331518390332,0.03262331518390332,0.0016311657591951661,solved,solved,2.168404344971009e-19,3.8914184374849725e-15,2.5222608290159654e-16,3.1835428390691867e-15,,,0,0
flight,93,1,20,-3.273523380588537e-05,-9.741815602667791e-05,6.468292222079255e-05,6.468292222079255e-05,0.019485932788170027,0.02260005894656939,0.02260005894656939,0.0011300029473284695,solved,solved,3.279711571768651e-18,1.338989683019598e-15,3.5797645230040143e-16,5.728449940962943e-15,,,0,0
flight,99,1,20,-1.8378516726306857e-06,-1.1945415634381935e-06,6.433101091924922e-07,6.433101091924922e-07,0.007460687332450153,0.008520772849482565,0.008520772849482565,0.00042603864247412826,solved,solved,8.23612486262719e-18,8.487958345757734e-16,1.0257992507723204e-17,6.213981508306843e-15,,,0,0
flight,105,1,20,-2.1627897632332526e-06,-1.443404638028658e-05,1.2271256617053328e-05,1.2271256617053328e-05,0.0015909099798743463,0.0020082818639939994,0.0020082818639939994,0.00010041409319969997,solved,solved,8.629571666626812e-18,3.4941633733544947e-16,1.09268097228752e-16,6.713850802348917e-15,,,0,0
flight,111,1,20,-4.9135961741507885e-06,-2.158346286711429e-05,1.66698666929635e-05,1.66698666929635e-05,0.005452111324553742,0.006418405618981821,0.006418405618981821,0.00032092028094909107,solved,solved,1.128247885742728e-18,2.207628746692461e-15,4.04130430563341e-16,4.856287220229502e-15,,,0,0
flight,117,1,20,-2.8634665479824715e-06,-1.0035135500717342e-05,7.171668952734871e-06,7.171668952734871e-06,0.005143851199252807,0.005993902993530262,0.005993902993530262,0.0002996951496765131,solved,solved,2.82061971435682e-19,5.796212576743287e-16,3.5724885099871e-17,6.48503332197764e-15,,,0,0
flight,124,1,20,-3.506378069743182e-07,-6.955822342145709e-07,3.449444272402527e-07,3.449444272402527e-07,0.0024629533951588804,0.002836241730517845,0.002836241730517845,0.00014181208652589225,solved,solved,2.9466158652608973e-18,2.7746447776831064e-15,1.2207068258914553e-17,4.289782373622525e-15,,,0,0
flight,130,1,20,-2.2266192207821185e-08,-2.584098574345728e-07,2.3614366522675162e-07,2.3614366522675162e-07,0.0002680401598798487,0.00028440109362379783,0.00028440109362379783,1.4220054681189892e-05,solved,solved,2.0910861187544523e-18,7.723881687775151e-18,1.969566669325512e-17,7.055301906546183e-15,,,0,0
flight,136,1,20,-1.900848442218824e-07,-9.299292377194694e-07,7.398443934975871e-07,7.398443934975871e-07,0.0009360830852548161,0.0011106272949422589,0.0011106272949422589,5.5531364747112946e-05,solved,solved,7.752442579965382e-18,6.454716106971277e-16,8.906283036813807e-16,6.419491077189405e-15,,,0,0
