system,condition,alg,trial,seed,nrmse,reference_nrmse,realized_nfe_mean,fe_exact,time_ms_mean
hvac,process_disturbance,SGO,7,16010007,0.036911214339251375,0.03636963376125622,1000.0,True,11.787914240849204
hvac,process_disturbance,SGO,8,16010008,0.04179385871806939,0.03636963376125622,1000.0,True,11.696064736606786
hvac,process_disturbance,SGO,9,16010009,0.03844375770939631,0.03636963376125622,1000.0,True,11.773526048782514
hvac,process_disturbance,GWO,0,16011000,0.0400538804995759,0.03636963376125622,1000.0,True,17.193377439543838
hvac,process_disturbance,GWO,1,16011001,0.037379097191912534,0.03636963376125622,1000.0,True,17.199249360419344
hvac,process_disturbance,GWO,2,16011002,0.03907238048286967,0.03636963376125622,1000.0,True,17.25563277504989
hvac,process_disturbance,GWO,3,16011003,0.05883320067075846,0.03636963376125622,1000.0,True,17.096825387707213
hvac,process_disturbance,GWO,4,16011004,0.04272501074338908,0.03636963376125622,1000.0,True,17.14643419982167
hvac,process_disturbance,GWO,5,16011005,0.0379228154325793,0.03636963376125622,1000.0,True,17.142396391864168
hvac,process_disturbance,GWO,6,16011006,0.04489671142081769,0.03636963376125622,1000.0,True,17.213428352552
hvac,process_disturbance,GWO,7,16011007,0.044362866187735106,0.03636963376125622,1000.0,True,16.925791814137483
hvac,process_disturbance,GWO,8,16011008,0.03926634563851217,0.03636963376125622,1000.0,True,17.18272533165873
hvac,process_disturbance,GWO,9,16011009,0.04588275695751795,0.03636963376125622,1000.0,True,17.114484053017804
hvac,process_disturbance,PSO,0,16012000,0.04245791486905854,0.03636963376125622,1000.0,True,4.523845669900766
hvac,process_disturbance,PSO,1,16012001,0.04230257634932627,0.03636963376125622,1000.0,True,4.51625320041785
hvac,process_disturbance,PSO,2,16012002,0.038958137235848574,0.03636963376125622,1000.0,True,4.510899702872848
hvac,process_disturbance,PSO,3,16012003,0.042043607072505124,0.03636963376125622,1000.0,True,4.507534102158388
hvac,process_disturbance,PSO,4,16012004,0.04138323466138192,0.03636963376125622,1000.0,True,4.470590542914579
hvac,process_disturbance,PSO,5,16012005,0.04140130631481654,0.03636963376125622,1000.0,True,4.4507035725109745
hvac,process_disturbance,PSO,6,16012006,0.042071323063488174,0.03636963376125622,1000.0,True,4.490347685205052
hvac,process_disturbance,PSO,7,16012007,0.039927128749789376,0.03636963376125622,1000.0,True,4.494899561977945
hvac,process_disturbance,PSO,8,16012008,0.04516308628992353,0.03636963376125622,1000.0,True,4.468107424618211
hvac,process_disturbance,PSO,9,16012009,0.038094384026168014,0.03636963376125622,1000.0,True,4.502538632805226
hvac,process_disturbance,WOA,0,16013000,0.05165587613138827,0.03636963376125622,1000.0,True,7.712052058777772
hvac,process_disturbance,WOA,1,16013001,0.03754654517511156,0.03636963376125622,1000.0,True,7.593408979882952
hvac,process_disturbance,WOA,2,16013002,0.051948660840046894,0.03636963376125622,1000.0,True,7.614357081329217
hvac,process_disturbance,WOA,3,16013003,0.04566497777740262,0.03636963376125622,1000.0,True,7.64622443850385
hvac,process_disturbance,WOA,4,16013004,0.04269201716562344,0.03636963376125622,1000.0,True,7.5682297196181025
hvac,process_disturbance,WOA,5,16013005,0.04702199148865196,0.03636963376125622,1000.0,True,7.5804625620367005
hvac,process_disturbance,WOA,6,16013006,0.037359531771539785,0.03636963376125622,1000.0,True,7.595461558375973
hvac,process_disturbance,WOA,7,16013007,0.03406025419911482,0.03636963376125622,1000.0,True,7.660810064407997
