system,Nc,dim,role,k,alg,NP,trial,seed,J_star,J,norm_gap,converged_1e4,first_control_error,lambda_min,lambda_max,cond_H,n_active_reference,realized_fe,fe_exact,time_ms
cstr,5,10,mid_trajectory,50,PSO,8,2,16502002,-1.389067642408316e-11,0.0,1.389067642408316e-11,True,1.1635065541696746e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,4.586302966345102
cstr,5,10,mid_trajectory,50,PSO,8,3,16502003,-1.389067642408316e-11,0.0,1.389067642408316e-11,True,1.1635065541696746e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,4.690695961471647
cstr,5,10,mid_trajectory,50,PSO,8,4,16502004,-1.389067642408316e-11,0.0,1.389067642408316e-11,True,1.1635065541696746e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,4.66395600233227
cstr,5,10,mid_trajectory,50,PSO,8,5,16502005,-1.389067642408316e-11,0.0,1.389067642408316e-11,True,1.1635065541696746e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,4.659958998672664
cstr,5,10,mid_trajectory,50,PSO,8,6,16502006,-1.389067642408316e-11,0.0,1.389067642408316e-11,True,1.1635065541696746e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,4.633834993001074
cstr,5,10,mid_trajectory,50,PSO,8,7,16502007,-1.389067642408316e-11,0.0,1.389067642408316e-11,True,1.1635065541696746e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,4.591792996507138
cstr,5,10,mid_trajectory,50,PSO,8,8,16502008,-1.389067642408316e-11,0.0,1.389067642408316e-11,True,1.1635065541696746e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,4.6048309886828065
cstr,5,10,mid_trajectory,50,PSO,8,9,16502009,-1.389067642408316e-11,0.0,1.389067642408316e-11,True,1.1635065541696746e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,4.651340947020799
cstr,5,10,mid_trajectory,50,PSO,8,10,16502010,-1.389067642408316e-11,0.0,1.389067642408316e-11,True,1.1635065541696746e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,4.579438013024628
cstr,5,10,mid_trajectory,50,PSO,8,11,16502011,-1.389067642408316e-11,0.0,1.389067642408316e-11,True,1.1635065541696746e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,4.592181998305023
cstr,5,10,mid_trajectory,50,PSO,8,12,16502012,-1.389067642408316e-11,0.0,1.389067642408316e-11,True,1.1635065541696746e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,4.543866030871868
