system,alg,start,n_instances,spearman_drift_vs_gap,p_drift_vs_gap,spearman_drift_vs_conv,p_drift_vs_conv,spearman_drift_vs_ctrl,p_drift_vs_ctrl,spearman_drift_vs_incumbent,p_drift_vs_incumbent,spearman_drift_vs_time,p_drift_vs_time
pendcart,WOA,cold,45,0.8939393939393939,1.3859972884014777e-16,,,0.8939393939393939,1.3859972884014777e-16,,,0.00013175230566534913,0.9993146574101583
pendcart,WOA,optimizer_warm,45,0.8831357048748352,9.97893706758866e-16,,,0.8865612648221344,5.453502487778259e-16,,,0.19288537549407114,0.2042756451399037
pendcart,WOA,reference_warm,45,0.8662714097496705,1.519329266548827e-14,,,0.8686429512516468,1.0600251165187167e-14,,,-0.04848484848484848,0.7517901096865567
uav,GWO,cold,56,0.7840738209159263,8.89261441510116e-13,-0.7176453520846423,4.846870983326613e-10,0.7676008202323992,5.141033203380703e-12,,,0.0021189336978810667,0.9876340666267618
uav,GWO,optimizer_warm,56,0.8175666438824334,1.4910589982451613e-14,-0.7160916522274958,5.496389544814596e-10,0.7796308954203692,1.4486004301347575e-12,0.004171195161282941,0.9756599503408475,-0.08448393711551608,0.5358709667898657
uav,GWO,reference_warm,56,0.857758031442242,3.105134782728571e-17,-0.7447229043773314,4.695108371834562e-11,0.826384142173616,4.414888541388661e-15,0.004171195161282941,0.9756599503408475,0.11339712918660287,0.40533219843809964
uav,PSO,cold,56,0.754477101845523,1.883081848908688e-11,-0.7556013718578539,1.6902650037648178e-11,0.8632946001367054,1.1449197134023025e-17,-0.8437811267398412,3.231285941794395e-16,0.17546138072453865,0.1958453081417969
uav,PSO,optimizer_warm,56,0.46835269993164735,0.000272355952247088,-0.1435652046262918,0.2911543639074495,0.6565960355434041,3.9112581949956546e-08,-0.5459918534137571,1.3463503879131295e-05,0.07313738892686261,0.5921768585191689
uav,PSO,reference_warm,56,0.8501708817498291,1.140557587674558e-16,-0.7847628103080296,8.236087510223796e-13,0.8896103896103896,5.053869008191211e-20,-0.8538476161403937,6.127353618757661e-17,0.28776486671223517,0.031509145367789766
uav,SGO,cold,56,0.8049213943950787,7.654076107906464e-14,-0.7895824554307589,4.778321302667062e-13,0.881613123718387,3.0045108185682827e-19,-0.794668374070094,2.6485656204008635e-13,0.06780587833219413,0.6195131518737028
uav,SGO,optimizer_warm,56,0.7438140806561859,5.1015979983413815e-11,-0.7056085981890079,1.2571342445184715e-09,0.7507177033492823,2.691175895605173e-11,-0.6825218223143098,6.891873696437394e-09,-0.07737525632262475,0.5708400525965553
uav,SGO,reference_warm,56,0.8764183185235818,8.940691023964576e-19,-0.8152318920350177,2.035707437080852e-14,0.8958988380041012,1.1269283355995836e-20,-0.8259443263406234,4.698753326825334e-15,-0.125974025974026,0.3548962639160943
uav,WOA,cold,56,0.8867395762132606,9.731656266366475e-20,-0.7925509887835612,3.3928392201892406e-13,0.8877648667122352,7.716936581295658e-20,,,-0.18270676691729323,0.1777255959127201
uav,WOA,optimizer_warm,56,0.8326725905673275,1.7762099345660998e-15,-0.8135974109387099,2.5249450241692082e-14,0.8701982228298019,3.0988824023988557e-18,,,0.06609706083390295,0.628386578339387
uav,WOA,reference_warm,56,0.9017088174982912,2.580372227041707e-21,-0.7839365413012516,9.029249327273004e-13,0.8712235133287766,2.5360281650390048e-18,,,0.07805878332194122,0.5674322523603709
