check,system,alg,trial,submitted,phase2,abs_diff,rel_diff,material,step,nfe_submitted,nfe_phase2
closed_loop_nrmse,hvac,PSO,3.0,0.0207029610883252,0.02070296108832526,5.898059818321144e-17,2.848896731804792e-15,False,,,
closed_loop_nrmse,hvac,PSO,4.0,0.0207135179616679,0.02071351796166794,4.163336342344337e-17,2.0099610071301937e-15,False,,,
closed_loop_nrmse,hvac,PSO,5.0,0.0207043969551482,0.020704396955148214,1.3877787807814457e-17,6.702821549392536e-16,False,,,
closed_loop_nrmse,hvac,PSO,6.0,0.0207150011718405,0.02071500117184055,4.85722573273506e-17,2.3447866077545104e-15,False,,,
closed_loop_nrmse,hvac,PSO,7.0,0.0207063019235595,0.020706301923559517,1.734723475976807e-17,8.377756116861455e-16,False,,,
closed_loop_nrmse,hvac,PSO,8.0,0.0207104755031615,0.020710475503161546,4.5102810375396984e-17,2.177777635695131e-15,False,,,
closed_loop_nrmse,hvac,PSO,9.0,0.0207121096693805,0.020712109669380505,6.938893903907228e-18,3.3501627862492733e-16,False,,,
closed_loop_nrmse,hvac,WOA,0.0,0.020766902394649,0.020766902394649036,3.469446951953614e-17,1.67066175109851e-15,False,,,
closed_loop_nrmse,hvac,WOA,1.0,0.0207669250487214,0.020766925048721453,5.204170427930421e-17,2.5059898929287257e-15,False,,,
closed_loop_nrmse,hvac,WOA,2.0,0.0207669183851691,0.020766918385169152,5.204170427930421e-17,2.505990697034294e-15,False,,,
closed_loop_nrmse,hvac,WOA,3.0,0.0207669064584733,0.020766906458473355,5.551115123125783e-17,2.6730582786733845e-15,False,,,
closed_loop_nrmse,hvac,WOA,4.0,0.0207669023744609,0.02076690237446098,7.979727989493313e-17,3.842522031261999e-15,False,,,
closed_loop_nrmse,hvac,WOA,5.0,0.0207669317536398,0.020766931753639816,1.734723475976807e-17,8.353296946106465e-16,False,,,
closed_loop_nrmse,hvac,WOA,6.0,0.0207669505951266,0.02076695059512662,2.0816681711721685e-17,1.002394724076955e-15,False,,,
closed_loop_nrmse,hvac,WOA,7.0,0.0207669377603205,0.020766937760320577,7.632783294297951e-17,3.6754495931903605e-15,False,,,
