family,case,quantity,comparison,n_pairs,median_fitness,median_random,mean_fitness,mean_random,sd_fitness,sd_random,iqr_fitness,iqr_random,median_diff,median_diff_ci_lo,median_diff_ci_hi,mean_diff,mean_diff_ci_lo,mean_diff_ci_hi,relative_median_diff,wilcoxon_stat,p_raw,cliffs_delta,delta_ci_lo,delta_ci_hi,favourable,p_holm,significant_holm
diagnostic_mean,F1,mean population diversity,fitness vs random grouping,31,0.1815519835292404,0.1060176103692496,0.18002744130522585,0.11279599650129454,0.06372163340755255,0.045141619403256956,0.09245121532772968,0.0642598601054584,0.06364590979183082,0.046908102488067205,0.0930479461467581,0.06723144480393131,0.046280943976760955,0.08842973347527447,0.6003333745229492,30.0,1.8952414393424988e-06,0.6024973985431842,0.3610822060353798,0.8064516129032258,False,1.8952414393424988e-06,True
diagnostic_mean,F2,mean population diversity,fitness vs random grouping,31,0.1924546589679352,0.0829108306713402,0.18980707081871548,0.09086868452809585,0.053501579674532423,0.04224153459021123,0.05534871762001037,0.04847557433347255,0.0969893290328021,0.07829733328348878,0.11467445239379638,0.09893838629061961,0.08060268044944938,0.11765726953489199,1.1698028863957386,1.0,1.862645149230957e-09,0.8626430801248699,0.7232049947970863,0.9646201873048907,False,1.1175870895385742e-08,True
diagnostic_mean,F3,mean population diversity,fitness vs random grouping,31,0.2222286511643387,0.0797024368049121,0.2201254226638259,0.08756986340282051,0.03286160810416646,0.043082153303377946,0.04010995217314714,0.062851772779192,0.1364899700480447,0.09633338583980351,0.160116768915665,0.13255555926100535,0.11690893865393144,0.1487609708553064,1.7124943166057973,0.0,9.313225746154785e-10,0.9708636836628513,0.9167533818938606,1.0,False,1.1175870895385742e-08,True
diagnostic_mean,F4,mean population diversity,fitness vs random grouping,31,0.2324722804916858,0.0632669558336463,0.23290988144252456,0.06844594599962604,0.017246997523728325,0.02902930703487627,0.025162853912666122,0.04069674793184985,0.1652755245440572,0.1511059305510063,0.1773944666768417,0.1644639354428985,0.1531660363524596,0.1758415939464349,2.6123514616165746,0.0,9.313225746154785e-10,1.0,1.0,1.0,False,1.1175870895385742e-08,True
diagnostic_mean,F5,mean population diversity,fitness vs random grouping,31,0.2439763280828867,0.0766144843669661,0.24222133003086013,0.0782421031964645,0.013660022716680811,0.03333882450860989,0.01355063594472955,0.04596762758904794,0.163416245994813,0.15379543223598902,0.18565501789073563,0.16397922683439567,0.15176339047966636,0.1759154846634079,2.1329680326775553,0.0,9.313225746154785e-10,1.0,1.0,1.0,False,1.1175870895385742e-08,True
diagnostic_mean,F6,mean population diversity,fitness vs random grouping,31,0.1886261770952796,0.0785505040902973,0.194422002917695,0.09099575813787693,0.04462825576561588,0.051215592230794,0.03475038308922468,0.05545617357194824,0.11495052428341218,0.0800805711119549,0.1275510507424974,0.10342624477981811,0.08520143963270951,0.12145129628008397,1.4633963921004431,1.0,1.862645149230957e-09,0.8480749219562955,0.6836628511966701,0.9729448491155047,False,1.1175870895385742e-08,True
diagnostic_mean,F7,mean population diversity,fitness vs random grouping,31,0.2059545142687902,0.0777556720566541,0.20244435569253758,0.08881936499042525,0.045263308819025336,0.060016903508675626,0.037320755357169444,0.0828430933871365,0.1218224082039337,0.10405638030444,0.14415528771850428,0.11362499070211234,0.0926666172106121,0.13342747149484405,1.5667333968275887,3.0,4.6566128730773926e-09,0.8314255983350677,0.6690946930280958,0.9604578563995838,False,1.1175870895385742e-08,True
diagnostic_mean,F8,mean population diversity,fitness vs random grouping,31,0.2009338501178624,0.0786163826040752,0.20417373795560792,0.08933861972079642,0.04532944359663026,0.05635450431426174,0.04293908274672062,0.08832799293569435,0.13006144518640628,0.09361324555417111,0.13562901518702303,0.11483511823481152,0.0974796987445574,0.131657472032576,1.6543809429825425,0.0,9.313225746154785e-10,0.8709677419354839,0.7336108220603538,0.9708636836628513,False,1.1175870895385742e-08,True
diagnostic_mean,F9,mean population diversity,fitness vs random grouping,31,0.1564429974590369,0.0420027510066153,0.15473644071968276,0.04853983872517457,0.04450006350256612,0.02406354028027282,0.049940260036248296,0.022295790906885646,0.11252915374110689,0.1000658597585039,0.13182355563897372,0.10619660199450816,0.08843320498725636,0.12313398138366038,2.6790900844419427,2.0,2.7939677238464355e-09,0.9500520291363164,0.8688865764828304,1.0,False,1.1175870895385742e-08,True
diagnostic_mean,F10,mean population diversity,fitness vs random grouping,31,0.141262044471075,0.0314559842367894,0.1345584059354178,0.03308555670957691,0.0341221074092651,0.008719333969588933,0.04825933676254286,0.011051009454034845,0.10212501715131181,0.07747365982481881,0.11979952658094249,0.10147284922584086,0.0892347485848965,0.1140365172970252,3.246600595376422,0.0,9.313225746154785e-10,1.0,1.0,1.0,False,1.1175870895385742e-08,True
diagnostic_mean,F11,mean population diversity,fitness vs random grouping,31,0.1789830478299957,0.0754836850948695,0.19605537880752474,0.08630005855366825,0.04406822055911997,0.04091762101817532,0.05068121407604287,0.04453809872248494,0.11194318299641641,0.09547897337536582,0.12020541970894728,0.10975532025385652,0.09378342210692997,0.12634695658170722,1.4830116316621778,0.0,9.313225746154785e-10,0.9292403746097815,0.8251821019771072,0.991675338189386,False,1.1175870895385742e-08,True
diagnostic_mean,F12,mean population diversity,fitness vs random grouping,31,0.1974200522957481,0.0616415508257189,0.192210222884588,0.07175494030729059,0.039413314775171765,0.031242024272889083,0.05038873884661327,0.0390529935373054,0.11688786405776902,0.10602194415572909,0.1445204678594717,0.12045528257729736,0.10451552249836718,0.13581526146905462,1.8962511892059588,0.0,9.313225746154785e-10,0.9667013527575442,0.8938605619146722,1.0,False,1.1175870895385742e-08,True
diagnostic_end-of-environment,F1,end-of-environment error,fitness vs random grouping,31,13.73746107123742,35.0418348790261,13.737141600228291,39.34552713377044,3.1445816736850842,17.60322120474086,3.9296478360162777,20.054983328436563,-21.94668698178691,-25.533745647637446,-18.460681218751347,-25.608385533542158,-31.551910624292095,-20.2602421209059,-0.6262995946859751,0.0,9.313225746154785e-10,-0.9812695109261186,-1.0,-0.931321540062435,True,1.1175870895385742e-08,True
diagnostic_end-of-environment,F2,end-of-environment error,fitness vs random grouping,31,14.937943285600703,39.36026036808684,15.850987561570173,40.67545603514339,2.885657099326147,12.39753139162816,2.962182185018875,18.56866243319585,-25.288174325423007,-29.9768346243766,-18.076383939377266,-24.824468473573216,-28.955511102415933,-20.789527677217723,-0.642479853764549,0.0,9.313225746154785e-10,-0.9833506763787722,-1.0,-0.9458896982310093,True,1.1175870895385742e-08,True
diagnostic_end-of-environment,F3,end-of-environment error,fitness vs random grouping,31,14.720045335219226,40.012704477459756,14.713945862006492,39.18514830819956,1.5399083079781872,11.453960158252945,1.9268863519524349,17.017500176035323,-25.11397432616579,-29.934368608548283,-18.075761238946853,-24.471202446193058,-28.616025760703828,-20.504942853857354,-0.6276500090193396,0.0,9.313225746154785e-10,-1.0,-1.0,-1.0,True,1.1175870895385742e-08,True
diagnostic_end-of-environment,F4,end-of-environment error,fitness vs random grouping,31,13.64144433553562,40.17716943374279,13.601633277407117,38.58858577391779,0.958674099862463,5.970013162766323,1.0574120822584199,8.228438259590227,-26.5411815541191,-28.759766780016474,-23.23662931779776,-24.98695249651066,-26.994435927921845,-22.8912936875348,-0.6606035698430386,0.0,9.313225746154785e-10,-1.0,-1.0,-1.0,True,1.1175870895385742e-08,True
diagnostic_end-of-environment,F5,end-of-environment error,fitness vs random grouping,31,12.72515285390024,33.664952991505416,12.65580105902862,33.50171404358411,0.7143018363718246,6.093098928905108,0.7792298153273052,7.902260588598018,-21.98837755988086,-24.59824711660835,-18.520166866233257,-20.845912984555486,-22.88850674643424,-18.70153643236459,-0.6531533718591298,0.0,9.313225746154785e-10,-1.0,-1.0,-1.0,True,1.1175870895385742e-08,True
diagnostic_end-of-environment,F6,end-of-environment error,fitness vs random grouping,31,16.379830412111726,40.18130200400996,16.986896970274888,41.53413995002337,3.642742161825197,13.322807040772208,4.346450623339301,15.43294826488443,-23.747131902709132,-30.036712078787758,-19.929376937132783,-24.54724297974849,-28.777835312598988,-20.412210884125148,-0.5909995624417359,1.0,1.862645149230957e-09,-0.9417273673257024,-0.9958376690946931,-0.854318418314256,True,1.1175870895385742e-08,True
diagnostic_end-of-environment,F7,end-of-environment error,fitness vs random grouping,31,19.64116669967294,40.55482849365971,19.267855941941768,42.47026385878773,3.015996992045438,16.634518022093097,3.4219958620270816,21.411523327478037,-20.459752600234054,-31.35242906858,-14.46507137196857,-23.202407916845956,-28.970707148531154,-17.752650904317168,-0.5044960947975087,2.0,2.7939677238464355e-09,-0.850156087408949,-0.9729448491155047,-0.6878251821019771,True,1.1175870895385742e-08,True
