case,seed,grouping,mode,NP,dimension,peaks,change_frequency,shift_severity,environments,max_evals,realized_FE,budget_exact,environments_completed,changes_seen,reevaluation_FE,offline_error,best_error_before_change,mean_population_diversity,wall_seconds
F7,6,fitness,population_persistence,20,5,10,1000,1.0,100,100000,100000,True,100,99,1980,21.502678169261493,20.097799877031417,0.21608310692659302,19.134249946990167
F6,24,fitness,population_persistence,20,5,10,2500,1.0,100,250000,250000,True,100,99,1980,26.646240705105445,25.622717860275426,0.15042088209935128,48.34621713899833
F7,9,fitness,population_persistence,20,5,10,1000,1.0,100,100000,100000,True,100,99,1980,20.71795886898141,19.703584337298874,0.2199092831077208,17.95765152700187
F6,19,fitness,population_persistence,20,5,10,2500,1.0,100,250000,250000,True,100,99,1980,13.43280697553879,12.882612697950153,0.16037282048280474,54.79847334600345
F6,23,fitness,population_persistence,20,5,10,2500,1.0,100,250000,250000,True,100,99,1980,17.547737120943083,16.57732009344469,0.1563854191888619,51.71579652700166
F6,27,fitness,population_persistence,20,5,10,2500,1.0,100,250000,250000,True,100,99,1980,19.923137566931636,18.894604495266293,0.1749847851182021,49.52980124000169
F7,11,fitness,population_persistence,20,5,10,1000,1.0,100,100000,100000,True,100,99,1980,21.480743996186824,20.530478552849043,0.1958428456351894,17.21955248300219
F7,13,fitness,population_persistence,20,5,10,1000,1.0,100,100000,100000,True,100,99,1980,20.664608096211165,19.318816986679423,0.15394495974567582,17.237024873000337
F7,8,fitness,population_persistence,20,5,10,1000,1.0,100,100000,100000,True,100,99,1980,21.749068551407923,20.704697460095698,0.1815272058879312,23.552858911003568
F7,10,fitness,population_persistence,20,5,10,1000,1.0,100,100000,100000,True,100,99,1980,24.242389770318837,22.760459327577202,0.19228314897724508,21.56705210301152
F6,28,fitness,population_persistence,20,5,10,2500,1.0,100,250000,250000,True,100,99,1980,13.034689308486241,12.44834700635158,0.18862617709527968,52.11142814200139
F6,25,fitness,population_persistence,20,5,10,2500,1.0,100,250000,250000,True,100,99,1980,13.361737725221518,12.698201379751124,0.18559235580133587,53.65464490899467
F7,12,fitness,population_persistence,20,5,10,1000,1.0,100,100000,100000,True,100,99,1980,21.205723627080786,20.05028733015296,0.20595451426879025,19.980753834999632
F8,1,fitness,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,20.28893275582389,19.0615393877832,0.14636776713742441,6.822100092002074
