case,seed,grouping,mode,environment,change_frequency,post_change_error,end_of_environment_error,mean_error,error_reduction,error_reduction_fraction,error_at_0,error_at_5,error_at_10,error_at_25,error_at_50,error_at_75,late_half_reduction,late_half_fraction,recovery_evals_50,recovery_success_50,recovery_frac_50,recovery_evals_90,recovery_success_90,recovery_frac_90
F1,9,random,population_persistence,20,5000,144.29718106898216,112.29553486243071,112.30464552088554,32.00164620655144,0.22177596242336056,144.29718106898216,112.29555606532233,112.29555606532233,112.29555606532233,112.29553486243071,112.29553486243071,0.0,0.0,2,True,0.0004,3,True,0.0006
F1,9,random,population_persistence,21,5000,77.02839735420159,75.6996310698178,75.70332191595621,1.3287662843837893,0.01725034312052074,77.02839735420159,75.69963142243026,75.69963142243026,75.69963142243026,75.6996310698178,75.6996310698178,0.0,0.0,3,True,0.0006,37,True,0.0074
F1,9,random,population_persistence,22,5000,117.24918058299396,116.77859941591015,116.77976738364205,0.4705811670838074,0.004013513482516068,117.24918058299396,116.78502385722516,116.77860134536112,116.77860134536112,116.77860134536112,116.77859941591015,1.9294509741030197e-06,4.100144903927694e-06,2,True,0.0004,26,True,0.0052
F1,9,random,population_persistence,23,5000,74.50902632981132,72.57576211928784,72.57759913623714,1.9332642105234754,0.025946711502656823,74.50902632981132,72.57577413313797,72.57577413313797,72.57577413313797,72.57576260696129,72.57576211928784,4.876734465142363e-07,2.522539050066972e-07,6,True,0.0012,6,True,0.0012
F1,9,random,population_persistence,24,5000,111.88300983675384,111.7758957129828,111.77592207577773,0.10711412377104068,0.0009573761371572739,111.88300983675384,111.77589681836118,111.77589681836118,111.77589603253371,111.7758957129828,111.7758957129828,0.0,0.0,2,True,0.0004,4,True,0.0008
F1,9,random,population_persistence,25,5000,112.84888144793791,87.70364776703536,89.28560872640429,25.14523368090255,0.2228221791680154,112.84888144793791,102.11818175050715,94.05704241401739,87.70378109031813,87.70372860777094,87.70364776703536,8.084073557768079e-05,3.2149526468341467e-06,330,True,0.066,651,True,0.1302
F1,9,random,population_persistence,26,5000,99.63085668584334,97.98014194113969,97.98251543237897,1.6507147447036488,0.0165683082492073,99.63085668584334,97.98113799269441,97.98113799269441,97.98014731535469,97.98014194113969,97.98014194113969,0.0,0.0,6,True,0.0012,26,True,0.0052
F1,9,random,population_persistence,27,5000,124.15247869659217,63.321723611169,63.55667121295142,60.83075508542317,0.48996810795927265,124.15247869659217,63.38955906973596,63.38955906973596,63.32181619290387,63.32181619290387,63.321723611169,9.258173486870191e-05,1.5219560358685604e-06,28,True,0.0056,30,True,0.006
F1,9,random,population_persistence,28,5000,99.9560006300997,66.58381457895328,66.62691098695555,33.372186051146414,0.3338687606624496,99.9560006300997,66.58382030740117,66.58382030740117,66.58381457895328,66.58381457895328,66.58381457895328,0.0,0.0,7,True,0.0014,7,True,0.0014
F1,9,random,population_persistence,29,5000,131.23548791294272,64.94231511708759,68.00174084965688,66.29317279585513,0.5051466935516088,131.23548791294272,101.74426979751321,65.05202685247058,64.94251611679155,64.94251611679155,64.94231511708759,0.00020099970396358913,3.031981959628825e-06,252,True,0.0504,386,True,0.0772
F1,9,random,population_persistence,30,5000,123.29373841449876,95.4723694078106,95.56746434056707,27.82136900668816,0.22565111062782484,123.29373841449876,95.47902467650499,95.47298196213195,95.47238408267496,95.4723694078106,95.4723694078106,0.0,0.0,23,True,0.0046,29,True,0.0058
F1,9,random,population_persistence,31,5000,143.17217617219123,76.19005646157431,76.82109905381152,66.98211971061691,0.4678431347586589,143.17217617219123,76.53827560655296,76.53827560655296,76.19005646157431,76.19005646157431,76.19005646157431,0.0,0.0,34,True,0.0068,50,True,0.01
F1,9,random,population_persistence,32,5000,141.4676905237079,86.17745494249179,86.19091966851089,55.290235581216095,0.3908329554015747,141.4676905237079,86.17769456009161,86.17769456009161,86.17745494249179,86.17745494249179,86.17745494249179,0.0,0.0,2,True,0.0004,2,True,0.0004
F1,9,random,population_persistence,33,5000,92.08909136545596,72.27115259068441,72.73018711709979,19.817938774771548,0.21520397781018355,92.08909136545596,72.66556414854563,72.27115259068441,72.27115259068441,72.27115259068441,72.27115259068441,0.0,0.0,95,True,0.019,224,True,0.0448
F1,9,random,population_persistence,34,5000,134.28454867959414,41.75172926395311,49.29629600817742,92.53281941564103,0.6890801683850192,134.28454867959414,81.33490198898117,76.60193173986555,43.00967333658731,43.00967333658731,42.391428399168525,1.2579440726342028,0.013594571964610102,154,True,0.0308,890,True,0.178
F1,9,random,population_persistence,35,5000,89.27178457299806,70.10656895385726,70.25166606606322,19.165215619140795,0.21468390836826262,89.27178457299806,70.68479237845752,70.68479237845752,70.10964845144608,70.10964845144608,70.10656895385726,0.003079497588814206,0.00016068160411086805,12,True,0.0024,25,True,0.005
F1,9,random,population_persistence,36,5000,127.10788228833127,57.86295146257222,62.26294367627403,69.24493082575904,0.5447729092731164,127.10788228833127,69.92633056676111,69.78818789823191,69.78818789823191,59.94014877560659,59.862608461482154,2.077197313034368,0.029997824942033922,2,True,0.0004,1259,True,0.2518
