case,seed,grouping,mode,NP,dimension,peaks,change_frequency,shift_severity,environments,max_evals,realized_FE,budget_exact,environments_completed,changes_seen,reevaluation_FE,offline_error,best_error_before_change,mean_population_diversity,wall_seconds
F8,29,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,34.97920173875823,30.53643661103149,0.2565709861111935,23.098428987999796
F8,31,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,41.116008795005634,34.22448618525566,0.27481762362544065,22.181423820002237
F2,25,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,24.21146968692631,20.015467443472076,0.24752500785566384,140.32632469400414
F2,24,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,26.96727564635092,22.031143835424874,0.2920053118847674,145.1818050689908
F2,28,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,24.970781611873925,20.571956071044053,0.276085156361941,148.3851212360023
F2,31,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,23.891711115914045,19.560622947752925,0.27836464219839385,149.10316016699653
F2,26,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,22.282182965579203,18.472203241866126,0.2894740524713154,152.04273559700232
F2,30,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,24.255181805422666,19.274478285299725,0.26309173724569784,152.62637211900437
F2,21,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,25.542582961917986,20.385549764566587,0.2897766426658337,153.06613557200762
F2,29,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,19.080944041864353,16.678046325876377,0.2309566191086078,159.4166435859952
F2,22,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,25.806326842864802,20.90533329010567,0.28124790948256445,160.35662874099216
F2,23,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,23.91458182078533,19.80409377459302,0.24441644502080528,189.22917273599887
F2,27,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,25.39599674821017,21.327875876120714,0.2532933739647859,193.30115666199708
F10,3,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,147.54260843468063,137.9087631187964,0.2431970476784943,170.69277270699968
F10,5,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,184.47463633204055,163.77454175042507,0.2523906239219409,176.12678765598685
F10,4,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,151.64326246312174,142.56964669077092,0.25611592787709453,179.8865905369894
F10,1,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,141.16426354567182,134.18189124802942,0.2473928369840066,187.4490993260115
F10,7,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,137.70342594677788,129.69844145265836,0.24827249421557326,177.59607982200396
F10,8,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,177.1652740692634,160.5632580825594,0.2507479973117804,177.98807765998936
F10,9,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,179.1106272793502,160.73257108119006,0.2542829224563046,175.99168126299628
F10,6,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,131.2401330521751,122.64188945991907,0.254018997832529,186.8856760159979
F10,2,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,176.00634308330547,160.7030099742966,0.25268559100627147,203.1253771190095
F10,11,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,163.71850129547093,151.54124906451594,0.2551823730928191,121.40917053000885
F10,10,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,148.8070373517913,137.9764430654586,0.24591973432912304,130.8321811999922
F10,13,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,186.7489767248879,168.95977971472544,0.24727308356713218,128.44265272399934
F10,12,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,179.60050016694342,164.15440482212455,0.2521805998301504,135.210231983001
F10,15,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,186.41800298645109,167.5472946757742,0.25028359759906543,142.69877121699392
F10,17,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,172.5526505650139,153.81480133675933,0.2475440528253737,139.11062005099666
F10,16,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,183.3127639387203,164.53358458957828,0.24558677115037475,149.02541595400544
F10,14,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,139.82500021033823,127.82442027905405,0.2488989746693115,153.0833191540005
F10,19,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,186.64679130920112,167.3721856589135,0.2404258631414987,135.66786693400354
F10,18,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,172.96424504246974,155.0219240750027,0.25094763467035097,176.81947811999999
F10,21,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,151.55117650551267,136.79046281408887,0.24461901843005918,143.03456174899475
