case,seed,grouping,mode,environment,change_frequency,post_change_error,end_of_environment_error,mean_error,error_reduction,error_reduction_fraction,error_at_0,error_at_5,error_at_10,error_at_25,error_at_50,error_at_75,late_half_reduction,late_half_fraction,recovery_evals_50,recovery_success_50,recovery_frac_50,recovery_evals_90,recovery_success_90,recovery_frac_90
F2,20,fitness,previous_best_seeded,49,5000,60.45690893706524,21.36642997369632,25.620755943751732,39.09047896336892,0.6465841481254283,60.45690893706524,54.955780047394335,42.04613664410652,22.340606512437375,21.36642997369632,21.36642997369632,0.0,0.0,571,True,0.1142,702,True,0.1404
F2,20,fitness,previous_best_seeded,50,5000,29.320469717804045,18.04960967709487,19.18994724190309,11.270860040709174,0.3844024379276999,29.320469717804045,29.320469717804045,18.69966764394546,18.69966764394546,18.69966764394546,18.04960967709487,0.6500579668505893,0.057675986082929565,350,True,0.07,350,True,0.07
F2,20,fitness,previous_best_seeded,51,5000,89.19452217480428,23.63727531576412,27.72504803141793,65.55724685904016,0.7349918499541983,89.19452217480428,45.28630671900351,36.591813800613295,26.041393757173758,26.041393757173758,23.63727531576412,2.4041184414096364,0.03667204705192886,40,True,0.008,865,True,0.173
F2,20,fitness,previous_best_seeded,52,5000,67.94461606421154,16.06763729068456,23.73688398800664,51.876978773526986,0.7635186093994597,67.94461606421154,31.69158898744378,31.69158898744378,30.350593934386218,26.337252946480305,16.06763729068456,10.269615655795747,0.19796094334306857,5,True,0.001,2666,True,0.5332
F2,20,fitness,previous_best_seeded,53,5000,46.96794519406893,21.572567614232504,31.9075537855056,25.395377579836428,0.540695946456762,46.96794519406893,46.96794519406893,41.66150250563143,32.173821247539706,32.173821247539706,32.173821247539706,10.601253633307202,0.41744815961013504,674,True,0.1348,4155,True,0.831
F2,20,fitness,previous_best_seeded,54,5000,63.61630175926743,21.08751862708226,26.194782355854077,42.52878313218517,0.6685202056089296,63.61630175926743,41.269519319460905,25.59773797945539,25.59773797945539,25.59773797945539,25.59773797945539,4.510219352373127,0.10605098524344701,154,True,0.0308,4206,True,0.8412
F2,20,fitness,previous_best_seeded,55,5000,85.5910459398657,23.34908157738748,28.23200862620233,62.241964362478214,0.7272018197582022,85.5910459398657,42.00600423516429,35.994251211967736,25.7995570443034,25.7995570443034,23.34908157738748,2.4504754669159183,0.0393701498983081,79,True,0.0158,951,True,0.1902
F2,20,fitness,previous_best_seeded,56,5000,31.35006720234778,20.52459535038657,25.086276415250254,10.825471851961211,0.3453093667100816,31.35006720234778,30.01680831916478,30.01680831916478,28.61335062263222,27.670748736643922,20.52459535038657,7.146153386257353,0.6601239635538575,2766,True,0.5532,2766,True,0.5532
F2,20,fitness,previous_best_seeded,57,5000,59.275978893512644,29.254342252987257,33.90739872109697,30.021636640525386,0.5064722202978423,59.275978893512644,41.816236490919295,41.816236490919295,33.647846933339565,33.647846933339565,29.254342252987257,4.393504680352308,0.14634460915503975,169,True,0.0338,3512,True,0.7024
F2,20,fitness,previous_best_seeded,58,5000,50.96225464138197,20.178225426477724,26.677178491285478,30.784029214904244,0.6040554805027649,50.96225464138197,48.07567824613243,29.362187842103175,29.362187842103175,29.122166902694516,20.178225426477724,8.943941476216793,0.2905383637008289,460,True,0.092,2666,True,0.5332
F2,20,fitness,previous_best_seeded,59,5000,39.06606721601198,26.838635809856584,29.03357983384796,12.227431406155397,0.3129936611879823,39.06606721601198,39.06606721601198,28.2218013974215,28.2218013974215,28.2218013974215,28.2218013974215,1.3831655875649176,0.11311988116070067,464,True,0.0928,4748,True,0.9496
F2,20,fitness,previous_best_seeded,60,5000,47.959957515111796,19.87066286585587,26.036218167433645,28.089294649255926,0.5856822254357755,47.959957515111796,47.959957515111796,39.463323114368805,29.984185733182485,22.304254346658666,22.304254346658666,2.4335914808027965,0.08663768568027255,709,True,0.1418,1275,True,0.255
F2,20,fitness,previous_best_seeded,61,5000,100.93743328417193,18.589730142969877,22.53405335669081,82.34770314120206,0.8158291771633058,100.93743328417193,29.453117685203523,29.453117685203523,27.543282204912806,19.339048270136196,18.589730142969877,0.749318127166319,0.009099441740123086,4,True,0.0008,1619,True,0.3238
F2,20,fitness,previous_best_seeded,62,5000,102.53678063525467,20.2858924659851,25.373576660197806,82.25088816926957,0.802159846054204,102.53678063525467,50.04583719669812,39.957486462194844,20.2858924659851,20.2858924659851,20.2858924659851,0.0,0.0,57,True,0.0114,1052,True,0.2104
F2,20,fitness,previous_best_seeded,63,5000,48.149937723673574,14.939554361068474,19.240965956518753,33.2103833626051,0.6897284800905726,48.149937723673574,32.52296827868873,32.52296827868873,16.5703911628692,16.5703911628692,14.939554361068474,1.6308368018007258,0.04910623234891797,764,True,0.1528,949,True,0.1898
F2,20,fitness,previous_best_seeded,64,5000,60.392681884910814,9.910203767734124,13.650149595738412,50.48247811717669,0.8359038966572173,60.392681884910814,26.502054825241004,26.502054825241004,10.377490836298449,10.377490836298449,10.377490836298449,0.46728706856432467,0.0092564209601535,164,True,0.0328,1044,True,0.2088
F2,20,fitness,previous_best_seeded,65,5000,11.232749776716027,11.232749776716027,11.232749776716027,0.0,0.0,11.232749776716027,11.232749776716027,11.232749776716027,11.232749776716027,11.232749776716027,11.232749776716027,0.0,nan,-1,False,nan,-1,False,nan
F2,20,fitness,previous_best_seeded,66,5000,15.76571731116006,15.76571731116006,15.765717311160063,0.0,0.0,15.76571731116006,15.76571731116006,15.76571731116006,15.76571731116006,15.76571731116006,15.76571731116006,0.0,nan,-1,False,nan,-1,False,nan
F2,20,fitness,previous_best_seeded,67,5000,8.469096415472592,8.469096415472592,8.469096415472592,0.0,0.0,8.469096415472592,8.469096415472592,8.469096415472592,8.469096415472592,8.469096415472592,8.469096415472592,0.0,nan,-1,False,nan,-1,False,nan
F2,20,fitness,previous_best_seeded,68,5000,14.418993225237372,14.418993225237372,14.418993225237372,0.0,0.0,14.418993225237372,14.418993225237372,14.418993225237372,14.418993225237372,14.418993225237372,14.418993225237372,0.0,nan,-1,False,nan,-1,False,nan
F2,20,fitness,previous_best_seeded,69,5000,13.277625198903166,13.277625198903166,13.277625198903168,0.0,0.0,13.277625198903166,13.277625198903166,13.277625198903166,13.277625198903166,13.277625198903166,13.277625198903166,0.0,nan,-1,False,nan,-1,False,nan
F2,20,fitness,previous_best_seeded,70,5000,14.454652536243273,14.454652536243273,14.45465253624327,0.0,0.0,14.454652536243273,14.454652536243273,14.454652536243273,14.454652536243273,14.454652536243273,14.454652536243273,0.0,nan,-1,False,nan,-1,False,nan
F2,20,fitness,previous_best_seeded,71,5000,17.617465317575913,17.617465317575913,17.61746531757592,0.0,0.0,17.617465317575913,17.617465317575913,17.617465317575913,17.617465317575913,17.617465317575913,17.617465317575913,0.0,nan,-1,False,nan,-1,False,nan
F2,20,fitness,previous_best_seeded,72,5000,22.574297688131807,22.574297688131807,22.57429768813181,0.0,0.0,22.574297688131807,22.574297688131807,22.574297688131807,22.574297688131807,22.574297688131807,22.574297688131807,0.0,nan,-1,False,nan,-1,False,nan
F2,20,fitness,previous_best_seeded,73,5000,25.074916421592114,22.414949200062395,23.094304828441086,2.659967221529719,0.10608080110046589,25.074916421592114,25.074916421592114,25.074916421592114,25.074916421592114,22.414949200062395,22.414949200062395,0.0,0.0,1278,True,0.2556,1278,True,0.2556
F2,20,fitness,previous_best_seeded,74,5000,18.190965391284465,18.190965391284465,18.190965391284465,0.0,0.0,18.190965391284465,18.190965391284465,18.190965391284465,18.190965391284465,18.190965391284465,18.190965391284465,0.0,nan,-1,False,nan,-1,False,nan
